"date","id","status","family","config_summary","freeze_policy","purpose","clip_style","content_lpips","ec","hayao_clip_style","hayao_content_lpips","visual_gate","verified_claim","adjustment","artifacts"
"2026-05-27","m02_embspatial_highpass_style","active_anchor","style_adapter","EMA transport-AdaIN W34 guard epoch 6 plus embspatial highpass style adapter","backbone frozen during adapter calibration","restore style-normal visual anchor with strong LPIPS","0.71073","0.40735","0.84967","","","pass","m02 is the current rollback anchor; it preserves visible style better than hazy tokenizer routes","use as baseline for tokenizer probes","exp/style_embedding_mainline_calibration/ema_transport_adain_w34_e6_fulltrain/m02_embspatial_highpass_style/style_adapter.pt"
"2026-05-27","ema_style_vocab_factorized_w36","rejected","factorized_tokenizer","hard-bound factorized token output head W36","main run checkpoint","test operator-orthogonal tokenizer binding","0.66598","0.32482","0.44966","0.58646","","fail_hazy","LPIPS improved by near-identity haze; style collapsed","do not promote; negative control","exp/vae_backend_256_probe/ema_style_vocab_factorized_w36"
"2026-05-27","ema_style_vocab_factorized_w40_stylepush","rejected","factorized_tokenizer","hard-bound factorized token output head W40 stylepush","main run checkpoint","test whether more pressure fixes factorized route","0.66562","0.32308","0.45057","0.58484","","fail_hazy","style pressure did not recover visible style","reject; no scalar-loss rescue","exp/vae_backend_256_probe/ema_style_vocab_factorized_w40_stylepush"
"2026-05-27","ema_style_vocab_factorized_feature_w36","rejected","factorized_tokenizer","feature-level factorized token operator","main run checkpoint","test whether placement caused factorized failure","0.66450","0.32768","0.44676","0.58077","","fail_hazy","feature injection still produces weak hazy style","reject; placement alone is insufficient","exp/vae_backend_256_probe/ema_style_vocab_factorized_feature_w36"
"2026-05-27","bg00_band_anchor","diagnostic","tokenizer_bandgate","texton backbone with only band_vocab trained, conservative","freeze backbone/style_emb/style_spatial; train band_vocab only","test low/mid/high texton valve","0.71289","0.44403","","0.60185","","pass_neutral","band gate is safe but style-neutral","keep only as content-safety coordinate","exp/tokenizer_bandgate_calibration/bg00_band_anchor"
"2026-05-27","bg01_band_stylepush","diagnostic","tokenizer_bandgate","texton backbone with only band_vocab trained, stronger stylepush","freeze backbone/style_emb/style_spatial; train band_vocab only","test whether band-only can lift style","0.71264","0.44406","","0.60096","","pass_neutral","band-only route is too low-rank for style","stop band-only sweeps","exp/tokenizer_bandgate_calibration/bg01_band_stylepush"
"2026-05-27","ag00_m02_safe_gate","diagnostic","tokenizer_adain_gate","m02 transport-AdaIN with grammar+band tokenizer gate, conservative","freeze m02 backbone/style_emb/style_spatial; train grammar+band vocab","test safe tokenizer valve over m02","0.71076","0.40728","","0.60489","","pass_neutral","m02 can accept tokenizer gate without haze but style does not rise","diagnose executability","exp/tokenizer_adain_gate_calibration/ag00_m02_safe_gate"
"2026-05-27","ag01_m02_style_gate","diagnostic","tokenizer_adain_gate","m02 transport-AdaIN with stronger grammar+band tokenizer gate","freeze m02 backbone/style_emb/style_spatial; train grammar+band vocab","test stronger tokenizer gate over m02","0.71061","0.40729","","0.60514","","pass_neutral","stronger gate still neutral","measure token Jacobian before further training","exp/tokenizer_adain_gate_calibration/ag01_m02_style_gate"
"2026-05-27","m02_tokenizer_sensitivity_full_light","diagnostic","sensitivity","no-training perturbation of grammar/band around m02","no training","measure token field endpoint response","","","","","","diagnostic","band_low and band_mid are executable; band_high is near dead; grammar texture fields are mostly dead","avoid token value tuning without a reader","exp/diagnostics/m02_tokenizer_sensitivity_full_light"
"2026-05-28","sv00_stat_m02_conservative","completed","stat_vocab","training-pool latent stats mapped to token fields, conservative scale","no training; m02 backbone and adapter unchanged","test whether measured style coordinates are enough","0.7107404868","0.4073929263","","0.6050034707","0.4486487849","pass_neutral","stat tokenizer is non-hazy but m02 barely reads it","train a small reader; do not tune token values","exp/tokenizer_stat_vocab_probe/sv00_stat_m02_conservative"
"2026-05-28","sv01_stat_m02_balanced","completed","stat_vocab","training-pool latent stats mapped to token fields, balanced scale","no training; m02 backbone and adapter unchanged","test stronger measured style coordinates","0.7105509261","0.4074335012","","0.6049448917","0.4481288068","pass_neutral","larger stat coordinates still barely move output","reader bottleneck confirmed","exp/tokenizer_stat_vocab_probe/sv01_stat_m02_balanced"
"2026-05-28","sr00_stat_reader_safe","completed","stat_reader","stat vocab frozen; m02 frozen; zero-init token_reader safe recipe","freeze stat tokenizer and m02; train token_reader only","teach m02 carrier to read measured style coordinates","0.7106980389","0.4052842801","","0.6041935985","0.4458224314","pass_neutral","safe grid and slightly better LPIPS, but style remains neutral","do not promote; use only as safety control","exp/tokenizer_stat_reader_probe/sr00_stat_reader_safe"
"2026-05-28","sr01_stat_reader_style","completed_diagnostic","stat_reader","stat vocab frozen; m02 frozen; zero-init token_reader style recipe","freeze stat tokenizer and m02; train token_reader only","test whether reader capacity can lift style","0.7105226523","0.4025848982","","0.6047418490","0.4416901605","pass_neutral","reader capacity improves LPIPS by staying near m02 but does not lift style","do not promote; stop reader/loss sweeps","exp/tokenizer_stat_reader_probe/sr01_stat_reader_style"
"2026-05-28","m02_operator_binding_g56","completed_diagnostic","operator_binding","no training; bind grammar[5]/grammar[6] to m02 transport-AdaIN mid/high residual gains","no training; m02 backbone and adapter unchanged","test whether tokenizer grammar fields have an executable texture operator","","","","","","diagnostic_pass_partial","grammar[5] mid-texton becomes executable with endpoint RMS up to 0.00543 and stat preview 0.00493-0.00603; grammar[6] high-texture remains weak","train tokenizer fields through g56 while freezing m02","exp/diagnostics/m02_operator_binding_g56"
"2026-05-28","ag02_m02_g56_texture_anchor","completed","tokenizer_g56","m02 frozen; train grammar/band with g56 texture binding, conservative anchor","freeze m02 backbone/style_emb/style_spatial; train grammar+band vocab only","use executable g5 route to lift style without haze","0.7109550617","0.4072693332","","0.6056678611","0.4491608303","pass_neutral","g5 binding is stable and marginally improves global/Hayao style, but remains far from 0.72","keep as evidence; need stronger high-frequency carrier","exp/tokenizer_adain_gate_calibration/ag02_m02_g56_texture_anchor"
"2026-05-28","ag03_m02_g56_texture_push","completed","tokenizer_g56","m02 frozen; train grammar/band with g56 texture binding, stronger HP-SWD pressure","freeze m02 backbone/style_emb/style_spatial; train grammar+band vocab only","test if stronger g5 texture pressure can approach clip_style above 0.72","0.7107252271","0.4073048555","","0.6052544753","0.4490943533","pass_neutral","stronger pressure does not beat ag02; g56 alone is not enough","stop scalar pressure here; redesign high-frequency carrier","exp/tokenizer_adain_gate_calibration/ag03_m02_g56_texture_push"
"2026-05-28","tc00_m02_texton_carrier_anchor","completed_diagnostic","tokenizer_texton_carrier","m02 frozen; grammar/band tokenizer plus zero-start token texton carrier, conservative strength","freeze m02 backbone/style_emb/style_spatial; train grammar+band vocab plus token_texton_carrier_mapper only","test whether a real trainable mid/high texton carrier lifts style without fog","0.7104315019","0.4073038044","","0.6047670975","0.4487117587","pass_neutral","non-hazy but below m02/ag02; simple residual carrier does not add useful style energy","reject as mainline; carrier source/routing, not amplitude, is the bottleneck","exp/tokenizer_texton_carrier_calibration/tc00_m02_texton_carrier_anchor"
