canonical_dataset,dataset_dir,method,direct_images,recursive_images,style_set_detected,status,image_root
D5-512,D5-512,adain,750,1500,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,duplicate_or_extra_nested,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\adain
D5-512,D5-512,cut,750,1500,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,duplicate_or_extra_nested,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\cut
D5-512,D5-512,identity,750,1500,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,duplicate_or_extra_nested,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\identity
D5-512,D5-512,samam,750,1500,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,duplicate_or_extra_nested,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\samam
D5-512,D5-512,samst,750,1500,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,duplicate_or_extra_nested,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\samst
D5-512,D5-512,sdturbo,750,1500,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,duplicate_or_extra_nested,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\sdturbo
D5-512,D5-512,seedream,750,791,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,duplicate_or_extra_nested,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\seedream
D5-512,D5-512,stylealigned,750,750,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\stylealigned
D5-512,D5-512,styleid,750,750,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\styleid
D5-512,D5-512,styleshot,745,745,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,incomplete,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\styleshot
D5-512,D5-512,wct,750,1500,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,duplicate_or_extra_nested,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\wct
D5-512,D5-512,weave,750,750,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\weave
D5-512,D5-512,zstar,750,750,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\D5-512\zstar
P2A-256,P256,adain,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\adain
P2A-256,P256,cut,0,0,,missing_images,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\cut
P2A-256,P256,identity,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\identity
P2A-256,P256,samam,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\samam
P2A-256,P256,samst,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\samst
P2A-256,P256,sdturbo,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\sdturbo
P2A-256,P256,seedream,0,0,,missing_images,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\seedream
P2A-256,P256,stylealigned,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\stylealigned
P2A-256,P256,styleid,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\styleid
P2A-256,P256,styleshot,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\styleshot
P2A-256,P256,wct,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\wct
P2A-256,P256,weave,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\weave
P2A-256,P256,zstar,750,750,cezanne|Hayao|monet|photo|vangogh,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\P256\zstar
R5-512,R5-512,stylealigned,750,750,Cubism|Expressionism|Pop_Art|Romanticism|Symbolism,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-512\stylealigned
R5-512,R5-512,styleshot,740,740,Cubism|Expressionism|Pop_Art|Romanticism|Symbolism,incomplete,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-512\styleshot
R5-512,R5-512,zstar,750,750,Cubism|Expressionism|Pop_Art|Romanticism|Symbolism,clean_750,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-512\zstar
R5-512,R5-WikiArt,stylealigned,750,750,Cubism|Expressionism|Pop_Art|Romanticism|Symbolism,clean_750_copied_from_R5-512,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-WikiArt\stylealigned
R5-512,R5-WikiArt,styleshot,740,740,Cubism|Expressionism|Pop_Art|Romanticism|Symbolism,incomplete_copied_from_R5-512,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-WikiArt\styleshot
R5-512,R5-WikiArt,zstar,750,750,Cubism|Expressionism|Pop_Art|Romanticism|Symbolism,clean_750_copied_from_R5-512,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-WikiArt\zstar
R5-WikiArt-legacy,R5-WikiArt,cut,750,750,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,legacy_name_mismatch_d5_styles,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-WikiArt\cut
R5-WikiArt-legacy,R5-WikiArt,samam,750,750,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,legacy_name_mismatch_d5_styles,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-WikiArt\samam
R5-WikiArt-legacy,R5-WikiArt,samst,750,750,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,legacy_name_mismatch_d5_styles,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-WikiArt\samst
random20-or-mixed,R5-WikiArt,sdturbo,1123,1123,20-style-mixed,nonstandard_over_750_and_name_mismatch,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-WikiArt\sdturbo
R5-WikiArt-legacy,R5-WikiArt,seedream,0,724,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,incomplete_nested_and_name_mismatch,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-WikiArt\seedream
R5-WikiArt-legacy,R5-WikiArt,styleid,750,750,Early_Renaissance|Impressionism|Minimalism|Rococo|Ukiyo_e,legacy_name_mismatch_d5_styles,G:\GitHub\Latent_Style\SchrodingerBridge\results\R5-WikiArt\styleid
