case_id,comparison,src_style,tgt_style,src_image,panel_path,candidate_a_method,candidate_b_method,source_path,target_ref_path
0,knee_vs_samst,Minimalism,Early_Renaissance,yves-klein_untitled-yellow-monochrome-1956.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\000_knee_vs_samst_Minimalism_to_Early_Renaissance.png,LBM-Knee,SaMST,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__yves-klein_untitled-yellow-monochrome-1956.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece.jpg
1,knee_vs_samst,Minimalism,Early_Renaissance,mira-schendel_untitled-1984.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\001_knee_vs_samst_Minimalism_to_Early_Renaissance.png,LBM-Knee,SaMST,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__mira-schendel_untitled-1984.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece.jpg
2,knee_vs_samst,Minimalism,Early_Renaissance,john-mclaughlin_number-4.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\002_knee_vs_samst_Minimalism_to_Early_Renaissance.png,SaMST,LBM-Knee,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__john-mclaughlin_number-4.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece.jpg
3,knee_vs_samst,Minimalism,Ukiyo_e,john-mclaughlin_number-4.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\003_knee_vs_samst_Minimalism_to_Ukiyo_e.png,LBM-Knee,SaMST,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__john-mclaughlin_number-4.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Ukiyo_e\Ukiyo_e__hiroshige_hakone-kosuizu.jpg
4,knee_vs_samst,Minimalism,Ukiyo_e,mira-schendel_untitled-1984.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\004_knee_vs_samst_Minimalism_to_Ukiyo_e.png,LBM-Knee,SaMST,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__mira-schendel_untitled-1984.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Ukiyo_e\Ukiyo_e__hiroshige_hakone-kosuizu.jpg
5,knee_vs_samst,Minimalism,Ukiyo_e,yves-klein_untitled-yellow-monochrome-1956.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\005_knee_vs_samst_Minimalism_to_Ukiyo_e.png,SaMST,LBM-Knee,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__yves-klein_untitled-yellow-monochrome-1956.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Ukiyo_e\Ukiyo_e__hiroshige_hakone-kosuizu.jpg
6,knee_vs_seedream,Minimalism,Rococo,john-mclaughlin_number-4.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\006_knee_vs_seedream_Minimalism_to_Rococo.png,Seedream,LBM-Knee,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__john-mclaughlin_number-4.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__antoine-pesne_carl-heinrich-graun.jpg
7,knee_vs_seedream,Minimalism,Impressionism,john-mclaughlin_number-4.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\007_knee_vs_seedream_Minimalism_to_Impressionism.png,LBM-Knee,Seedream,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__john-mclaughlin_number-4.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Impressionism\Impressionism__alfred-sisley_riverbank-at-veneux-1881.jpg
8,knee_vs_seedream,Early_Renaissance,Minimalism,pietro-perugino_giovanni-colombini.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\008_knee_vs_seedream_Early_Renaissance_to_Minimalism.png,Seedream,LBM-Knee,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__pietro-perugino_giovanni-colombini.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Minimalism\Minimalism__agnes-martin_happy-valley-1967.jpg
9,knee_vs_seedream,Rococo,Early_Renaissance,canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\blind_pairwise_v1\panels\009_knee_vs_seedream_Rococo_to_Early_Renaissance.png,Seedream,LBM-Knee,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Rococo\Rococo__canaletto_london-the-thames-and-the-city-of-london-from-the-terrace-of-richmond-house.jpg,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece.jpg
