cycle_id,date,lane,reviewer,checkpoint_label,scope,overall_status,claim_safety_band,evidence_closure_band,support_score,fairness_score,artifact_path_score,closure_value_score,novelty,technical_quality,experimental_rigor,clarity,reproducibility,significance,blocking_issue,next_action_1,next_action_2,source_file,note
R20260602B,2026-06-02,adversarial_review,independent_lane_A,current_paper_plus_distinct5_and_idt_recheck,paper_plus_comparison,reject,unsafe,open,0,0,1,0,,,,,,,"headline claim set is still ahead of direct evidence on flow-loss metric, semantic SA-SWD isolation, and normalized speed","run flow-loss metric ablation (MSE vs Huber vs L1) on Distinct5-512","replace broad speedup prose with a normalized time-to-parity figure",aaai2027_adversarial_review_20260602_r2.md,"Backfilled from existing round consensus"
R20260602B,2026-06-02,scorecard,independent_lane_B,current_paper_plus_distinct5_and_idt_recheck,paper_plus_comparison,weak_reject,narrow_only,partial,1,1,1,0,6.0,5.5,4.5,6.0,5.0,5.0,"headline claim set is ahead of direct experimental closure","run flow-loss metric ablation (MSE vs Huber vs L1) on Distinct5-512","run semantic-vs-random SA-SWD axis ablation on a fixed F/H base",aaai2027_scorecard_20260602_r2.md,"Average 5.33 from existing scorecard"
R20260602B,2026-06-02,experiment_audit,independent_lane_C,current_paper_plus_distinct5_and_idt_recheck,paper_plus_comparison,weak_reject,unsafe,open,0,1,1,0,,,,,,,"blocking ablations remain open for flow-loss metric, semantic-axis isolation, and normalized speed","run flow-loss metric ablation (MSE vs Huber vs L1) on Distinct5-512","run semantic-vs-random SA-SWD axis ablation on a fixed F/H base",aaai2027_experiment_audit_20260602_r2.md,"Backfilled from existing consensus and audit files"
R20260603A,2026-06-03,adversarial_review,Avicenna,current_paper_state__continuous_review_upgrade,review_lane_process_and_current_claims,weak_reject,unsafe,open,0,1,0,0,,,,,,,"the launched flow-loss metric block was invalidated by config audit, and the paper still lacks activated closure on endpoint metric, SA-SWD isolation, and normalized speed/provenance","run repaired endpoint-metric ablation on one fixed Distinct5 base first","switch routine review cycles to compact CSV logging and memo only on boundary changes",live_subagent_round_20260603A,"Updated after config audit invalidated the first mse/huber/l1 block"
R20260603A,2026-06-03,scorecard,Harvey,current_paper_state__continuous_review_upgrade,review_lane_process_and_current_claims,weak_reject,unsafe,open,0,1,1,0,6.0,5.5,4.5,6.0,5.0,5.0,"critical missing experiment blocks still dominate paper risk, and the first flow-loss trio no longer counts as evidence","close a repaired endpoint-metric ablation before raising technical-quality claims","close SA-SWD isolation and normalized time-to-parity before headline escalation",live_subagent_round_20260603A,"Updated after config audit invalidated the first mse/huber/l1 block"
R20260603A,2026-06-03,experiment_audit,Kepler,current_paper_state__continuous_review_upgrade,review_lane_process_and_current_claims,weak_reject,unsafe,open,0,1,1,0,,,,,,,"claim escalation must stay blocked until an activated metric probe, axis isolation, and parity experiments land","run repaired endpoint-metric ablation before the semantic-vs-random SA-SWD block","build normalized time-to-parity curve on the same comparison scope",live_subagent_round_20260603A,"Updated after config audit invalidated the first mse/huber/l1 block"
R20260603B,2026-06-03,adversarial_review,Lorentz,current_paper_plus_huber_running_and_claim_tightening,paper_plus_active_ablation_status,weak_reject,unsafe,open,0,0,1,0,,,,,,,"latent-metric thesis still sits ahead of matched closure, with efficiency and SA-SWD claims still vulnerable","finish matched flow-loss block on remote 3060","soften efficiency wording until normalized time-to-parity is closed",aaai2027_adversarial_review_20260603_r3.md,"Standalone adversarial memo; not yet a full three-lane cycle"
R20260603C,2026-06-03,adversarial_review,Carver,endpoint_metric_trio_closed__before_sa_swd_and_time_to_parity,paper_plus_repaired_endpoint_packet,weak_reject,narrow_only,partial,1,0,1,1,,,,,,,"Endpoint-only review is now negatively closed, but the paper still outruns the evidence on SA-SWD isolation and normalized efficiency/fairness.","Run and log the fixed-base Distinct5 semantic-vs-random SA-SWD axis ablation, then narrow or retain the SA-SWD novelty claim accordingly.","Produce one same-scope normalized time-to-parity artifact and remove any remaining speed wording that reads broader than an operating-point observation.",live_subagent_round_20260603C,"Repaired endpoint trio closes the inactive-probe objection, but only as a negative endpoint-only result."
R20260603C,2026-06-03,scorecard,Ampere,endpoint_metric_trio_closed__before_sa_swd_and_time_to_parity,paper_plus_repaired_endpoint_packet,weak_reject,narrow_only,partial,1,0,2,1,6.0,5.0,5.0,6.0,6.0,5.0,"SA-SWD semantic-vs-random isolation and normalized time-to-parity remain open, so endpoint-only negative closure is not enough to lift the paper.","Run the planned SA-SWD semantic-axis vs random-axis ablation and bind the claim to that packet only.","Replace vulnerable speed rhetoric with one same-scope time-to-parity figure across LBM, SaMAM, and SaMST.",live_subagent_round_20260603C,"Average AAAI score is 5.5; endpoint-metric closure helps, but only as a bounded negative packet."
R20260603C,2026-06-03,experiment_audit,Darwin,endpoint_metric_trio_closed__before_sa_swd_and_time_to_parity,paper_plus_repaired_endpoint_packet,weak_reject,narrow_only,partial,1,2,2,1,,,,,,,"Endpoint-only trio is now valid and negatively closed, but the paper still lacks the remaining experiment-audit gates: semantic-vs-random SA-SWD and normalized efficiency closure.","Keep endpoint-metric prose strictly at the negative-closure boundary: endpoint-only pointwise supervision does not recover the reviewed H-mainline frontier.","Do not promote the repaired trio into a broader latent-metric or SA-SWD-superiority claim until the separate remaining gates are closed.",live_subagent_round_20260603C,"Endpoint-metric lane is no longer an inactive-probe failure, but it is still only a narrow supporting packet."
