image,src_style,src_stem,tgt_style,lpips,clip_style,clip_content
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Early_Renaissance,0.4160495400428772,0.7029038667678833,0.9222015142440796
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Impressionism.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Impressionism,0.42342156171798706,0.5836690664291382,0.920314610004425
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Minimalism.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Minimalism,0.4791393280029297,0.5701300501823425,0.9147482514381409
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Rococo,0.4345087707042694,0.6090794801712036,0.9184612035751343
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Ukiyo_e,0.41965436935424805,0.6433742642402649,0.9170784950256348
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Early_Renaissance.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Early_Renaissance,0.3264505863189697,0.7376036047935486,0.8640211820602417
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Impressionism.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Impressionism,0.3364492654800415,0.5401701331138611,0.8617454767227173
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Minimalism.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Minimalism,0.39802443981170654,0.5449240803718567,0.8599308133125305
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Rococo,0.3486452102661133,0.5653034448623657,0.862808346748352
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Ukiyo_e,0.3296174705028534,0.5992718935012817,0.8593255281448364
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Early_Renaissance.png,Early_Renaissance,antonello-da-messina_painter-self-portrait,Early_Renaissance,0.3460865914821625,0.6572861075401306,0.856094479560852
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Impressionism.png,Early_Renaissance,antonello-da-messina_painter-self-portrait,Impressionism,0.35519227385520935,0.5554988980293274,0.8624865412712097
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Minimalism.png,Early_Renaissance,antonello-da-messina_painter-self-portrait,Minimalism,0.39592161774635315,0.5920025706291199,0.8765542507171631
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Rococo.png,Early_Renaissance,antonello-da-messina_painter-self-portrait,Rococo,0.3644842207431793,0.6267454028129578,0.8778095245361328
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Ukiyo_e.png,Early_Renaissance,antonello-da-messina_painter-self-portrait,Ukiyo_e,0.34491121768951416,0.6043935418128967,0.8544137477874756
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Early_Renaissance.png,Early_Renaissance,bartolome-bermejo_death-of-the-virgin-1462,Early_Renaissance,0.2821499705314636,0.7310771942138672,0.9041330814361572
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Impressionism.png,Early_Renaissance,bartolome-bermejo_death-of-the-virgin-1462,Impressionism,0.28336963057518005,0.5266320109367371,0.8863625526428223
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism.png,Early_Renaissance,bartolome-bermejo_death-of-the-virgin-1462,Minimalism,0.3599962592124939,0.5201624631881714,0.8232579231262207
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Rococo.png,Early_Renaissance,bartolome-bermejo_death-of-the-virgin-1462,Rococo,0.2928660809993744,0.6272986531257629,0.8738274574279785
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Ukiyo_e.png,Early_Renaissance,bartolome-bermejo_death-of-the-virgin-1462,Ukiyo_e,0.2990933656692505,0.5850422978401184,0.8744299411773682
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Early_Renaissance.png,Early_Renaissance,benozzo-gozzoli_madonna-and-child-1485,Early_Renaissance,0.3201037049293518,0.7101088762283325,0.9435709714889526
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Impressionism.png,Early_Renaissance,benozzo-gozzoli_madonna-and-child-1485,Impressionism,0.3237062394618988,0.4854379892349243,0.9475032687187195
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Minimalism.png,Early_Renaissance,benozzo-gozzoli_madonna-and-child-1485,Minimalism,0.39676129817962646,0.5189961791038513,0.8910719752311707
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Rococo.png,Early_Renaissance,benozzo-gozzoli_madonna-and-child-1485,Rococo,0.33390793204307556,0.5353181958198547,0.9276858568191528
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Ukiyo_e.png,Early_Renaissance,benozzo-gozzoli_madonna-and-child-1485,Ukiyo_e,0.33301976323127747,0.5002129673957825,0.9289486408233643
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Early_Renaissance.png,Early_Renaissance,benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4,Early_Renaissance,0.4247872233390808,0.6536241769790649,0.8881758451461792
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Impressionism.png,Early_Renaissance,benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4,Impressionism,0.4166805148124695,0.4944779574871063,0.8994908928871155
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Minimalism.png,Early_Renaissance,benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4,Minimalism,0.48750272393226624,0.5427749156951904,0.8699331283569336
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Rococo.png,Early_Renaissance,benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4,Rococo,0.42199990153312683,0.56276935338974,0.8991468548774719
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Ukiyo_e.png,Early_Renaissance,benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4,Ukiyo_e,0.44853368401527405,0.5384029150009155,0.8754635453224182
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Early_Renaissance.png,Early_Renaissance,benozzo-gozzoli_the-school-of-tagaste-1465-1,Early_Renaissance,0.3123113811016083,0.7443519830703735,0.9392582178115845
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Impressionism.png,Early_Renaissance,benozzo-gozzoli_the-school-of-tagaste-1465-1,Impressionism,0.321222186088562,0.5638545751571655,0.9362432360649109
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Minimalism.png,Early_Renaissance,benozzo-gozzoli_the-school-of-tagaste-1465-1,Minimalism,0.3863118886947632,0.5585013031959534,0.9229369759559631
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Rococo.png,Early_Renaissance,benozzo-gozzoli_the-school-of-tagaste-1465-1,Rococo,0.3330536186695099,0.5622621178627014,0.934411883354187
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Ukiyo_e.png,Early_Renaissance,benozzo-gozzoli_the-school-of-tagaste-1465-1,Ukiyo_e,0.31711703538894653,0.6078306436538696,0.9326232075691223
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_piet-1__to__Early_Renaissance.png,Early_Renaissance,carlo-crivelli_piet-1,Early_Renaissance,0.248024582862854,0.7405053973197937,0.8851331472396851
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_piet-1__to__Impressionism.png,Early_Renaissance,carlo-crivelli_piet-1,Impressionism,0.2532958984375,0.5370532274246216,0.8730418682098389
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_piet-1__to__Minimalism.png,Early_Renaissance,carlo-crivelli_piet-1,Minimalism,0.323855459690094,0.5876918435096741,0.8611381649971008
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_piet-1__to__Rococo.png,Early_Renaissance,carlo-crivelli_piet-1,Rococo,0.2649397552013397,0.5647775530815125,0.8667629957199097
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_piet-1__to__Ukiyo_e.png,Early_Renaissance,carlo-crivelli_piet-1,Ukiyo_e,0.25221487879753113,0.5918758511543274,0.8882376551628113
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Early_Renaissance.png,Early_Renaissance,carlo-crivelli_saint-thomas-aquinas-1476,Early_Renaissance,0.29963934421539307,0.6759650707244873,0.8718040585517883
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Impressionism.png,Early_Renaissance,carlo-crivelli_saint-thomas-aquinas-1476,Impressionism,0.305526465177536,0.4963178336620331,0.8825887441635132
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism.png,Early_Renaissance,carlo-crivelli_saint-thomas-aquinas-1476,Minimalism,0.382841020822525,0.5255816578865051,0.863548994064331
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Rococo.png,Early_Renaissance,carlo-crivelli_saint-thomas-aquinas-1476,Rococo,0.31762200593948364,0.5897496342658997,0.8839265704154968
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Ukiyo_e.png,Early_Renaissance,carlo-crivelli_saint-thomas-aquinas-1476,Ukiyo_e,0.3106907308101654,0.5526902079582214,0.8770478963851929
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance.png,Early_Renaissance,domenico-ghirlandaio_st-jerome,Early_Renaissance,0.32789739966392517,0.7014991044998169,0.8947546482086182
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Impressionism.png,Early_Renaissance,domenico-ghirlandaio_st-jerome,Impressionism,0.3122738301753998,0.5453264117240906,0.9073699712753296
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Minimalism.png,Early_Renaissance,domenico-ghirlandaio_st-jerome,Minimalism,0.3493998348712921,0.6046550273895264,0.9012873768806458
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Rococo.png,Early_Renaissance,domenico-ghirlandaio_st-jerome,Rococo,0.31193462014198303,0.5654863715171814,0.9051382541656494
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Ukiyo_e.png,Early_Renaissance,domenico-ghirlandaio_st-jerome,Ukiyo_e,0.3375556468963623,0.6021479964256287,0.8917356729507446
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Early_Renaissance.png,Early_Renaissance,domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,Early_Renaissance,0.28405481576919556,0.7159185409545898,0.931925892829895
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Impressionism.png,Early_Renaissance,domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,Impressionism,0.28456783294677734,0.49005642533302307,0.9289985299110413
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Minimalism.png,Early_Renaissance,domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,Minimalism,0.3546494245529175,0.5093289017677307,0.9315478801727295
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Rococo.png,Early_Renaissance,domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,Rococo,0.2936607897281647,0.5514771342277527,0.9245290160179138
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter__to__Ukiyo_e.png,Early_Renaissance,domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,Ukiyo_e,0.2980835735797882,0.5255561470985413,0.9210077524185181
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_the-nativity-1__to__Early_Renaissance.png,Early_Renaissance,domenico-ghirlandaio_the-nativity-1,Early_Renaissance,0.29347607493400574,0.7216005921363831,0.9649299383163452
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_the-nativity-1__to__Impressionism.png,Early_Renaissance,domenico-ghirlandaio_the-nativity-1,Impressionism,0.2981773614883423,0.5206244587898254,0.9618816375732422
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_the-nativity-1__to__Minimalism.png,Early_Renaissance,domenico-ghirlandaio_the-nativity-1,Minimalism,0.3601861596107483,0.5239022374153137,0.9342429637908936
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_the-nativity-1__to__Rococo.png,Early_Renaissance,domenico-ghirlandaio_the-nativity-1,Rococo,0.30770811438560486,0.539139449596405,0.9528790712356567
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__domenico-ghirlandaio_the-nativity-1__to__Ukiyo_e.png,Early_Renaissance,domenico-ghirlandaio_the-nativity-1,Ukiyo_e,0.2976636588573456,0.5476162433624268,0.9619141817092896
