"timestamp","scope","exp_dir","remote_path","policy_action","live_total_files","live_total_mb","live_media_files","live_summary_json","live_csv","live_grid_media","live_weight_files","representative_summary_or_report","representative_csv_or_metrics","representative_grid_or_media","representative_checkpoint","manifest_decision","delete_whitelist","next_action"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","keep_current_aaai2027_media","2281","418.435","2253","3","5","3","3","full_eval/epoch_0001/summary.json; full_eval/epoch_0002/summary.json; full_eval/epoch_0003/summary.json","full_eval/epoch_0001/metrics.csv; full_eval/epoch_0002/metrics.csv; full_eval/epoch_0003/metrics.csv; logs/training_20260603_033401.csv","full_eval/epoch_0001/summary_grid.png; full_eval/epoch_0001-0003/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt","retain_full_packet_until_owner_archive_selection","no","owner may choose current packet; then build path-preserving archive"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","keep_current_aaai2027_media","2281","418.719","2253","3","5","3","3","full_eval/epoch_0001/summary.json; full_eval/epoch_0002/summary.json; full_eval/epoch_0003/summary.json","full_eval/epoch_0001/metrics.csv; full_eval/epoch_0002/metrics.csv; full_eval/epoch_0003/metrics.csv; logs/training_20260603_034931.csv","full_eval/epoch_0001/summary_grid.png; full_eval/epoch_0001-0003/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt","retain_full_packet_until_owner_archive_selection","no","owner may choose current packet; then build path-preserving archive"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","keep_current_aaai2027_media","2281","415.696","2253","3","5","3","3","full_eval/epoch_0001/summary.json; full_eval/epoch_0002/summary.json; full_eval/epoch_0003/summary.json","full_eval/epoch_0001/metrics.csv; full_eval/epoch_0002/metrics.csv; full_eval/epoch_0003/metrics.csv; logs/training_20260603_031828.csv","full_eval/epoch_0001/summary_grid.png; full_eval/epoch_0001-0003/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt","retain_full_packet_until_owner_archive_selection","no","owner may choose current packet; then build path-preserving archive"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","aaai2027_flow_loss_h_base_huber_seed42_b44","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_huber_seed42_b44","keep_current_aaai2027_media","2281","428.515","2253","3","5","3","3","full_eval/epoch_0001/summary.json; full_eval/epoch_0002/summary.json; full_eval/epoch_0003/summary.json","full_eval/epoch_0001/metrics.csv; full_eval/epoch_0002/metrics.csv; full_eval/epoch_0003/metrics.csv; logs/training_20260603_015714.csv","full_eval/epoch_0001/summary_grid.png; full_eval/epoch_0001-0003/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt","retain_full_packet_until_owner_archive_selection","no","owner may choose current packet; then build path-preserving archive"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","aaai2027_flow_loss_h_base_l1_seed42_b44","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_l1_seed42_b44","keep_current_aaai2027_media","2281","430.316","2253","3","5","3","3","full_eval/epoch_0001/summary.json; full_eval/epoch_0002/summary.json; full_eval/epoch_0003/summary.json","full_eval/epoch_0001/metrics.csv; full_eval/epoch_0002/metrics.csv; full_eval/epoch_0003/metrics.csv; logs/training_20260603_021910.csv","full_eval/epoch_0001/summary_grid.png; full_eval/epoch_0001-0003/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt","retain_full_packet_until_owner_archive_selection","no","owner may choose current packet; then build path-preserving archive"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","aaai2027_flow_loss_h_base_mse_seed42_b44","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_mse_seed42_b44","keep_current_aaai2027_media","2281","430.287","2253","3","4","3","3","full_eval/epoch_0001/summary.json; full_eval/epoch_0002/summary.json; full_eval/epoch_0003/summary.json","full_eval/epoch_0001/metrics.csv; full_eval/epoch_0002/metrics.csv; full_eval/epoch_0003/metrics.csv; logs/training_20260603_011339.csv","full_eval/epoch_0001/summary_grid.png; full_eval/epoch_0001-0003/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt","retain_full_packet_until_owner_archive_selection","no","owner may choose current packet; then build path-preserving archive"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","keep_current_aaai2027_media","2285","401.805","2253","3","4","3","3","full_eval/epoch_0001/summary.json; full_eval/epoch_0002/summary.json; full_eval/epoch_0003/summary.json","full_eval/epoch_0001/metrics.csv; full_eval/epoch_0002/metrics.csv; full_eval/epoch_0003/metrics.csv; logs/training_20260603_092701.csv","full_eval/epoch_0001/summary_grid.png; full_eval/epoch_0001-0003/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt","retain_full_packet_until_owner_archive_selection","no","owner may choose current packet; then build path-preserving archive"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","keep_current_aaai2027_media","2284","313.518","2253","3","4","3","3","full_eval/epoch_0001/summary.json; full_eval/epoch_0002/summary.json; full_eval/epoch_0003/summary.json","full_eval/epoch_0001/metrics.csv; full_eval/epoch_0002/metrics.csv; full_eval/epoch_0003/metrics.csv; logs/training_20260603_084805.csv","full_eval/epoch_0001/summary_grid.png; full_eval/epoch_0001-0003/images=750 each","epoch_0001.pt; epoch_0002.pt; epoch_0003.pt","retain_full_packet_until_owner_archive_selection","no","owner may choose current packet; then build path-preserving archive"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","configs","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs","keep_cited_media","933","368.559","152","169","224","144","0","experiments_root/01_omf_swd_15/full_eval/batch_summary.json; experiments_root/01_omf_swd_15/full_eval/epoch_0020/summary.json","experiments_root/01_omf_swd_15/full_eval/batch_summary.csv; experiments_root/01_omf_swd_15/full_eval/epoch_0020/metrics.csv","experiments_root/01_omf_swd_15/full_eval/epoch_0020/summary_grid.png; orthogonal_phase_space_sweep_debug/reports=8","", "retain_path_ambiguous_exp_configs_surface","no","build path mapping because root configs is not the media-bearing exp/configs surface"
"2026-06-05Tlive-recheck","remote_tokenizerclean_cited_current_media_manifest","diagnostics","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\diagnostics","keep_cited_media","7834","2872.709","7723","53","52","48","0","axis_scale_color_x150_n6/summary.json; axis_scale_probe_n6_summary.json","axis_scale_color_x150_n6/metrics.csv; axis_scale_geometry_x125_n6/metrics.csv","axis_scale_color_x150_n6/grid_first_per_class.png; pairrel_c090_g100_b040_from_spatial_gate_n6/images=750","", "retain_large_cited_diagnostics_surface","no","build representative image set before any bulk media migration"
