"review_id","scope","consumer_type","source_path","line_refs","opened_evidence","cache_root_referenced","duplicate_group_relevance","manual_finding","decision","cleanup_whitelist","next_required_action"
"cache_path_ref_001","local","baseline eval wrapper","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\evaluation\run_sb_eval_v2.py","18,44-52","Opened file and command construction; CLIP_PATH is passed into utils.run_evaluation as --clip_model_name.","G:\GitHub\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32","Local path reference; local Cycle-NCE manual_clip is currently absent, but the wrapper is an active local consumer path.","Do not treat Cycle-NCE eval_cache as unreferenced just because root eval_cache exists.","retain","no","If this wrapper is kept, either migrate it to canonical root cache or document a symlink before deleting any Cycle-NCE cache-local payloads."
"cache_path_ref_002","local","baseline eval wrapper","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\evaluation\run_sb_eval_all.py","18,50-58","Opened file and command construction; CLIP_PATH is the Cycle-NCE manual CLIP directory.","G:\GitHub\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32","Local path reference; same risk class as run_sb_eval_v2.py.","Baseline evaluation code still names the Cycle-NCE cache path explicitly.","retain","no","Unify this wrapper with root eval_cache or create a documented redirect before deletion."
"cache_path_ref_003","local","baseline batch metric script","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\evaluation\eval_batch.py","21-22,93-97","Opened file; CACHE_DIR is REPO_ROOT/Cycle-NCE/eval_cache and LOCAL_CLIP_DIR is used when it exists.","G:\GitHub\Latent_Style\Cycle-NCE\eval_cache","Local duplicate ref_feats groups shared by root/Cycle-NCE can be consumed by historical Cycle-NCE cache conventions.","The script has fallback to online model id if LOCAL_CLIP_DIR is missing, but the configured local cache root is still Cycle-NCE.","retain","no","Do not delete Cycle-NCE eval_cache files until consumer paths are migrated and an offline fallback is tested."
"cache_path_ref_004","local","baseline metric script","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\evaluation\eval_all_baselines.py","25-28,107-112","Opened file; CACHE_DIR and LOCAL_CLIP_DIR point to Cycle-NCE eval_cache and are used for CLIP loading.","G:\GitHub\Latent_Style\Cycle-NCE\eval_cache","Local path reference for Cycle-NCE cache-local layout.","This is another independent local consumer of the Cycle-NCE cache root.","retain","no","Migrate or redirect the baseline metric script before considering duplicate cache deletion."
"cache_path_ref_005","local","Distinct5 grid evaluation tool","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\evaluation\eval_wikiart512_grid_outputs.py","104,126-132","Opened file; default --clip-cache is a hard-coded G: Cycle-NCE manual_clip path and is used for CLIPModel/CLIPProcessor loading.","G:\GitHub\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32","Local hard-coded path; even if the current local directory is missing, the default proves the consumer contract was not unified.","Hard-coded G: path means deletion or relocation must be paired with code/config migration, not inferred from duplicate hashes.","retain","no","Change the default to canonical root cache and verify offline eval before pruning any cache-local duplicate."
"cache_path_ref_006","local","SchrodingerBridge full eval","G:\GitHub\Latent_Style\SchrodingerBridge\src\utils\run_evaluation.py","70-83,89-98,1178,1322-1341,1911-1928,2269-2272","Opened file; default cache_dir is ../eval_cache, manual CLIP candidates include root and Cycle-NCE layouts, ref_feats are stored under cache_dir, ArtFID loader receives cache_dir.","G:\GitHub\Latent_Style\eval_cache; G:\GitHub\Latent_Style\Cycle-NCE\eval_cache; G:\GitHub\Latent_Style\SchrodingerBridge\eval_cache depending launch/config","Local exact duplicates include ref_feats across root/SchrodingerBridge/Cycle-NCE and art_inception.pth across root/SchrodingerBridge.","The evaluator intentionally supports multiple historical cache roots; deleting exact duplicates without fixing launch/config roots can break offline reuse or force recomputation/download.","retain","no","Choose a canonical cache root and migrate configs/scripts, or document symlinks, then rerun offline eval before any whitelist."
"cache_path_ref_007","local","ArtFID checkpoint loader","G:\GitHub\Latent_Style\SchrodingerBridge\src\utils\artfid_metric.py","24-30,83-89","Opened file; download_art_inception_checkpoint reads or creates cache_dir/artfid/art_inception.pth.","cache_dir\artfid\art_inception.pth","Local duplicate group art_inception.pth exists in root eval_cache and SchrodingerBridge/eval_cache with matching SHA256.","The duplicate is real, but each copy is tied to the cache_dir supplied by an eval run; deleting one copy can break offline ArtFID for that cache root.","retain","no","Only dedup after cache_dir consumers are unified or after replacing the removed copy with a documented link."
"cache_path_ref_008","local","Cycle-NCE historical configs","G:\GitHub\Latent_Style\Cycle-NCE\46_08_natural_spectrum_reset\config.json and peer configs","94-96 plus Select-String sample across 46/freq/src/tmp configs","Opened representative config and sampled peers; full_eval_cache_dir is ./eval_cache or ../eval_cache and clip_hf_cache_dir is under that local cache.","G:\GitHub\Latent_Style\Cycle-NCE\eval_cache","Local duplicate ref_feats groups shared with root/SchrodingerBridge are aligned with this historical cache-local config style.","Cycle-NCE experiments encode cache-local paths in configs; deleting local ref_feats would reduce reproducibility and timing fidelity even if metrics can be recomputed.","retain","no","If Cycle-NCE cache is pruned, first record a config migration or cache redirect policy."
"cache_path_ref_009","local","SchrodingerBridge archived/active configs","G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\longer_train_k_seed42_b44_e8.json; SchrodingerBridge\exp\manual_k1_k2_8epoch\*.json; local WSL configs","9-10; manual_k1_k2 sample 103-105; Select-String sample","Opened current AAAI2027 config and sampled exp configs; root eval_cache, /mnt/g root eval_cache, and ../Cycle-NCE/eval_cache all appear.","G:\GitHub\Latent_Style\eval_cache; ../Cycle-NCE\eval_cache; /mnt/g/GitHub/Latent_Style/eval_cache","Explains why local duplicate roots are path-sensitive and not just storage waste.","Current and historical configs are not normalized to one cache root.","retain","no","Do not whitelist cache duplicate deletion until config-level references are normalized."
"cache_path_ref_010","remote-main","cache root inventory","ssh administrator@100.115.18.62:I:\Github\Latent_Style eval cache roots","manual root listing","Opened remote root, SchrodingerBridge, and Cycle-NCE eval_cache roots; all three exist and contain top-level cache payloads.","I:\Github\Latent_Style\eval_cache; I:\Github\Latent_Style\SchrodingerBridge\eval_cache; I:\Github\Latent_Style\Cycle-NCE\eval_cache","Remote duplicate groups include root/Cycle-NCE manual_clip, root/Cycle-NCE ref_feats, and root/SchrodingerBridge ref_feats.","Remote cache roots are live surfaces, not hypothetical paths.","retain","no","Keep all roots until remote scripts/configs are migrated or symlinked and post-migration eval is verified."
