"scope","location","path","period_start","period_end","top_level_or_family","dataset_or_setting","method_or_component","weight_file_count","weight_size_mb","evidence_class","cleanup_status","opened_evidence","note"
"local","G","Dataset","2026-03-01","2026-06-03","data root","Distinct5-512; legacy256_overfit50; WikiArt512-5style; stress splits","dataset input","","","data","keep","Get-ChildItem Dataset","Top-level input data root with distinct5_512, eval, legacy256_overfit50, wikiart512_5style, wikiart_stress_splits_512."
"local","G","SchrodingerBridge","2026-05-08","2026-06-05","current mainline root","Distinct5-512; WikiArt512-5style; legacy strict750","LANCET / LBM","","","current evidence root","keep","Get-ChildItem SchrodingerBridge","Contains current source, docs, configs, exp, eval cache, S-add historical run, and paper artifacts. Paper tex/pdf were not edited."
"local","G","SchrodingerBridge/docs/experiments","2026-05-10","2026-06-05","evidence docs","Distinct5-512; WikiArt512; timing","timing and claim evidence","","","primary source surface","keep","manual timing evidence report; docs listings","Primary local source for timing and claim-safety rows."
"local","G","SchrodingerBridge/exp","2026-06-01","2026-06-05","experiment output root","WikiArt512-5style; Distinct5-512","LANCET / LBM","12","566.542","mixed formal plus probe plus metric dependency","partially cleaned; retain cited anchors","recursive exact extension count; grouped by run","8 WikiArt512 formal epoch weights, 3 Distinct5 local VRAM-probe weights, and 1 ArtFID dependency under video metric cache."
"local","G","SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8","2026-06-01","2026-06-02","formal timing anchor","WikiArt512-5style","LANCET / LBM","8","260.552","formal train/full-eval evidence","keep","manual_directory_classification; weight grouping","Do not delete: current formal full-eval anchor with 750-sample timing."
"local","G","SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_vramprobe","2026-06-05","2026-06-05","local probe","Distinct5-512","LANCET / LBM K","3","203.052","probe checkpoint residue","candidate, not deleted in this pass","weight grouping by run","Non-paper VRAM/probe weights remain; requires explicit retention decision because this pass avoided new destructive deletes."
"local","G","Related_Works","2026-03-25","2026-06-05","baseline root","legacy256_overfit50; Distinct5-512","AdaIN / CUT / CycleGAN / SaMST / SaMAM / StarGAN / SDEdit / Seedream","31","814.913","baseline and dependency evidence","cleaned actual run ckpts; keep deps/fake placeholders","Get-ChildItem Related_Works; recursive exact extension count","Remaining files are mostly VGG/Inception/LPIPS dependencies and tiny fake_eval_checkpoint placeholders; prior cleanup removed non-mainline run checkpoints."
"local","G","Related_Works/results/metrics_summary","2026-05-11","2026-05-25","timing summary","legacy256_overfit50","baseline methods","","","historical timing evidence","keep","timing_summary.csv; timing_summary.md","Use evidence grades because rows include strict, smoke, failed, and unfair cases."
"local","G","Related_Works/runs/cut_5x5 and cyclegan_5x5*","2026-04-04","2026-06-05","baseline cleanup targets","legacy256_overfit50","CUT / CycleGAN","0","","post-delete check","clean","manual post-delete checks","Checkpoint directories were reopened after cleanup; no remaining training weights in checked cleanup targets."
"local","G","Cycle-NCE","2026-02-27","2026-05-29","historical root","legacy256_overfit50; Ukiyo-e fewshot","Cycle-NCE","3","1.054","historical archive plus eval cache","keep","Get-ChildItem Cycle-NCE; weight detail","Remaining .pt files are eval_cache/ref_feats_*.pt, not training checkpoints."
"local","G","final_works","2026-05-27","2026-05-27","legacy baseline aggregate","legacy256_overfit50","CUT / SaMST / StarGAN / SDEdit","0","0","aggregate metrics and images","clean of training weights","Get-ChildItem final_works; exact weight count","Contains final_works_metrics*.csv and result folders; trial checkpoint cleanup already checked in Related_Works/final_works."
"local","G","lambda_grid","2026-05-13","2026-05-27","dry-run sweep shell","legacy S-add checkpoint reference","SchrodingerBridge sweep","0","0","dry-run placeholder","keep as negative evidence","Get-ChildItem lambda_grid; root manifest/run_summary","Root manifest has dry_run=true; 0.001s rows are not real train/eval timing."
"local","G","step_count_sweep","2026-05-13","2026-05-27","dry-run step sweep","legacy S-add checkpoint reference","SchrodingerBridge inference sweep","0","0","dry-run placeholder","keep as negative evidence","Get-ChildItem step_count_sweep; root manifest/run_summary","Dry-run/status surface; do not promote elapsed_sec as inference timing."
"local","G","efficiency","2026-05-13","2026-05-27","profile output","legacy S-add checkpoint reference","efficiency profile","","","profile summary","keep","Get-ChildItem efficiency","Contains efficiency_profile.json only."
"local","G","fast_infer_ablate43","2026-05-27","2026-05-27","script/tooling root","legacy fast inference","runtime/export scripts","","","tooling","keep","Get-ChildItem fast_infer_ablate43","Scripts only: ONNX/TRT/runtime/server/bench."
"local","G","latent_cyclegan","2026-05-27","2026-05-27","code/docs root","legacy256","Latent CycleGAN","","","tooling/docs","keep","Get-ChildItem latent_cyclegan","No weight files in top-level count."
"local","G","exp","2026-05-27","2026-06-01","root-level probe logs","WikiArt512 tokenizer probes","probe/runtime logs","0","0","runtime residue","keep as non-mainline log surface","Get-ChildItem exp; exact weight count","Contains highres_eval_local, reference_memory_generation_probe, pid/log files; no weights."
"local","G","logs","2026-05-25","2026-05-25","root logs","Related_Works move/sync","operations logs","","","operations evidence","keep","Get-ChildItem logs","Only finish/move logs."
"local","G","eval_cache","2026-05-18","2026-06-05","metric and model cache","eval dependencies","CLIP / VAE / Inception / ArtFID","30","4383.348","cache/pretrained dependency","keep","Get-ChildItem eval_cache; exact weight count","Do not delete during checkpoint cleanup; required for eval."
"local","G","clip-feats-vitb32","2026-03-09","2026-03-09","feature cache","legacy 5-style","CLIP features","10361","1303.526","feature cache","keep","Get-ChildItem clip-feats-vitb32; exact weight count","Per-image feature tensors, not checkpoints."
"local","G","latent-256","2026-03-05","2026-03-10","latent dataset","legacy 5-style","latent cache","10361","177.702","latent data","keep","Get-ChildItem latent-256; exact weight count","Per-image latent tensors, not training checkpoints."
"local","G","style_data","2026-02-26","2026-05-27","style/content data root","legacy data splits","dataset input","0","0","data","keep","Get-ChildItem style_data; exact weight count","Contains grid5, overfit50, train/test/val roots."
"local","G","seedream45_api","2026-05-29","2026-05-29","Seedream output root","protocol_a_800","Seedream API baseline","1","0.001","tiny eval placeholder","keep or delete only with placeholder policy","Get-ChildItem seedream45_api; exact weight detail","Only fake_eval_checkpoint.pt at 0.00146 MB."
"local","G","archive","2026-05-19","2026-05-27","local cleanup archive","workspace cleanup","archive","","","historical archive","keep","Get-ChildItem archive","Contains 2026-05-19_cleanup."
"local","G","tmp","2026-06-04","2026-06-04","paper/review scratch","AAAI paper QA","PDF/text/image review","","","paper scratch not experiment","keep out of archaeology cleanup","Get-ChildItem tmp","Not an experiment source; do not touch in this task."
"local","G","review_additional_experiments_aggregates","2026-05-27","2026-05-27","aggregate CSV root","review additional experiments","aggregate summaries","","","summary evidence","keep","Get-ChildItem review_additional_experiments_aggregates","Contains efficiency/lambda/step aggregate CSV/JSON."
"local","G","o20_d3","2026-05-27","2026-05-27","old config/log/src root","legacy experiment","old SchrodingerBridge variant","","","historical residue","keep pending separate archive decision","Get-ChildItem o20_d3","Config/log/src only in opened listing."
"local","G","wikiart_fewshot","2026-03-10","2026-03-10","fewshot data","Ukiyo-e","dataset input","","","data","keep","Get-ChildItem wikiart_fewshot","Dataset/processed dataset only."
"local","G","Plan_Docs","2026-05-27","2026-05-27","planning docs","project status","docs","","","docs","keep","Get-ChildItem Plan_Docs","PROJECT_STATUS and RESULTS_SUMMARY."
"local","G","PaperOrchestra-0.2.0","2026-05-27","2026-05-27","tooling bundle","paper tooling","PaperOrchestra","","","tooling","keep","Get-ChildItem PaperOrchestra-0.2.0","Not experiment output."
"local","G","root manifest.json and run_summary.*","2026-05-13","2026-05-13","dry-run launcher output","legacy S-add","sweep launcher","","","negative timing evidence","keep","Get-Content manifest.json; run_summary.json; run_summary.csv","dry_run=true; do not use 0.000/0.001 elapsed values as real timing."
"local","G","EXPERIMENT_ARCHAEOLOGY","2026-06-05","2026-06-05","deliverable root","all datasets","manual archaeology","","","generated audit output","keep and commit","Get-ChildItem EXPERIMENT_ARCHAEOLOGY","Only directory intentionally written in this pass."
"remote","I","I:/Github","2026-05-01","2026-06-05","remote root","workspace root","remote storage","","","scope boundary","keep","Get-ChildItem I:/Github","Contains Latent_Style, Latent_Style_TokenizerClean, 26AI-H, 26AI-H.zip; 26AI-H is out of Latent_Style scope."
"remote","I","I:/Github/Latent_Style","2026-02-11","2026-06-05","remote main checkout","all local/remote datasets","main remote workspace","","","remote evidence root","keep","Get-ChildItem I:/Github/Latent_Style","Root includes data, latents, Related_Works, Cycle-NCE, StarGAN, SchrodingerBridge, seedream45_api, and archives."
"remote","I","I:/Github/Latent_Style/data","2026-02-13","2026-02-13","remote data root","legacy data","dataset input","3422","218.828","data","keep","remote count by root","Data tensors, not checkpoint cleanup target."
"remote","I","I:/Github/Latent_Style/style_data","2026-02-16","2026-02-16","remote style data","legacy style splits","dataset input","8284","530.47","data","keep","remote count by root","Style/input tensors; not checkpoints."
"remote","I","I:/Github/Latent_Style/latents","2026-02-13","2026-02-13","remote latent data","legacy 5-style","latent cache","10361","663.374","latent data","keep","remote count by root","Latent tensors, not training checkpoints."
"remote","I","I:/Github/Latent_Style/latents_overfit50","2026-02-13","2026-02-13","remote latent data","legacy overfit50","latent cache","100","1.713","latent data","keep","remote count by root","Small overfit50 latent set."
"remote","I","I:/Github/Latent_Style/latent-256","2026-02-13","2026-02-13","remote latent data","legacy 5-style","latent cache","10361","177.702","latent data","keep","remote count by root","Per-image latent tensors."
"remote","I","I:/Github/Latent_Style/latent-256-flux1","2026-05-25","2026-05-25","remote latent backend cache","legacy 5-style","FLUX latent backend","10361","3900.374","latent backend cache","keep","remote count by root","Backend latent cache; deletion would invalidate reproducibility."
"remote","I","I:/Github/Latent_Style/latent-256-flux2","2026-05-25","2026-05-25","remote latent backend cache","legacy 5-style","FLUX latent backend","10361","5195.436","latent backend cache","keep","remote count by root","Largest latent backend cache; not ckpt cleanup."
"remote","I","I:/Github/Latent_Style/latent-256-kl-f4","2026-05-26","2026-05-26","remote latent backend cache","legacy 5-style","KL-f4 latent backend","10361","3899.171","latent backend cache","keep","remote count by root","Backend latent cache."
"remote","I","I:/Github/Latent_Style/latent-256-kl-f4-mode","2026-05-26","2026-05-26","remote latent backend cache","legacy 5-style","KL-f4 mode latent backend","10361","3899.171","latent backend cache","keep","remote count by root","Backend latent cache."
"remote","I","I:/Github/Latent_Style/latent-256-sd15-ema","2026-05-30","2026-05-30","remote latent backend cache","legacy 5-style","SD15 EMA latent backend","10361","1310.264","latent backend cache","keep","remote count by root","Backend latent cache."
"remote","I","I:/Github/Latent_Style/latent-256-sdxl","2026-05-25","2026-05-25","remote latent backend cache","legacy 5-style","SDXL latent backend","10361","1310.264","latent backend cache","keep","remote count by root","Backend latent cache."
