dataset_key,checked_file,rows,local_rows,remote_rows,period_range,main_methods,metric_rows,train_timing_rows,infer_timing_rows,representative_sources,evidence_grade,formal_claim_use,timing_use,cleanup_boundary,missing_or_next_action,manual_note
cycle_nce,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/cycle_nce.csv,11794,10590,1204,2026-04-01..2026-05-30,"unknown:10807; IDT:503; AdaIN:479; LANCET/LBM:5",10590,0,0,"Cycle-NCE/Ablate43/.../grid_metrics.csv | I:\Github\Latent_Style_TokenizerClean\Cycle-NCE\freq\freq_09_lancet\full_eval\epoch_0080\summary.json","historical_metric_surface","只作为 Cycle-NCE/AdaCUT/IDT/AdaIN 历史上下文和负例/对照面；不能直接作为当前 LANCET formal claim。","无训练/推理时间可复用。","不能按文件量或历史性批量删除；已抽出的非权重 curated 包可保留，权重清理必须继续走 exact whitelist。","需要把 method 为空的大量行继续归类，区分真实 Cycle-NCE、AdaCUT、IDT、AdaIN、LANCET tokenized distill。","逐项打开后确认：大量 generic CSV 有指标，但 remote summary/log 只是历史证据；timing 留空是事实，不补造。"
schrodingerbridge_exp_general,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_exp_general.csv,4051,3138,913,2026-05-20..2026-06-04,LANCET/LBM:4051,3239,12,36,"SchrodingerBridge/exp/ablation_destructive_7epoch/destructive_ablation_7epoch_registry.csv | SchrodingerBridge/exp/analysis/current_experiment_summary_20260528*/...","mixed_current_and_historical_lancet_surface","可用于说明 2026-05 后 LANCET/LBM 大规模搜索脉络；formal 数字只能从具体 run/summary 再提升。","有少量秒级训练/推理记录，尤其 destructive ablation registry；其余多数日志不能当完整成本。","exp 目录是混合证据面；非主线 ckpt 删除需要每个 run 的 anchor policy，不能整体清理。","需要拆分 current/formal、analysis summary、ablation、remote log-only 四类后再提升指标。","逐项打开样本显示 D0/D4/D5/D9 等行有 train/infer 秒，但 4051 行里多数是指标或日志上下文。"
schrodingerbridge_weight_sweep,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_weight_sweep.csv,1285,811,474,2026-05-13..2026-05-30,"LANCET/LBM:1283; unknown:2",800,11,0,"lambda_grid/status.csv | SchrodingerBridge/exp/review_additional_experiments/.../lambda_grid/eval/kin_0p5__swd_10p0/batch_summary.csv","parameter_sweep_surface","可用于 kinetic/SWD 权重扫参脉络和相对趋势；不直接作为主结果。","status.csv 的 0.000/0.001 s 只可视为状态/调度记录，不可误当训练成本。","lambda_grid 与 review_additional 重复路径必须保留到 archive proof 完成；不能按重复路径名删除。","需要确认哪些 lambda rows 对应可复用 eval，哪些只是 status/probe。","逐项打开后看到 timing 行来自 status.csv，数值过小，已标记为不可宣传成本。"
legacy_style_transfer_experiments,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/legacy_style_transfer_experiments.csv,1120,0,1120,2026-02-15..2026-04-07,"unknown:1064; IDT:51; LANCET/LBM:5",0,0,0,"I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0050\summary.json | remote training logs","remote_legacy_context_only","只保留为早期 no-edge/no-tokenized/no-op/IDT 等历史上下文，不用于当前指标 claim。","没有可复用 timing。","远程 experiments 是历史证据面；若清理必须先列出每个 experiment 的 summary/log 是否已入库。","需要把 unknown 历史 run 重新按实验名归类，并确认是否已有本地镜像。","逐项打开确认：全部来自 remote_summary_json_curated 或 remote_training_log_curated，没有 metric/timing 字段。"
schrodingerbridge_grid_search,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_grid_search.csv,1013,544,469,2026-05-09..2026-05-30,LANCET/LBM:1013,544,0,0,"SchrodingerBridge/archives/old_experiment_dirs/grid_search_3epoch/S-none_K-1_C-0_W-*/full_eval/batch_summary.csv","historical_grid_metric_surface","可用于说明 S/K/C/W/Col 结构搜索，不直接作为最终主结果。","没有训练/推理 timing。","old_experiment_dirs 是 archive evidence；不能在未迁移指标前删除。","需要写清每个 grid 维度对应的假设和是否进入后续 formal run。","逐项打开显示本地 CSV 有指标，远程 log/summary 是补充证据；没有 timing。"
schrodingerbridge_vae_backend,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_vae_backend.csv,699,81,618,2026-05-21..2026-05-28,LANCET/LBM:699,81,0,0,"SchrodingerBridge/exp/vae_backend_256_mse_controls/vae_backend_256_results.csv | I:\Github\Latent_Style\SchrodingerBridge\exp\vae_backend\vae_scale_decode_sweep\...","backend_probe_surface","可用于 VAE backend/scale/decode 选择脉络，不作为跨方法最终结果。","没有可复用 timing。","VAE backend runs 是 probe/evidence 面，删除需要确认是否被当前 config/论文叙述引用。","需要把 256 MSE controls 与 remote scale-decode sweep 分层。","逐项打开显示 81 行本地 metric，其余是 remote summary/log。"
schrodingerbridge_frontier,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_frontier.csv,692,600,92,2026-05-22..2026-05-23,LANCET/LBM:692,600,0,0,"SchrodingerBridge/exp/frontier/frontier_decision_tree_8h/.../metrics_reuse_generated.csv | remote dynamic_metric_probe logs","frontier_probe_metric_surface","可用于 frontier 决策树/动态指标探索脉络，不能直接作为 formal benchmark。","没有训练/推理 timing。","frontier 目录是探索面；media/weights 删除要确认是否仍支撑决策树结论。","需要挑出真正影响后续设计的 frontier rows，其他只保留索引。","逐项打开显示 metrics_reuse_generated 有大量指标，remote dynamic_metric_probe 多为日志。"
schrodingerbridge_representation_probe,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/schrodingerbridge_representation_probe.csv,567,503,64,2026-05-29..2026-05-31,LANCET/LBM:567,471,0,0,"SchrodingerBridge/_codex_tmp/probe_style_representation_smoke/eval_metrics.csv | SchrodingerBridge/exp/style_representation_*/*.csv","representation_probe_surface","只能作为表示/actuator/edge/early-cotrain 探针脉络；其中 smoke 行不能被提升为正式结果。","没有训练/推理 timing。","_codex_tmp 和 probe 输出不能按 tmp 名字删除；先确认哪些已被文档引用。","需要把 smoke、probe、formal representation candidate 三类拆开。","逐项打开首行即为 smoke metrics，说明该 split 内混有 audit-only 数据。"
distinct5_512,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/distinct5_512.csv,417,305,112,2026-06-01..2026-06-05,"LANCET/LBM:191; SaMAM:92; LANCET:71; LBM:27; No-op:17; SaMST:6; idt:6",278,55,113,"SchrodingerBridge/docs/experiments/distinct5_512_20260602/... | remote aaai2027_master_experiment_log | summary.json","formal_candidate_surface","这是当前最重要的 512 Distinct5 结果面，可用于后续标定；仍需从重复来源中提升唯一 rows。","有训练分钟记录、full-eval/infer 秒记录和 text regex timing；必须区分训练、full-eval、纯生成。","Distinct5 相关输出不能整体删除；SaMAM diag、No-op、SaMST、LBM anchor 都要按代表样本/summary 留存。","需要生成 timing promotion 表，去重重复 metric rows，明确哪些 infer 是 full-eval wall。","逐项打开确认 278 metric、55 train timing、113 infer timing，是优先整理对象。"
wikiart512_5style,EXPERIMENT_ARCHAEOLOGY/final_by_dataset/wikiart512_5style.csv,200,108,92,2026-05-30..2026-06-03,"LANCET/LBM:102; SaMAM:49; LANCET:22; SaMST:12; No-op:11; idt:4",144,14,10,"SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8/full_eval_epoch_0008_b2_opt_nocls/summary.json | comparison_20260602 CSVs","formal_candidate_surface","WikiArt512-5style 是 formal/context bridge，尤其 LANCET hist b32 e8；可用于主线效率和质量叙述。","有训练分钟样本和 full-eval wall time；推理仍需纯生成/metrics 计时拆分。","local_wsl_wikiart512_hist_b32_e8 与相关 eval_cache/output 是 anchor，不能删。","需要把 750-sample full eval wall time与每图/纯推理时间分开。","逐项打开确认 LANCET hist b32 e8 指标来自 summary/json 与代表点 CSV，train_time 以原始 m 保留。"
