"timestamp","scope","group","name","path","jpg_count","size_mb","sample_path","visual_sample_opened","current_decision","delete_whitelist","owner_options","required_before_delete"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","seedream_gap","ema_edgephase_w32_flatguard_e6","SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_edgephase_w32_flatguard_e6","750","10.881","G:\GitHub\Latent_Style\SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_edgephase_w32_flatguard_e6\cezanne_00057_to_cezanne.jpg","not_this_row","retain_pending_owner","no","keep diagnostic lineage | migrate representative samples | delete later with owner whitelist","owner choice plus compact manifest and post-delete verify"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","seedream_gap","ema_edgephase_w40_styleguard_e6","SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_edgephase_w40_styleguard_e6","750","11.457","G:\GitHub\Latent_Style\SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_edgephase_w40_styleguard_e6\cezanne_00057_to_cezanne.jpg","not_this_row","retain_pending_owner","no","keep diagnostic lineage | migrate representative samples | delete later with owner whitelist","owner choice plus compact manifest and post-delete verify"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","seedream_gap","ema_region_sconv_w40_e6","SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_region_sconv_w40_e6","750","11.598","G:\GitHub\Latent_Style\SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_region_sconv_w40_e6\cezanne_00057_to_cezanne.jpg","not_this_row","retain_pending_owner","no","keep diagnostic lineage | migrate representative samples | delete later with owner whitelist","owner choice plus compact manifest and post-delete verify"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","seedream_gap","ema_routed_w36_texton_e6","SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_routed_w36_texton_e6","750","11.425","G:\GitHub\Latent_Style\SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_routed_w36_texton_e6\cezanne_00057_to_cezanne.jpg","not_this_row","retain_pending_owner","no","keep diagnostic lineage | migrate representative samples | delete later with owner whitelist","owner choice plus compact manifest and post-delete verify"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","seedream_gap","ema_routed_w44_stylepush_e6","SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_routed_w44_stylepush_e6","750","11.664","G:\GitHub\Latent_Style\SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_routed_w44_stylepush_e6\cezanne_00057_to_cezanne.jpg","not_this_row","retain_pending_owner","no","keep diagnostic lineage | migrate representative samples | delete later with owner whitelist","owner choice plus compact manifest and post-delete verify"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","seedream_gap","ema_sconv_support_w30_guard_e6","SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_sconv_support_w30_guard_e6","750","10.682","G:\GitHub\Latent_Style\SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_sconv_support_w30_guard_e6\cezanne_00057_to_cezanne.jpg","not_this_row","retain_pending_owner","no","keep diagnostic lineage | migrate representative samples | delete later with owner whitelist","owner choice plus compact manifest and post-delete verify"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","seedream_gap","ema_sconv_support_w40_style_e6","SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_sconv_support_w40_style_e6","750","11.816","G:\GitHub\Latent_Style\SchrodingerBridge\exp\diagnostics\seedream_gap\inputs\ema_sconv_support_w40_style_e6\cezanne_00057_to_cezanne.jpg","yes","retain_pending_owner","no","keep diagnostic lineage | migrate representative samples | delete later with owner whitelist","owner choice plus compact manifest and post-delete verify"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","quick","endpoint_s0p65","SchrodingerBridge\exp\inference\inference_param_sweep_t01e8_quick\endpoint_s0p65","250","2.770","G:\GitHub\Latent_Style\SchrodingerBridge\exp\inference\inference_param_sweep_t01e8_quick\endpoint_s0p65\images\cezanne_00123_to_cezanne.jpg","yes","retain_pending_owner","no","keep visual parameter sweep | migrate representative samples | delete later with owner whitelist","owner choice plus parameter list and post-delete verify"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","quick","endpoint_s0p70","SchrodingerBridge\exp\inference\inference_param_sweep_t01e8_quick\endpoint_s0p70","250","2.820","G:\GitHub\Latent_Style\SchrodingerBridge\exp\inference\inference_param_sweep_t01e8_quick\endpoint_s0p70\images\cezanne_00123_to_cezanne.jpg","not_this_row","retain_pending_owner","no","keep visual parameter sweep | migrate representative samples | delete later with owner whitelist","owner choice plus parameter list and post-delete verify"
"2026-06-05Towner-manifest","local_generated_media_owner_decision_manifest","quick","endpoint_s0p75","SchrodingerBridge\exp\inference\inference_param_sweep_t01e8_quick\endpoint_s0p75","250","2.869","G:\GitHub\Latent_Style\SchrodingerBridge\exp\inference\inference_param_sweep_t01e8_quick\endpoint_s0p75\images\cezanne_00123_to_cezanne.jpg","not_this_row","retain_pending_owner","no","keep visual parameter sweep | migrate representative samples | delete later with owner whitelist","owner choice plus parameter list and post-delete verify"
