"quality_class","claim_use","rows"
"full_eval_summary_wall_time_tokenizerclean","audit_full_eval_wall_time_only","744"
"quick_eval_or_probe_wall_time","audit_full_eval_wall_time_only","234"
"full_eval_wall_time","candidate_claim_support_with_caveat","51"
"historical_timing_context","historical_context","28"
"partial_training_or_missing_eval","audit_only","20"
"smoke_or_failed_probe","exclude_formal_claim","7"
"invalidated_or_negative_audit_only","audit_only","4"
"training_log_only","audit_training_cost_only","2"
"train_and_eval_wall_time","candidate_claim_support_with_caveat","2"
"runtime_anomalous_exclude_speed_claim","quality_only_or_anomaly","1"
