dataset_key,rows,local_rows,remote_rows,first_period,last_period,method_counts_top,source_kind_counts_top,metric_rows,train_timing_rows,infer_timing_rows,timing_subset_rows,best_clip_style_evidence,best_content_lpips_evidence,train_time_samples,infer_time_samples,primary_source_paths,conclusion,gap
cycle_nce,11794,10590,1204,2026-04-01,2026-05-30,"unknown:10807, IDT:503, AdaIN:479, LANCET/LBM:5","generic_csv:10590, remote_summary_json_curated:824, remote_training_log_curated:380",10590,0,0,0,clip_style=0.910921 [unknown; epoch_0030; ; Cycle-NCE/exp/style_oa/style_oa_5_lr5e4_wc2_swd60_id30_e120_interval10/full_eval/epoch_0030/metrics (1).csv],content_lpips=0 [unknown; epoch_0080_grid5; ; Cycle-NCE/exp/ca_pram/ca_pram_final_10_dim96_tok128/full_eval/epoch_0080_grid5/grid_metrics.csv],s,,Cycle-NCE/exp/style_oa/style_oa_5_lr5e4_wc2_swd60_id30_e120_interval10/full_eval/epoch_0010/metrics (1).csv | Cycle-NCE/exp/style_oa/style_oa_5_lr5e4_wc2_swd60_id30_e120_interval10/full_eval/epoch_0020/metrics (1).csv | Cycle-NCE/exp/style_oa/style_oa_5_lr5e4_wc2_swd60_id30_e120_interval10/full_eval/epoch_0030/metrics (1).csv | Cycle-NCE/exp/style_oa/style_oa_5_lr5e4_wc2_swd60_id30_e120_interval10/full_eval/epoch_0040/metrics (1).csv | Cycle-NCE/exp/style_oa/style_oa_5_lr5e4_wc2_swd60_id30_e120_interval10/full_eval/epoch_0050/metrics (1).csv,??/?? Cycle-NCE ???????????????????????????,???? method?period ? timing??????????????????
schrodingerbridge_exp_general,4051,3138,913,2026-05-20,2026-06-04,LANCET/LBM:4051,"generic_csv:3114, remote_summary_json_curated:609, remote_training_log_curated:304, summary.json:24",3239,12,36,36,clip_style=0.905352 [LANCET/LBM; full_eval; ; SchrodingerBridge/exp/tokenizer_adain_gate_calibration/ag03_m02_g56_texture_push/full_eval/metrics_reuse_generated.csv],content_lpips=0.220608 [LANCET/LBM; full_eval; ; SchrodingerBridge/exp/tokenizer_adain_gate_calibration/ag02_m02_g56_texture_anchor/full_eval/metrics_reuse_generated.csv],290.650 s; 295.935 s; 303.312 s; 306.550 s; 295.498 s,60.034 s; 63.630 s; 64.423 s; 60.567 s; 78.771 s,SchrodingerBridge/exp/tokenizer_adain_gate_calibration/ag02_m02_g56_texture_anchor/full_eval/metrics_reuse_generated.csv | SchrodingerBridge/exp/tokenizer_adain_gate_calibration/ag03_m02_g56_texture_push/full_eval/metrics_reuse_generated.csv | SchrodingerBridge/exp/analysis/current_experiment_summary_20260528_v9/per_target_style_metrics_v9.csv | SchrodingerBridge/exp/analysis/current_experiment_summary_20260528_v7/per_target_style_metrics_v7.csv | SchrodingerBridge/exp/analysis/current_experiment_summary_20260528_v8/per_target_style_metrics_v8.csv,SchrodingerBridge/LANCET-LBM ????????????summary ? full_eval ???????????????,???? run ?????????????? run registry?
schrodingerbridge_weight_sweep,1285,811,474,2026-05-13,2026-05-30,"LANCET/LBM:1283, unknown:2","generic_csv:811, remote_summary_json_curated:402, remote_training_log_curated:72",800,11,0,11,clip_style=0.716627 [LANCET/LBM; kin_1p0__swd_30p0; ; SchrodingerBridge/exp/review_additional_experiments/review_additional_experiments/lambda_grid/eval/kin_1p0__swd_30p0/batch_summary.csv],content_lpips=0.35276 [LANCET/LBM; kin_2p0__swd_10p0; ; SchrodingerBridge/exp/review_additional_experiments/review_additional_experiments/lambda_grid/eval/kin_2p0__swd_10p0/batch_summary.csv],0.001 s; 0.000 s; 327.518 s; 313.744 s; 312.926 s,,SchrodingerBridge/exp/review_additional_experiments/review_additional_experiments/lambda_grid/status.csv | SchrodingerBridge/exp/review_additional_experiments/lambda_grid/eval/kin_0p5__swd_10p0/batch_summary.csv | SchrodingerBridge/exp/review_additional_experiments/lambda_grid/eval/kin_0p5__swd_10p0/batch_summary_viewer.csv | SchrodingerBridge/exp/review_additional_experiments/review_additional_experiments/lambda_grid/eval/kin_0p5__swd_10p0/batch_summary.csv | SchrodingerBridge/exp/review_additional_experiments/review_additional_experiments/lambda_grid/eval/kin_0p5__swd_10p0/batch_summary_viewer.csv,??/?????????????? kinetic/terminal/skip ??????????,?? sweep ????????????????
legacy_style_transfer_experiments,1120,0,1120,2026-02-15,2026-04-07,"unknown:1064, IDT:51, LANCET/LBM:5","remote_training_log_curated:700, remote_summary_json_curated:420",0,0,0,0,,,s,,I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0050\summary.json | I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0100\summary.json | I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0150\summary.json | I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0200\summary.json | I:\Github\Latent_Style\experiments\no-edge\full_eval\epoch_0250\summary.json,?? style-transfer/no-edge/no-tokenized ????????????? summary/log?,?? unknown ???????? config/log ??????
schrodingerbridge_grid_search,1013,544,469,2026-05-09,2026-05-30,LANCET/LBM:1013,"generic_csv:544, remote_training_log_curated:249, remote_summary_json_curated:220",544,0,0,0,clip_style=0.711971 [LANCET/LBM; full_eval; ; SchrodingerBridge/archives/old_experiment_dirs/grid_search_3epoch/S-none_K-1_C-0_W-20_Col-15/full_eval/batch_summary.csv],content_lpips=0.30469 [LANCET/LBM; full_eval; ; SchrodingerBridge/exp/configs/orthogonal_phase_space_sweep_60/full_eval/batch_summary.csv],s,,SchrodingerBridge/exp/configs/orthogonal_phase_space_sweep_60/full_eval/batch_summary.csv | SchrodingerBridge/exp/configs/orthogonal_phase_space_sweep_60/full_eval/batch_summary_viewer.csv | SchrodingerBridge/archives/old_experiment_dirs/grid_search_3epoch/S-none_K-1_C-0_W-10_Col-0/full_eval/batch_summary.csv | SchrodingerBridge/archives/old_experiment_dirs/grid_search_3epoch/S-none_K-1_C-0_W-10_Col-0/full_eval/batch_summary_viewer.csv | SchrodingerBridge/archives/old_experiment_dirs/grid_search_3epoch/S-none_K-1_C-0_W-10_Col-15/full_eval/batch_summary.csv,??? grid/search ?????????????,???????????????????????
schrodingerbridge_vae_backend,699,81,618,2026-05-21,2026-05-28,LANCET/LBM:699,"remote_summary_json_curated:386, remote_training_log_curated:232, generic_csv:81",81,0,0,0,clip_style=0.752166 [LANCET/LBM; ema_style_vocab_texton_w34; by_source_style; SchrodingerBridge/exp/vae_backend_256_probe/ema_style_vocab_texton_w34/style_tokenizer_eval_overview.csv],content_lpips=0.419917 [LANCET/LBM; vae_backend_256_mse_controls; ; SchrodingerBridge/exp/vae_backend_256_mse_controls/vae_backend_256_results.csv],s,,SchrodingerBridge/exp/vae_backend_256_probe/ema_style_vocab_texton_w34/style_tokenizer_eval_overview.csv | SchrodingerBridge/exp/vae_backend_256_mse_controls/vae_backend_256_results.csv | SchrodingerBridge/exp/vae_backend_256_probe/ema_style_vocab_hayao_w36/style_tokenizer_eval_overview.csv | I:\Github\Latent_Style\SchrodingerBridge\exp\vae_backend\vae_scale_decode_sweep\direct_run_eval_t00_default\summary.json | I:\Github\Latent_Style\SchrodingerBridge\exp\vae_backend\vae_scale_decode_sweep\inmemory_seed42\t00_s0p13000\summary.json,VAE backend / decode ?????????????????,?????????? eval timing?
schrodingerbridge_frontier,692,600,92,2026-05-22,2026-05-23,LANCET/LBM:692,"generic_csv:600, remote_training_log_curated:84, remote_summary_json_curated:8",600,0,0,0,clip_style=0.909796 [LANCET/LBM; epoch_0008; ; SchrodingerBridge/exp/frontier/frontier_decision_tree_8h/15_t01_pair8_led9/full_eval/epoch_0008/metrics_reuse_generated.csv],content_lpips=0.226856 [LANCET/LBM; epoch_0007; ; SchrodingerBridge/exp/frontier/frontier_decision_tree_8h/31_t01_pair8_bridge_tax/full_eval/epoch_0007/metrics_reuse_generated.csv],s,,SchrodingerBridge/exp/frontier/frontier_decision_tree_8h/15_t01_pair8_led9/full_eval/epoch_0008/metrics_reuse_generated.csv | SchrodingerBridge/exp/frontier/frontier_decision_tree_8h/31_t01_pair8_bridge_tax/full_eval/epoch_0007/metrics_reuse_generated.csv | I:\Github\Latent_Style\SchrodingerBridge\exp\frontier\dynamic_metric_probe\dm00_t00_baseline\logs\training_20260522_002112.csv | I:\Github\Latent_Style\SchrodingerBridge\exp\frontier\dynamic_metric_probe\dm00_t00_baseline\logs\training_20260522_004748.csv | I:\Github\Latent_Style\SchrodingerBridge\exp\frontier\dynamic_metric_probe\dm01_zero_init_only\full_eval\epoch_0006\summary.json,frontier/promoted ??????????????/?????????,??????????/?????
schrodingerbridge_representation_probe,567,503,64,2026-05-29,2026-05-31,LANCET/LBM:567,"generic_csv:503, remote_summary_json_curated:58, remote_training_log_curated:6",471,0,0,0,clip_style=0.848322 [LANCET/LBM; quick_eval_e3; ; SchrodingerBridge/exp/style_representation_actuator_probe/sp_e1_atoms_band_gate/quick_eval_e3/metrics_reuse_generated.csv],content_lpips=0.28 [LANCET/LBM; probe_style_representation_smoke; ; SchrodingerBridge/_codex_tmp/probe_style_representation_smoke/eval_metrics.csv],s,,SchrodingerBridge/exp/style_representation_actuator_probe/sp_e1_atoms_band_gate/quick_eval_e3/metrics_reuse_generated.csv | SchrodingerBridge/exp/style_representation_residual_scale_sweep/residual_scale_sweep_per_style_seed123_cfgoverride.csv | SchrodingerBridge/exp/style_representation_early_cotrain_probe/early_cotrain_probe_per_style.csv | SchrodingerBridge/exp/style_representation_narrow_consumer_probe/narrow_consumer_probe_per_style.csv | SchrodingerBridge/exp/style_representation_residual_scale_sweep/residual_scale_sweep_per_style.csv,representation/tokenizer/latent probe ?????? tokenizer/latent ???,??????????????????
distinct5_512,417,305,112,2026-06-01,2026-06-05,"LANCET/LBM:191, SaMAM:92, LANCET:71, LBM:27, No-op:17, SaMST:6, idt:6, LBM-F e1:1","generic_csv:245, remote_summary_json_curated:74, remote_training_log_curated:38, aaai2027_master_experiment_log:27, artfid_comparison_points:14, summary.json:14",278,55,113,168,clip_style=0.727581 [LANCET/LBM; SaMST e5; full; SchrodingerBridge/docs/experiments/distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv],content_lpips=0 [LANCET/LBM; No-op 5x5; full; SchrodingerBridge/docs/experiments/distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv],1.2m; 3191.26 s; 6285.47 s; 9473.03 s; 12523.23 s,42.104 s; 35.975 s; 41.843 s; 35.748 s; 40.472 s,SchrodingerBridge/docs/experiments/distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv | SchrodingerBridge/docs/experiments/metric_hacking_noop_20260602/noop_full_transfer_summary.csv | SchrodingerBridge/docs/experiments/comparison_20260602/scatter_points.csv | SchrodingerBridge/docs/experiments/distinct5_512_20260602/tables/clip_style_vs_1lpips_points.csv | SchrodingerBridge/docs/experiments/2026-06-03-time-to-parity/distinct5_time_to_parity_points.csv,?????? Distinct5-512 ???????? LANCET?SaMAM/SaMST/SD-Turbo ?????? timing?,?????? baseline ?????????? baseline ????/???
wikiart512_5style,200,108,92,2026-05-30,2026-06-03,"LANCET/LBM:102, SaMAM:49, LANCET:22, SaMST:12, No-op:11, idt:4","generic_csv:84, remote_summary_json_curated:48, remote_training_log_curated:44, artfid_comparison_points:14, summary.json:9, text_timing_regex:1",144,14,10,24,clip_style=0.802789 [LANCET/LBM; eval150_b4_gpuclip_nocompile; full_eval; SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8/eval150_b4_gpuclip_nocompile/summary.json],content_lpips=0 [No-op; No-op; full; SchrodingerBridge/docs/experiments/metric_hacking_noop_20260602/noop_full_transfer_summary.csv],0.7m; 2.1h; 4.4h; 4.2h; 8.3h,65.87985914400002 s internal timings_sec.wall_total; 59.171485063000006 s internal timings_sec.wall_total; 81.75260542100001 s internal timings_sec.wall_total; 234.72677412100006 s internal timings_sec.wall_total; 206.792325715 s internal timings_sec.wall_total,SchrodingerBridge/docs/experiments/comparison_20260602/scatter_points.csv | SchrodingerBridge/docs/experiments/metric_hacking_noop_20260602/noop_full_transfer_summary.csv | SchrodingerBridge/docs/experiments/noop_comparison_across_datasets_20260602/dataset_noop_comparison_keypoints.csv | SchrodingerBridge/docs/experiments/noop_comparison_across_datasets_20260602/wikiart512_5style_keypoints.csv | SchrodingerBridge/docs/experiments/noop_comparison_across_datasets_20260602/best_all_transfer_vs_noop_keypoints.csv,WikiArt512 ?????????? 750 full-eval ??? full-eval timing???? claim ??????,????/?? summary ? period ?????????
schrodingerbridge_root_legacy,197,72,125,2026-05-07,2026-06-04,LANCET/LBM:197,"remote_training_log_curated:77, generic_csv:72, remote_summary_json_curated:48",64,0,14,14,clip_style=0.716724 [LANCET/LBM; full_eval; ; SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0/full_eval/batch_summary.csv],content_lpips=0.366679 [LANCET/LBM; full_eval; ; SchrodingerBridge/archives/old_experiment_dirs/theory_switch_validation/T1_sinkhorn_routing/full_eval/batch_summary.csv],s,199.736 s; 200.361 s; 206.241 s; 225.318 s; 227.25 s,SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0/full_eval/batch_summary.csv | SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0/full_eval/batch_summary_viewer.csv | SchrodingerBridge/archives/old_experiment_dirs/theory_switch_validation/theory_switch_validation_status.csv | SchrodingerBridge/archives/old_experiment_dirs/theory_switch_validation/T0_k2_baseline/full_eval/batch_summary.csv | SchrodingerBridge/archives/old_experiment_dirs/theory_switch_validation/T0_k2_baseline/full_eval/batch_summary_viewer.csv,???????????????,??????????????? source_path?
legacy256_overfit50,131,126,5,2026-03-20,2026-06-03,"LANCET:53, SaMAM:49, No-op:11, SaMST:5, idt:4, LANCET/LBM:4, LBM:2, unknown:2","generic_csv:109, artfid_comparison_points:12, remote_summary_json_curated:5, summary.json:2, aaai2027_master_experiment_log:2, training_times_documentation.md:1",123,15,5,19,clip_style=0.736917 [LANCET; epoch_0020; full; SchrodingerBridge/docs/experiments/comparison_20260602/scatter_points.csv],content_lpips=0 [No-op; No-op; full; SchrodingerBridge/docs/experiments/metric_hacking_noop_20260602/noop_full_transfer_summary.csv],5.2m; 5.9m; 309.9 s; 3.9h; 2.2h,85.4 s; 20.621361799989245 s internal timings_sec.wall_total; 21.568036500000744 s internal timings_sec.wall_total; 20.621361799989245 s timings_sec.wall_total; 21.568036500000744 s timings_sec.wall_total,SchrodingerBridge/docs/experiments/comparison_20260602/scatter_points.csv | SchrodingerBridge/docs/experiments/metric_hacking_noop_20260602/noop_full_transfer_summary.csv | SchrodingerBridge/docs/experiments/noop_comparison_across_datasets_20260602/dataset_noop_comparison_keypoints.csv | SchrodingerBridge/docs/experiments/noop_comparison_across_datasets_20260602/legacy256_overfit50_keypoints.csv | SchrodingerBridge/docs/experiments/comparison_20260602/lancet_representative_points.csv,256 ??? legacy/overfit ???????? baseline ? sanity check?,???? 512 ????????????
run511_5domain,120,48,72,2026-05-30,2026-05-30,"StyTr2:27, CAST:25, AdaIN:24, AesPA-Net:13, AesFA:12, SaMST:6, unknown:6, S2WAT:3","remote_summary_json_curated:64, Related_Works timing_summary.csv:21, Related_Works repro_data_inventory.csv:21, remote_training_log_curated:8, training_times_documentation.md:6",3,40,25,46,clip_style=0.713 [AdaIN; adain_7g_v32k; ; Related_Works/run_511/outputs/adain_7g_v32k],content_lpips=0.6298 [AdaIN; adain_7g_v32k; ; Related_Works/run_511/outputs/adain_7g_v32k],6.045 s; 9220.393 s; 262.78 s; 1.082 s; 1.56 s,5.736 s; 0.269 s; 9.281 s; 9.098 s; 0.23 s,Related_Works/results/metrics_summary/timing_summary.csv | SchrodingerBridge/archives/old_root_files/training_times_documentation.md | Related_Works/run_511/outputs/adain_4g_bg | Related_Works/run_511/outputs/adain_4g_real | Related_Works/run_511/outputs/adain_7g_full,5-domain/run511 ?????? evidence ????,?????? domain ?????????????
