"timestamp","relative_path","expected","exists","file_count","size_mb","pass","reason"
"2026-06-05T11:19:21","eval_cache\vae_onnx\ema_b2_64\trt_cache","absent","False","","","True","deleted empty cache dir"
"2026-06-05T11:19:21","SchrodingerBridge\exp\frontier\decision_tree_clip_style\s21_temp_var0p0_temp0p03","absent","False","","","True","deleted empty probe dir"
"2026-06-05T11:19:21","SchrodingerBridge\datasets\horse2zebra\raw\horse2zebra.zip","absent","False","","","True","deleted fully duplicated zip"
"2026-06-05T11:19:21","SchrodingerBridge\datasets\horse2zebra\raw\horse2zebra\trainA","present","True","1067","44.818467","True","retained extracted horse2zebra trainA evidence"
"2026-06-05T11:19:21","SchrodingerBridge\datasets\horse2zebra\raw\horse2zebra\testA","present","True","120","4.87589","True","retained extracted horse2zebra testA evidence"
"2026-06-05T11:19:21","Related_Works\runs\cut_5x5\cut.zip","absent","False","","","True","deleted fully duplicated zip"
"2026-06-05T11:19:21","Related_Works\runs\cut_5x5\infer_5x5","present","True","1260","47.290398","True","retained extracted cut result tree"
"2026-06-05T11:19:21","exp\highres_eval_local\samst_outputs_epoch50.tar","absent","False","","","True","deleted fully duplicated output tar"
"2026-06-05T11:19:21","exp\highres_eval_local\samst\Baroque\outputs\epoch_50","present","True","150","2.433443","True","retained extracted SaMST output tree"
"2026-06-05T11:19:21","exp\highres_eval_local\samst_ckpts_epoch50.tar","present","True","1","11.145996","True","retained non-duplicated checkpoint archive"
"2026-06-05T11:19:21","Related_Works\runs\lbm_train_wds_smoke_photo_to_monet\train-000000.tar","present","True","1","2.8125","True","retained WebDataset shard"
"2026-06-05T11:19:21","Related_Works\runs\lbm_train_wds_smoke_photo_to_monet\val-000000.tar","present","True","1","0.595703","True","retained WebDataset shard"
"2026-06-05T11:19:21","Related_Works\repos\ArtBank\clip\bpe_simple_vocab_16e6.txt.gz","present","True","1","1.294057","True","retained dependency gzip"
"2026-06-05T11:19:21","Cycle-NCE\uv.lock","present","True","1","0.394227","True","retained uv dependency lock"
"2026-06-05T11:19:21","Cycle-NCE\src\uv.lock","present","True","1","0.000125","True","retained uv dependency lock"
