"section","claim","evidence_paths","cleanup_ledgers","status","gap","next_action"
"current_evidence","Top-level archaeology index has 67 rows: 32 local G rows and 35 remote I rows.","manual_top_level_directory_index_20260605.csv","","verified","Does not prove every nested directory is owner-level complete.","Use coverage matrix and family ledgers for deeper scopes."
"current_evidence","Coverage matrix has 41 rows: 26 local, 12 remote-main, 3 remote-tokenizerclean.","manual_coverage_matrix_20260605.csv","","verified","Coverage levels differ by root; some are top-level opened, some deep opened.","Continue nested generated-image and archive provenance blocks."
"local","Local SchrodingerBridge/exp, Related_Works, Cycle-NCE, data/cache roots are manually classified by separate ledgers.","manual_schrodingerbridge_exp_topdir_ledger_20260605.csv; manual_related_works_directory_ledger_20260605.csv; manual_cycle_nce_directory_ledger_20260605.csv; manual_local_dataset_cache_policy_20260605.csv; manual_local_eval_cache_policy_20260605.csv; manual_local_root_misc_policy_20260605.csv; manual_local_remaining_surface_policy_20260605.csv","cleanup/manual_deleted_checkpoints_20260605.csv; cleanup/manual_cache_cleanup_20260605.csv; cleanup/manual_dataset_cache_cleanup_20260605.csv; cleanup/manual_root_misc_cleanup_20260605.csv; cleanup/manual_local_remaining_surface_cleanup_20260605.csv","verified","Not every nested generated image directory is owner-level complete.","Continue generated-image owner review and archive provenance."
"local_cleanup","Local manual checkpoint cleanup deleted 875 files and released 46032.053 MB.","cleanup/manual_deleted_checkpoints_20260605.csv","cleanup/manual_deleted_checkpoints_20260605.csv","verified","Remaining local weights include timing anchors and dependencies.","Do not delete retained anchors without a new policy."
"local_cleanup","Local remaining surface cleanup deleted 5 exact whitelist targets and released 237.860 MB.","MANUAL_LOCAL_REMAINING_SURFACE_POLICY_20260605.md; manual_local_remaining_surface_policy_20260605.csv; manual_local_remaining_surface_post_delete_verify_20260605.csv","cleanup/manual_local_remaining_surface_cleanup_20260605.csv","verified","Only covers exact archive/cache/lock surface rows from that pass.","Do not broaden archive deletion without same-size duplicate proof."
"remote_main","Remote SchrodingerBridge/exp epoch thinning deleted 84 checkpoint files and retained 17 anchors.","manual_remote_schrodingerbridge_epoch_evidence_20260605.csv; manual_remote_schrodingerbridge_epoch_thinning_policy_20260605.csv; manual_remote_schrodingerbridge_remaining_weights_after_thinning_20260605.csv","cleanup/manual_remote_schrodingerbridge_epoch_cleanup_20260605.csv","verified","Retained anchors still need future owner decision before further thinning.","Keep cited/probe/anchor epochs."
"remote_main","Remote SaMAM alias cleanup deleted 7 last*.ckpt aliases and retained 12 step checkpoints.","manual_remote_samam_checkpoint_thinning_policy_20260605.csv; manual_remote_samam_checkpoint_metadata_20260605.csv; manual_remote_samam_state_dict_hashes_20260605.csv; manual_remote_samam_remaining_step_checkpoints_after_alias_cleanup_20260605.csv","cleanup/manual_remote_samam_alias_cleanup_20260605.csv","verified","Step checkpoint curve remains large but is current evidence.","Only thin with explicit curve-retention decision."
"remote_main","Remote main data/cache/archive residue cleanup deleted only failed/stale/empty targets and retained data/cache bodies.","MANUAL_REMOTE_MAIN_DATA_CACHE_ARCHIVE_POLICY_20260605.md; manual_remote_main_data_cache_archive_policy_20260605.csv; manual_remote_main_data_cache_archive_post_delete_verify_20260605.csv","cleanup/manual_remote_main_data_cache_archive_residue_cleanup_20260605.csv","verified","Cross-cache dedup not done.","Run hash audit before deleting complete caches."
"remote_main","Remote duplicate/stale archive cleanup deleted 3 proven duplicate or stale archives; deep RAR provenance later deleted Gate/Attn_48/chess weight-only RAR archives and retained experiments.rar/45.rar by policy.","MANUAL_REMOTE_ARCHIVE_PROVENANCE_20260605.md; manual_remote_archive_provenance_policy_20260605.csv; manual_remote_archive_post_delete_verify_20260605.csv; MANUAL_REMOTE_RAR_DEEP_PROVENANCE_20260605.md; manual_remote_rar_provenance_deep_20260605.csv; manual_remote_rar_deep_provenance_policy_20260605.csv; manual_remote_rar_weight_only_archive_post_delete_verify_20260605.csv","cleanup/manual_remote_duplicate_archive_cleanup_20260605.csv; cleanup/manual_remote_rar_weight_only_archive_cleanup_20260605.csv","verified","experiments.rar has cache mismatches; 45.rar remains a unique historical archive under current comparison.","Run experiments.rar cache mismatch audit, 45.rar owner decision, and cross-cache dedup."
"remote_tokenizerclean","Remote TokenizerClean exp coverage includes all 145 top-level dirs, citation graph, no-summary review, second-pass owner review, and generated-media inventory.","manual_remote_tokenizerclean_exp_internal_evidence_after_no_summary_cleanup_20260605.csv; manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv; manual_remote_tokenizerclean_no_summary_review_20260605.csv; MANUAL_REMOTE_TOKENIZERCLEAN_RETAINED_NO_SUMMARY_OWNER_REVIEW_20260605.md; manual_remote_tokenizerclean_retained_no_summary_owner_policy_20260605.csv; manual_remote_tokenizerclean_remaining_weight_classes_after_owner_review_cleanup_20260605.csv; manual_remote_tokenizerclean_generated_media_inventory_after_cleanup_20260605.csv","cleanup/manual_remote_tokenizerclean_uncited_checkpoint_cleanup_20260605.csv; cleanup/manual_remote_tokenizerclean_no_summary_probe_checkpoint_cleanup_20260605.csv; cleanup/manual_remote_tokenizerclean_orphan_probe_weight_cleanup_20260605.csv; cleanup/manual_remote_tokenizerclean_uncited_generated_media_cleanup_20260605.csv","verified","7 retained trained no-summary payload dirs and cited/current media remain.","Owner-review or recover summaries for retained trained no-summary payload dirs; build media migration policy."
