"exp_dir","exists","total_mb","weight_count","weight_mb","weight_names","summary_count","config_exists","data_root","batch_size","num_epochs","objective_mode","loss_type","style_tokenizer","style_spatial_mode","notes","training_csv_count","latest_training_csv","latest_training_tail","remote_train_log_exists","remote_log_has_failure_marker","remote_log_has_completion_marker","params_raw","remote_train_head","remote_train_tail","top_level","review_class","recommended_action","reason"
"axis_scale_probe","True","90.266","6","90.266","color_x150.pt;color_x250.pt;geometry_x125.pt;specgeo_x120.pt;spectrum_x125.pt;spectrum_x175.pt","0","False","","","","","","","","","0","","","False","False","False","","","","color_x150.pt;color_x250.pt;geometry_x125.pt;specgeo_x120.pt;spectrum_x125.pt;spectrum_x175.pt","orphan_weight_no_config_no_summary","keep_until_owner_review","No config and no summary; weight may be orphaned but needs owner review before deletion."
"field_budget_release_probe","True","30.089","2","30.089","release_s100.pt;release_s150.pt","0","False","","","","","","","","","0","","","False","False","False","","","","release_s100.pt;release_s150.pt","orphan_weight_no_config_no_summary","keep_until_owner_review","No config and no summary; weight may be orphaned but needs owner review before deletion."
"local_patch_org_content_relative_release_120b_b80","True","15.503","1","15.046","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\local_patch_org_content_relative_release_120b_b80\logs\training_20260601_002521.csv","1,10.746131896972656,0.0,0.3123423755168915,0.0,0.0,9.9375,0.0009765625,0.07074888795614243,0.0,0.0,0.20781248807907104,1.0,0.39502036571502686,0.614490270614624,3.537461519241333,13.432164192199707,0.0005,1.3138268003240228,62.63946250244044,0.2775631982367486,0.13462250074371696,63.0516482014209,65.77110600471497,9600,145.96075059634546","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"local_patch_org_content_relative_release_20b_b80","True","15.458","1","15.045","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\local_patch_org_content_relative_release_20b_b80\logs\training_20260601_003002.csv","1,11.04129409790039,0.0,0.31854015588760376,0.0,0.0,10.5,0.0009765625,0.07074959576129913,0.0,0.0,0.1925000101327896,1.0,0.39865055680274963,0.6187933683395386,3.5919876098632812,12.9479341506958,0.0005,0.22424960019998252,15.059975499752909,0.09400489972904325,0.03134070010855794,15.18532109959051,15.730785369873047,1600,101.71138709096205","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"local_patch_org_geometry_filter_g003_120b_b48","True","15.546","1","15.100","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","48","1","omf","omf","factorized","","","1","exp\local_patch_org_geometry_filter_g003_120b_b48\logs\training_20260531_234559.csv","1,10.614712715148926,0.0,0.32637396454811096,0.0,0.0,9.75,0.0009765625,0.07074879854917526,0.0,0.0,0.19583332538604736,1.0,0.40387555956840515,0.6184981465339661,3.5612080097198486,12.893996238708496,0.0005,0.8086526996921748,41.45949320169166,5.652676301309839,0.13870769971981645,47.25087720272131,60.663959980010986,5760,94.94929117548446","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"local_patch_org_relative_spatial_rank4_120b_b80","True","16.008","1","15.548","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\local_patch_org_relative_spatial_rank4_120b_b80\logs\training_20260601_003829.csv","1,10.750164985656738,0.0,0.31637755036354065,0.0,0.0,9.9375,0.0009765625,0.0707482099533081,0.0,0.0,0.20781248807907104,1.0,0.39777839183807373,0.6185734272003174,3.6179232597351074,13.385090827941895,0.0005,1.382695599924773,63.36516739963554,2.7612054992932826,0.1436005998402834,66.2699734987691,88.25019240379333,9600,108.7816325212607","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"local_patch_org_spatial_gate_rank4_g010_q070_120b_b48","True","16.996","1","16.548","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","48","1","omf","omf","factorized","","","1","exp\local_patch_org_spatial_gate_rank4_g010_q070_120b_b48\logs\training_20260531_235807.csv","1,10.617403984069824,0.0,0.32646268606185913,0.0,0.0,9.75,0.0009765625,0.07074824720621109,0.0,0.0,0.19583332538604736,1.0,0.40390610694885254,0.6185336112976074,3.562779426574707,12.893880844116211,0.0005,0.7983048995956779,40.23159749945626,2.216700801393017,0.13972910004667938,42.58802740089595,55.65289545059204,5760,103.49865812666759","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"pair_content_spatial_head_c120_g050_b020_120b_b80","True","16.025","1","15.554","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\pair_content_spatial_head_c120_g050_b020_120b_b80\logs\training_20260601_073008.csv","1,10.734652519226074,0.0,0.31075942516326904,0.0,0.0,9.9375,0.0009765625,0.07074754685163498,0.0,0.0,0.20781248807907104,1.0,0.394206702709198,0.6145485043525696,3.532142400741577,13.436330795288086,0.0005,1.3411543001420796,63.53421310102567,2.7752030997071415,0.14064359990879893,66.45005980064161,88.37409114837646,9600,108.62912280344693","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80","True","16.025","1","15.554","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\logs\training_20260601_073450.csv","1,10.727033615112305,0.0,0.3099096417427063,0.0,0.0,9.9375,0.0009765625,0.07074683904647827,0.0,0.0,0.20781248807907104,1.0,0.3937796354293823,0.6145783066749573,3.5293991565704346,13.436670303344727,0.0005,1.347054501529783,63.559628299670294,2.753496599383652,0.13768030144274235,66.45080520049669,88.40089750289917,9600,108.59618251822795","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"pair_relative_geometry_release_probe","True","49.662","3","49.662","pairrel_c090_g100_b040_from_spatial_gate.pt;pairrel_c120_g050_b020_from_spatial_gate.pt;pairrel_c120_g050_b020_spgain013_from_spatial_gate.pt","0","False","","","","","","","","","0","","","False","False","False","","","","pairrel_c090_g100_b040_from_spatial_gate.pt;pairrel_c120_g050_b020_from_spatial_gate.pt;pairrel_c120_g050_b020_spgain013_from_spatial_gate.pt","orphan_weight_no_config_no_summary","keep_until_owner_review","No config and no summary; weight may be orphaned but needs owner review before deletion."
"pairrel_signed_spatial_head_c120_g050_b020_120b_b80","True","16.012","1","15.552","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\pairrel_signed_spatial_head_c120_g050_b020_120b_b80\logs\training_20260601_014217.csv","1,10.741833686828613,0.0,0.31169193983078003,0.0,0.0,9.9375,0.0009765625,0.0707482323050499,0.0,0.0,0.20781248807907104,1.0,0.3946705460548401,0.6145166158676147,3.5355987548828125,13.43618392944336,0.0005,1.341314499732107,62.82384519884363,2.7846236003097147,0.14086700207553804,65.74933580122888,87.67551851272583,9600,109.49464756922526","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"pairrel_signed_spatial_head_geomstat_w005_120b_b80","True","16.020","1","15.552","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\pairrel_signed_spatial_head_geomstat_w005_120b_b80\logs\training_20260601_020910.csv","1,14.055213928222656,0.0,0.3110050559043884,0.0,0.0,9.9375,0.0009765625,0.07074777036905289,0.0,0.0,0.20781248807907104,1.0,0.39432886242866516,0.6145415902137756,3.5328640937805176,13.436358451843262,0.0005,1.3707098017912358,63.03817050065845,3.2015393995679915,0.1404556999914348,66.38016560021788,88.39404106140137,9600,108.60460597487028","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
"pairrel_signed_spatial_head_geomstat_w020_120b_b80","True","16.020","1","15.552","epoch_0001.pt","0","True","I:/wikiart_latents_512_ema","80","1","omf","omf","factorized","","","1","exp\pairrel_signed_spatial_head_geomstat_w020_120b_b80\logs\training_20260601_021431.csv","1,24.0175724029541,0.0,0.31101202964782715,0.0,0.0,9.9375,0.0009765625,0.07074777036905289,0.0,0.0,0.20781248807907104,1.0,0.39433202147483826,0.6145419478416443,3.533271074295044,13.436201095581055,0.0005,1.3289568002801389,63.08779100119136,3.2300494997762144,0.14230829873122275,66.4601487996988,88.43780755996704,9600,108.55085924072152","False","False","False","","","","config.json;epoch_0001.pt;logs;numeric_debug.jsonl;src","uncited_probe_or_calibration_no_summary","candidate_delete_after_log_read","Name indicates smoke/probe/calibration/short-budget run and no doc citations were found; retain logs/config if deleting weights."
