"timestamp","path","expected","exists","files","size_mb","verify_ok","reason"
"2026-06-05Tcurrent","SchrodingerBridge\external_eval\samst_wikiart5_target_e15_750_images.zip","absent","False","","","True","deleted duplicate e15 zip"
"2026-06-05Tcurrent","SchrodingerBridge\external_eval\samst_wikiart5_target_e15_750\summary.json","present","True","1","0.022","True","retained e15 summary"
"2026-06-05Tcurrent","SchrodingerBridge\external_eval\samst_wikiart5_target_e15_750\metrics.csv","present","True","1","0.153","True","retained e15 metrics"
"2026-06-05Tcurrent","SchrodingerBridge\external_eval\samst_wikiart5_target_e15_750\summary_grid.png","present","True","1","11.802","True","retained e15 grid"
"2026-06-05Tcurrent","SchrodingerBridge\external_eval\samst_wikiart5_target_e15_750\images","present","True","750","41.591","True","retained e15 images"
"2026-06-05Tcurrent","exp\highres_eval_local\samst_same_test","absent","False","","","True","deleted duplicate highres dir"
"2026-06-05Tcurrent","exp\highres_eval_local\same_test_eval\samst\images","present","True","750","60.660","True","retained paired highres SaMST images"
"2026-06-05Tcurrent","exp\highres_eval_local\same_test_eval\lbm\images","present","True","750","11.418","True","retained paired highres LBM images"
"2026-06-05Tcurrent","exp\highres_eval_local\samst_same_test_v2\images","present","True","750","47.650","True","retained non-identical v2 highres variant"
"2026-06-05Tcurrent","SchrodingerBridge\exp\diagnostics\seedream_gap_inputs\styleemb_m02_highpass","present","True","750","23.681","True","retained Seedream diagnostic input"
"2026-06-05Tcurrent","SchrodingerBridge\exp\diagnostics\seedream_gap_inputs\ema_transport_adain_w34_e6","present","True","750","10.964","True","retained Seedream diagnostic input"
