scope,location,path,period_start,period_end,dataset_or_setting,method_family,evidence_types,key_metrics,train_time_evidence,infer_time_evidence,checkpoint_state,cleanup_action,retained_evidence,note
local,G,"SchrodingerBridge/docs/experiments",2026-05-10,2026-06-05,Distinct5-512 and WikiArt512,LANCET/LBM SaMAM SaMST IDT docs,"md,csv,json","Distinct5 same-cost packet; WikiArt eval timing; manuscript boundary notes","same_cost_inventory train_wall_min","timing-sidecar notes and summary wall_total","docs only","none","2026-06-04-distinct5-aaai-evidence-pack.md; 2026-06-04-distinct5_same_cost_inventory.csv; distinct5_512_20260602/*","High-value evidence surface. Existing notes are useful but must be cross-checked against run dirs."
local,G,"SchrodingerBridge/exp/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote",2026-06-02,2026-06-02,Distinct5-512,LANCET/LBM F,"summary.json,metrics.csv","F e1 full CLIP-S 0.6969145075 LPIPS 0.3186446404; transfer CLIP-S 0.6643604031","train 1.2161 min from same_cost_inventory","eval wall_total 90.8249s from local synced summary","no local weights; synced eval only","none","full_eval/epoch_0001/summary.json; docs same_cost_inventory","Remote owner surface now has only config/log for F, but local synced eval is retained."
local,G,"SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote",2026-06-02,2026-06-02,Distinct5-512,LANCET/LBM H,"summary.json,metrics.csv","H e1 full CLIP-S 0.6973625582 LPIPS 0.3213328829; H e2 full CLIP-S 0.6993825697 LPIPS 0.3484066154","train 1.2207 min e1; 2.2656 min e2","eval wall_total 97.5991s e1; 95.9876s e2","no local weights; synced eval only","none","full_eval/epoch_0001/summary.json; full_eval/epoch_0002/summary.json","ArtFID packet is not retained in the indexed evidence."
local,G,"SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote",2026-06-02,2026-06-02,Distinct5-512,LANCET/LBM K,"summary.json,metrics.csv","K e1 full CLIP-S 0.7009949656 LPIPS 0.3622938977 ArtFID 157.1687; transfer CLIP-S 0.6711669415","train 1.2077 min","eval wall_total 101.0315s","remote retains epoch_0001..0003.pt; local synced eval only","none","full_eval/epoch_0001/summary.json; distinct5_aggregate_artfid_keypoints.remote.csv","Current compact style anchor. Keep remote ckpts for mainline audit."
remote,I,"I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8",2026-06-03,2026-06-05,Distinct5-512,LANCET/LBM K-longer,"pt,csv,summary.json","e8 transfer CLIP-S 0.6704904129 LPIPS 0.4072183290; matrix transfer ArtFID mean 410.9300 not official targetwise","train cumulative 8.7793 min through e8 from training csv","full_eval_artfid e8 wall_total 105.1828s","8 epoch weights retained","none","remote full_eval_artfid/epoch_0005..0008; logs/training_20260603_233745.csv","Newer than local note: e5-e8 now have metrics and summary, but aggregate_targetwise_artfid.json is still missing."
remote,I,"I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_f_seed42_b44_e8",2026-06-03,2026-06-03,Distinct5-512,LANCET/LBM F-longer,"pt,csv,summary.json","e8 transfer CLIP-S 0.6662981239 LPIPS 0.3846649028","train cumulative 9.1089 min through e8 from training csv","full_eval e8 wall_total 136.3843s","8 epoch weights retained","none","remote full_eval/epoch_0001..0008; logs/training_20260603_223721.csv","Longer F does not beat compact F on retained transfer frontier."
local,G,"SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0",2026-05-10,2026-05-16,WikiArt512-5style or early 5-style,LANCET/LBM early mainline,"summary.json,metrics.csv,csv","epoch_0008 full_eval exists; baseline gate used by later eval work","training csv exists but columns are misaligned in this local copy","full_eval_timing_epoch7 generated_count 750; no metrics there","mainline legacy run retained","none","full_eval/epoch_0008/summary.json; full_eval_timing_epoch7/summary.json","Do not use local training csv timing without revalidating header alignment."
local,G,"SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8",2026-06-01,2026-06-02,WikiArt512,LANCET/LBM hist,"pt,summary.json,metrics.csv","full eval anchor from docs: CLIP-S 0.7922978 content LPIPS 0.3550378","training weights through epoch_0008 retained","full eval external wall 210.67s; internal 206.7923s","8 local epoch weights retained","none","full_eval_epoch_0008_b2_opt_nocls/summary.json; docs/experiments/2026-06-02-wikiart512-inference-speed.md","Formal timing anchor for full evaluation speed, not a deletion target."
local,G,"Related_Works/results/metrics_summary/timing_summary.csv",2026-05-11,2026-05-12,legacy256_overfit50 and strict-750 baselines,AdaIN SaMST StyleID CAST StyTr2,"csv,md","AdaIN v32k/vgg19 formal rows; many smoke/failed rows","AdaIN v32k 9220.393s; AdaIN vgg19 262.78s","AdaIN v32k 9.281s/750; AdaIN vgg19 9.098s/750; SaMST strict 39.826s/750","no cleanup here","none","timing_summary.csv; timing_summary.md","Smoke and failed rows must stay labeled and not be promoted as formal training."
local,G,"Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b1_e5_20260603",2026-06-03,2026-06-04,Distinct5-512,SaMST,"logs,summary.json,metrics.csv,artfid json","e5 transfer CLIP-S 0.6989188100 LPIPS 0.6334999498 targetwise ArtFID 465.6860","train 115.9750 min","generate.log elapsed 323.071s for 750; eval wall 22.2206s","existing checkpoints retained","none","eval_bundle/eval_epoch5/epoch_0005; generate.log; train logs","Closest closed same-cost baseline waypoint."
