"remote_root","exp_dir","weight_count","weight_mb","summary_count","config_exists","training_csv_count","review_class","policy_action","deletion_scope","reason","weight_names","evidence_source"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","axis_scale_probe","6","90.266","0","False","0","orphan_weight_no_config_no_summary","keep_orphan_until_owner_review","none","No config and no summary; weight may be orphaned but needs owner review before deletion.","color_x150.pt;color_x250.pt;geometry_x125.pt;specgeo_x120.pt;spectrum_x125.pt;spectrum_x175.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_budget_release_probe","2","30.089","0","False","0","orphan_weight_no_config_no_summary","keep_orphan_until_owner_review","none","No config and no summary; weight may be orphaned but needs owner review before deletion.","release_s100.pt;release_s150.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_120b_b80","1","15.046","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_20b_b80","1","15.045","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_geometry_filter_g003_120b_b48","1","15.100","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_relative_spatial_rank4_120b_b80","1","15.548","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_spatial_gate_rank4_g010_q070_120b_b48","1","16.548","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pair_content_spatial_head_c120_g050_b020_120b_b80","1","15.554","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80","1","15.554","0","True","1","uncited_probe_or_calibration_no_summary","delete_probe_calibration_checkpoint_only","delete .pt/.ckpt/.pth only; retain config/log/training CSV","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited","epoch_0001.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pair_relative_geometry_release_probe","3","49.662","0","False","0","orphan_weight_no_config_no_summary","keep_orphan_until_owner_review","none","No config and no summary; weight may be orphaned but needs owner review before deletion.","pairrel_c090_g100_b040_from_spatial_gate.pt;pairrel_c120_g050_b020_from_spatial_gate.pt;pairrel_c120_g050_b020_spgain013_from_spatial_gate.pt","manual_remote_tokenizerclean_no_summary_review_20260605.csv"
