"requirement","status","current_evidence","what_is_done","gap","next_action"
"整理整个仓库本地实验数据","partial","final_master_experiments.csv; final_timeline.csv; manual_top_level_directory_index_20260605.csv; DIRECT_ARCHAEOLOGY_CONCLUSIONS_AND_8H_PLAN_CN_20260605.md","Local root, SchrodingerBridge, Related_Works, Cycle-NCE, cache/data/paper scratch, local retained media, and CUT raw boundaries are indexed or manually reviewed.","Every remaining nested directory is not yet proven manually completed; owner choices remain for retained media.","Continue exact-path local review and owner-decision blocks."
"整理远程 I 盘主树实验数据","partial","MANUAL_REMOTE_MAIN_SURFACE_RECHECK_20260605.md; manual_remote_main_surface_recheck_20260605.csv; remote_i_curated/*","Remote main exists and key surfaces were reopened: SchrodingerBridge, Related_Works, Cycle-NCE, review RAR, CUT media, SaMAM result dirs.","review_additional_experiments.rar lacks archive listing proof; remote CUT qualitative media needs owner decision; cache duplicates need migration proof.","Run archive-proof block and remote exact-path continuation only where proof exists."
"整理远程 TokenizerClean 实验数据","partial","MANUAL_REMOTE_TOKENIZERCLEAN_SURFACE_RECHECK_20260605.md; manual_remote_tokenizerclean_surface_recheck_20260605.csv","Separate TokenizerClean tree is mapped; retained media totals, training-log-only cleanup state, post-delete verification, and missing resume anomaly are documented.","26 cited/current media dirs still need owner archive/migration selection.","Write path-preserving archive/migration policy after owner decision."
"每个数据集单独 CSV","done_indexed_not_final_prose","conclusions_by_dataset.csv; final_by_dataset/*.csv","25 dataset/setting CSVs exist and are counted.","Readable Chinese conclusion per dataset still needs rewrite from CSV evidence.","Open each final_by_dataset CSV and write dataset-by-dataset conclusions."
"实验时期和脉络索引","partial","final_timeline.csv; EXPERIMENT_TIMELINE.md; DIRECT_ARCHAEOLOGY_CONCLUSIONS_AND_8H_PLAN_CN_20260605.md","7829 timeline rows exist and current report summarizes five-stage lineage.","Old timeline prose has mojibake/noisy fields; final readable chronology still needs compression.","Create final readable phase chronology with representative source rows."
"性能指标整理","partial","final_master_experiments.csv; conclusions_by_dataset.csv; final_by_dataset/*.csv","Metric rows are counted by dataset; core datasets have metric evidence.","Not all dataset CSVs have readable interpretation and promotion boundary.","Dataset-by-dataset rewrite."
"训练/推理时间整理","partial","SchrodingerBridge/docs/timing/training_inference_timing_master.csv; timing_quality_master_20260605.csv; manual_local_cut_raw_timing_required_fields_20260605.csv","419 docs rows, 1093 timing overlay rows, source-open candidates, and CUT timing rows exist with missing values preserved.","370 docs rows lack overlay/source-open coverage; final promotion table not selected.","Build scoped timing promotion table."
"清理非主线 ckpt 并释放空间","partial","cleanup/*.csv; cleanup/CLEANUP_AUDIT_SUMMARY.md; authoritative_local_remote_lineage_conclusions_20260605.csv","Large local/remote cleanup executed with ledgers and post-delete verification; ledger synthesis reports about 93020.641 MB released.","Remaining cleanup depends on archive proof, owner choices, cache migration proof, and tracked-file policy.","Only delete future exact whitelist targets with post-delete verify."
"删除同时详细记录 CSV","done_for_executed_deletes","cleanup/*.csv; manual_*_post_delete_verify_20260605.csv","Executed deletions have policy/ledger/verification CSVs.","Future deletes still require same pattern.","Maintain exact-path policy before any new deletion."
"不要动论文 tex/pdf 和用户脏文件","done_so_far","git status --short; local archive/tmp/paper scratch provenance","Archaeology commits touched only EXPERIMENT_ARCHAEOLOGY in recent blocks; paper/source dirty files remain unstaged and untouched by this pass.","Dirty files still exist outside archaeology, but they are not part of this sidecar scope.","Continue path-specific staging only."
"建立醒目目录索引和文档","partial","EXPERIMENT_ARCHAEOLOGY/README.md; DIRECT_ARCHAEOLOGY_CONCLUSIONS_AND_8H_PLAN_CN_20260605.md","Prominent EXPERIMENT_ARCHAEOLOGY directory contains reports, CSVs, cleanup ledgers, and current conclusion layer.","README/count consistency and final audit still need one pass after more blocks.","Run final consistency audit."
"频繁 git 提交","done_so_far","git log --oneline","Recent archaeology blocks are committed separately.","Goal remains active; future blocks still need commits.","Commit each coherent archaeology block."
"每一个目录手动去看","not_complete","manual_* fixed-path reports; DIRECT_ARCHAEOLOGY_CONCLUSIONS_AND_8H_PLAN_CN_20260605.md","Many high-risk/local/remote exact paths were opened manually and documented.","This broad requirement is not fully proven for every remaining nested directory.","Continue 8-hour exact-path queue; do not declare completion yet."
