checked_at,scope,location,path,evidence_type,manual_action,finding,output_file
2026-06-05T07:05:00,local,G,SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv,doc_csv,opened,"Distinct5 compact LBM and SaMST/SaMAM timing anchors verified from paper-facing inventory.",manual_timing_evidence_20260605.csv
2026-06-05T07:05:00,local,G,SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md,doc_md,opened,"WikiArt512 generation-only and from-scratch timing rows verified; generation-only is not full eval.",manual_timing_evidence_20260605.csv
2026-06-05T07:05:00,local,G,SchrodingerBridge/docs/experiments/2026-06-05-timing-sidecar-inventory.md,doc_md,opened,"Sidecar guidance verified: Distinct5-512 timing is mature; legacy rows need grade labels; no DisDict local evidence.",MANUAL_ARCHAEOLOGY_REPORT_20260605.md
2026-06-05T07:05:00,local,G,Related_Works/results/metrics_summary/timing_summary.csv,csv,opened,"AdaIN v32k/vgg19 strict timing rows verified; CAST/StyTr2/StyleID rows remain smoke or unfair/mixed protocol.",manual_timing_evidence_20260605.csv
2026-06-05T07:05:00,local,G,Related_Works/runs/cut_5x5/checkpoints; Related_Works/runs/cyclegan_5x5*/checkpoints,post_delete_verification,opened,"No remaining .pt/.pth/.ckpt/.safetensors after local legacy CUT/CycleGAN deletion; logs and summaries retained.",cleanup/manual_deleted_checkpoints_20260605.csv
2026-06-05T07:05:00,local,G,Related_Works/final_works/trial_0016; trial_0019; trial_0044,post_delete_verification,opened,"No remaining root trial epoch_0060.pt after duplicate checkpoint deletion; metrics/images/summaries retained.",cleanup/manual_deleted_checkpoints_20260605.csv
2026-06-05T07:05:00,local,G,SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync,post_delete_verification,opened,"No remaining weights; config/logs/generation_only_step_000350_timed summary and 750 generated images retained.",manual_timing_evidence_20260605.csv
2026-06-05T07:05:00,local,G,Cycle-NCE/eval_cache; Cycle-NCE/weight_exp4_latent_adain_swd60_tv00_id40_r16_e60,manual_directory_open,opened,"Local Cycle-NCE residual .pt files are three ref_feats eval-cache tensors only; weight_exp4 keeps config/log/full_eval without local checkpoint weights.",manual_remaining_weight_classes_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github,remote_root_listing,opened,"Remote root contains Latent_Style, Latent_Style_TokenizerClean, and 26AI-H. Only Latent_Style trees were treated as this repo scope.",MANUAL_ARCHAEOLOGY_REPORT_20260605.md
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style,remote_root_listing,opened,"Latent_Style root includes data/latent caches, Related_Works, Cycle-NCE, SchrodingerBridge, seedream artifacts, and old archives.",manual_directory_classification_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp,remote_weight_group_scan,opened,"Current exact retained weight count is 101 files and 5945.063 MB across longer F/K, path kinetic, B44/A-E, J-M, and SADD repro groups.",manual_remaining_weight_classes_20260605.csv
2026-06-05T07:10:00,remote,I,I:/Github/Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_baseline_direct_atom_residual_b44_remote,manual_directory_open,opened,"B44 has 8 weights, training CSV, and full_eval epoch_0008 summary; timing row added.",manual_timing_evidence_20260605.csv
