"remote_path","checkpoint_file","step_or_alias","size_mb","opened_evidence","hash_duplicate_check","decision","delete_candidate","reason","next_action"
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","last.ckpt","last alias around step 250","275.897","remote step_checkpoints listing; hash compared with step-step=000250.ckpt","not duplicate: SHA256 differs from step-step=000250.ckpt","keep","no","Alias checkpoint differs from paired step file; cannot delete as duplicate.","Only delete under explicit alias-retention policy after confirming exact role."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","last-v1.ckpt","last alias around step 500","275.899","remote step_checkpoints listing; hash compared with step-step=000500.ckpt","not duplicate: SHA256 differs from step-step=000500.ckpt","keep","no","Alias checkpoint differs from paired step file; cannot delete as duplicate.","Only delete under explicit alias-retention policy after confirming exact role."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","last-v2.ckpt","last alias around step 750","275.899","remote step_checkpoints listing; hash compared with step-step=000750.ckpt","not duplicate: SHA256 differs from step-step=000750.ckpt","keep","no","Alias checkpoint differs from paired step file; cannot delete as duplicate.","Only delete under explicit alias-retention policy after confirming exact role."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","last-v3.ckpt","last alias around step 1000","275.899","remote step_checkpoints listing; hash compared with step-step=001000.ckpt","not duplicate: SHA256 differs from step-step=001000.ckpt","keep","no","Alias checkpoint differs from paired step file; cannot delete as duplicate.","Only delete under explicit alias-retention policy after confirming exact role."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","last-v4.ckpt","last alias around step 1250","275.899","remote step_checkpoints listing; hash compared with step-step=001250.ckpt","not duplicate: SHA256 differs from step-step=001250.ckpt","keep","no","Alias checkpoint differs from paired step file; cannot delete as duplicate.","Only delete under explicit alias-retention policy after confirming exact role."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","last-v5.ckpt","last alias around step 1500","275.899","remote step_checkpoints listing; hash compared with step-step=001500.ckpt","not duplicate: SHA256 differs from step-step=001500.ckpt","keep","no","Alias checkpoint differs from paired step file; cannot delete as duplicate.","Only delete under explicit alias-retention policy after confirming exact role."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","last-v6.ckpt","last alias around step 1750","275.899","remote step_checkpoints listing; hash compared with step-step=001750.ckpt","not duplicate: SHA256 differs from step-step=001750.ckpt","keep","no","Alias checkpoint differs from paired step file; cannot delete as duplicate.","Only delete under explicit alias-retention policy after confirming exact role."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=000250.ckpt","250","275.897","eval_curve/step_000250 metrics.csv and images; convergence_recovered.md includes step 250","n/a","keep","no","Part of recovered SaMAM convergence curve.","Could be thinned only if preserving full curve retraining is no longer required."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=000500.ckpt","500","275.899","eval_curve/step_000500 metrics.csv and images; convergence_recovered.md includes step 500","n/a","keep","no","Part of recovered SaMAM convergence curve.","Could be thinned only if preserving full curve retraining is no longer required."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=000750.ckpt","750","275.899","eval_curve/step_000750 metrics.csv and images; convergence_recovered.md includes step 750","n/a","keep","no","Part of recovered SaMAM convergence curve.","Could be thinned only if preserving full curve retraining is no longer required."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=001000.ckpt","1000","275.899","eval_curve/step_001000 metrics.csv and images; convergence_recovered.md includes step 1000","n/a","keep","no","Part of recovered SaMAM convergence curve and content-improvement turn.","Could be thinned only if preserving full curve retraining is no longer required."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=001250.ckpt","1250","275.899","eval_curve/step_001250 metrics.csv and images; convergence_recovered.md includes step 1250","n/a","keep","no","Part of recovered SaMAM convergence curve.","Could be thinned only if preserving full curve retraining is no longer required."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=001500.ckpt","1500","275.899","eval_curve/step_001500 metrics.csv and images; convergence_recovered.md includes step 1500","n/a","keep","no","Part of recovered SaMAM convergence curve.","Could be thinned only if preserving full curve retraining is no longer required."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=001750.ckpt","1750","275.899","eval_curve/step_001750 metrics.csv and images; convergence_recovered.md includes step 1750","n/a","keep","no","Part of recovered SaMAM convergence curve.","Could be thinned only if preserving full curve retraining is no longer required."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=002000.ckpt","2000","275.897","eval_curve/step_002000 metrics.csv/images; convergence_recovered.md says best style and best LPIPS at step 2000","n/a","keep","no","Cited/best recovered curve point.","Must retain."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=002250.ckpt","2250","275.897","eval_curve/step_002250 metrics.csv/images; docs/master tables cite SaMAM 2250 as comparison point","n/a","keep","no","Cited SaMAM comparison point in existing evidence tables.","Must retain."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=002500.ckpt","2500","275.897","eval_curve/step_002500 metrics.csv/images; step_002500_artfid_reuse attempted but summary.json is 0 bytes","n/a","keep","no","Late curve point with generated metrics/images; ArtFID reuse attempt incomplete, so checkpoint may be needed for rerun.","Retain unless late curve is deliberately thinned."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=002750.ckpt","2750","275.897","eval_curve/step_002750 metrics.csv/images; step_002750_artfid_reuse images only","n/a","keep","no","Late curve point with partial reuse evidence; checkpoint may be needed for rerun.","Retain unless late curve is deliberately thinned."
"I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/step_checkpoints","step-step=003000.ckpt","3000","275.897","eval_curve/step_003000 metrics.csv/images; curve_metrics.csv current row; step_003000_artfid_reuse summary.json; segmented.log TRAIN_STEP_3000_WALL_SECONDS=3156.25 and EVAL_STEP_3000_WALL_SECONDS=289.31","n/a","keep","no","Last/closed step with current summary, timing, and ArtFID reuse evidence.","Must retain."
