"check_order","remote_root","relative_path","scope_type","decision","cleanup_action","delete_candidate_paths","observed_evidence","note","source"
"1","I:\Github\Latent_Style","data","dataset_latent_root","keep","none","","Immediate dirs cezanne, latents, vangogh; sample files are small .pt latents; no bad markers in manual pass.","Training/latent backend data; not an invalid experiment.","manual SSH open 2026-06-05; shallow_open_csv"
"2","I:\Github\Latent_Style","style_data","dataset_latent_root","keep","none","","Immediate dirs latents, overfit_eval, overfit50, test, train plus data.py; no bad markers.","Style train/test and overfit split data.","manual SSH open 2026-06-05; shallow_open_csv"
"3","I:\Github\Latent_Style","latents","latent_root","keep","none","","Immediate dirs cezanne, Hayao, monet, photo, vangogh; sample .pt/.flip.pt; no bad markers.","Base latent cache used by historical experiments.","manual SSH open 2026-06-05; shallow_open_csv"
"4","I:\Github\Latent_Style","latents_overfit50","latent_root","keep","none","","Immediate dirs Hayao, photo; sample .pt; no bad markers.","Overfit50 latent cache; small per-file and named split.","manual SSH open 2026-06-05; shallow_open_csv"
"5","I:\Github\Latent_Style","latent-256","latent_root","keep","none","","Five style/content dirs; sample 256 latent .pt; no bad markers.","Canonical 256 latent cache.","manual SSH open 2026-06-05; shallow_open_csv"
"6","I:\Github\Latent_Style","latent-256-flux1","latent_root","keep","none","","Five dirs plus manifest.json; sample .pt around 0.376 MB; no bad markers.","Flux1 latent cache with manifest.","manual SSH open 2026-06-05; shallow_open_csv"
"7","I:\Github\Latent_Style","latent-256-flux2","latent_root","keep","none","","Five dirs plus manifest.json; sample .pt around 0.501 MB; no bad markers.","Flux2 latent cache with manifest.","manual SSH open 2026-06-05; shallow_open_csv"
"8","I:\Github\Latent_Style","latent-256-kl-f4","latent_root","keep","none","","Five dirs plus manifest.json; sample .pt around 0.376 MB; no bad markers.","KL-F4 latent cache.","manual SSH open 2026-06-05; shallow_open_csv"
"9","I:\Github\Latent_Style","latent-256-kl-f4-mode","latent_root","keep","none","","Five dirs plus manifest.json; sample .pt around 0.376 MB; no bad markers.","KL-F4 mode latent cache.","manual SSH open 2026-06-05; shallow_open_csv"
"10","I:\Github\Latent_Style","latent-256-sd15-ema","latent_root","keep","none","","Six dirs including unsqueeze64_test plus manifest.json; sample .pt around 0.126 MB; no bad markers.","SD15 EMA latent cache.","manual SSH open 2026-06-05; shallow_open_csv"
"11","I:\Github\Latent_Style","latent-256-sdxl","latent_root","keep","none","","Five dirs plus manifest.json; sample .pt around 0.126 MB; no bad markers.","SDXL latent cache.","manual SSH open 2026-06-05; shallow_open_csv"
"12","I:\Github\Latent_Style","latent-256-sdxl-fp32","latent_root","keep","none","","Five dirs plus manifest.json; sample .pt around 0.126 MB; no bad markers.","SDXL FP32 latent cache.","manual SSH open 2026-06-05; shallow_open_csv"
"13","I:\Github\Latent_Style","eval_cache","model_eval_cache","partial_cleanup","delete_failed_hf_incomplete_and_stale_tmp","eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete;eval_cache\ref_feats_1558c2de70_m80.pt.tmp.575","Manual parent listing shows only failed CLIP blob incomplete in HF blobs; manual_clip has full pytorch_model.bin and ViT-B-32.pt. Complete ref_feats_1558c2de70_m80.pt exists next to 128-byte tmp residue.","Keep complete offline_pairing/manual_clip/artfid/ref_feats; delete only failed residue.","manual SSH open 2026-06-05; shallow_open_csv"
"14","I:\Github\Latent_Style","SchrodingerBridge\scale\datasets","dataset_cache","partial_cleanup","delete_failed_dataset_download_residue","SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\wCnio2FLeN37BG8ipDAohIO8E5U=.46096265c2d6143804b6bd1d07b5a59119f8b8f89e7a1d2cd4fca5592b450707.incomplete;SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\dataset.tar.gz.lock","Datasets include wikiart_1024, support/test splits and latent splits. wikiart_81k top contains README and dataset dir; download cache contains one 63.947 MB incomplete and stale dataset.tar.gz.lock.","Keep dataset bodies; remove failed HF download residue only.","manual SSH open 2026-06-05; shallow_open_csv"
"15","I:\Github\Latent_Style","SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0","formal_gate_experiment","keep","none","","Immediate listing contains config.json, epoch_0001.pt through epoch_0008.pt, full_eval, full_eval_timing_epoch7, logs, residual/step sweeps.","Historical SchrodingerBridge gate evidence; not cleanup target.","manual SSH open 2026-06-05; shallow_open_csv"
"16","I:\Github\Latent_Style","SchrodingerBridge\review_additional_experiments","review_sweep_experiment","keep","none","","Immediate dirs lambda_grid and step_count_sweep with manifest.json.","Review additional experiment evidence; keep.","manual SSH open 2026-06-05; shallow_open_csv"
"17","I:\Github\Latent_Style","Cycle-NCE","external_experiment_archive","partial_cleanup_plus_review_archives","delete_failed_cache_incomplete_and_stale_locks_only","Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete;Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock;Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete;Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock;Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete","Manual parent listings show failed artfid and CLIP incomplete files; src has complete art_inception.pth and clip_openai/ViT-B-32.pt; eval_cache/manual_clip has complete CLIP. Root archives include Gate.rar, 1-decoder zip, Attn/chess parts; 45.rar duplicated root/src by size but not provenance-proven.","Do not delete large archives or .venv without separate authorization/proof; only failed cache residue.","manual SSH open 2026-06-05; shallow_open_csv"
"18","I:\Github\Latent_Style","experiments","old_experiment_tree","partial_cleanup","delete_recursively_empty_modelscope_temp_only","experiments\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-mse\._____temp","Immediate listing is large named experiment families. Bad-marker review found ModelScope ._____temp with two nested dirs, zero files, zero MB. uv.lock and torch compile hash containing TMP are false positives and must be kept.","Keep old experiment tree and complete eval caches; remove only empty temp directory.","manual SSH open 2026-06-05; shallow_open_csv"
"19","I:\Github\Latent_Style","StarGAN","baseline_repo_and_runs","keep","none","","Immediate repo files/configs/runs; largest files are summary grids and sample jpgs; no bad markers.","Baseline evidence and small footprint; keep.","manual SSH open 2026-06-05; shallow_open_csv"
"20","I:\Github\Latent_Style","seedream45_api","api_generation_outputs","keep","none","","Only protocol_a_800 with jpg outputs; no bad markers.","Seedream protocol output evidence; keep.","manual SSH open 2026-06-05; shallow_open_csv"
"21","I:\Github\Latent_Style","Related_Works\baseline_pipeline\results","baseline_results","keep","none","","Immediate dirs include SaMAM/Flux/ZImage/SaMST result sets; no bad markers. Remaining SaMAM step checkpoints are curated after alias cleanup.","Performance/timing evidence; keep remaining checkpoints/results.","manual SSH open 2026-06-05; shallow_open_csv"
"22","I:\Github\Latent_Style","Related_Works\repos","external_repos","partial_cleanup","delete_empty_tmp_timing_only","Related_Works\repos\S2WAT-main\pre_trained_models\tmp_timing","Immediate repos S2WAT-main, SaMam, SaMST-main. tmp_timing child_count=0; VGG/SaMST weights are real baseline assets.","Delete empty timing temp dir; keep baseline repos and weights.","manual SSH open 2026-06-05; shallow_open_csv"
"23","I:\Github\Latent_Style","Cycle-NCE root archives","archive_review_candidate","review_not_deleted","none","","Gate.rar 3384.032 MB; 1-decoder-patch5-15_eAzEC.zip 2078.795 MB; Attn_48.part1/2 800 MB, part3 375.113 MB; chess.part1 800 MB, part2 394.239 MB; 45.rar root and src are same size.","Large recovery opportunity, but not deleted because duplicate/provenance not established.","manual SSH open 2026-06-05"
