"timestamp","scope","remote_path","exists","check_depth","dirs","files_or_rows","media_files","total_mb","weight_files","decision","delete_whitelist","source_evidence","note","next_action"
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","I:\Github\Latent_Style_TokenizerClean","yes","shallow","17","37","","","","keep","no","remote top-level listing","TokenizerClean is a separate remote evidence tree, not part of remote main. Top-level contains SchrodingerBridge, Cycle-NCE, Related_Works, final_works, efficiency, fast_infer_ablate43, o20_d3, and paper/plan roots.","Continue separate TokenizerClean policy; do not merge conclusions into remote main."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp","yes","shallow","142","23","","","","keep","no","remote exp shallow listing","Exp remains substantial after cleanup. Latest dirs include tokenizer_t01_carrier_base_b160, spectral_stat_full_e2_from_tok_b48, pair/tokenbudget tokonly, and distinct5 spectralstat entries.","Continue only exact-path review."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","manual_remote_tokenizerclean_cited_current_media_manifest_20260605.csv","yes","manifest","","26","46483","11977.341","118","retain_until_owner_archive_selection","no","MANUAL_REMOTE_TOKENIZERCLEAN_CITED_CURRENT_MEDIA_MANIFEST_20260605.md; manifest CSV import","26 cited/current media dirs remain mapped to summaries, CSVs, grids, images, and checkpoints. All are delete_whitelist=no.","Owner must choose archive/migration before any media movement or deletion."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","manual_remote_tokenizerclean_training_log_only_live_recheck_20260605.csv","yes","manifest","","7","","","3","mixed_after_training_log_cleanup","no","MANUAL_REMOTE_TOKENIZERCLEAN_TRAINING_LOG_ONLY_WEIGHT_DELETE_EXECUTED_20260605.md; live recheck CSV import","7 retained/training-log-only payload dirs rechecked after cleanup. Remaining weights sum to 3 files / 130.883 MB; four dirs are metadata retained after weight deletion, one metadata anomaly recorded, one downstream resume source, one diagnostic evaluated payload.","Do not delete remaining evidence-bearing weights without a new exact checkpoint policy."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","manual_remote_tokenizerclean_training_log_only_weight_post_delete_verify_20260605.csv","yes","manifest","","20","","","","verified_pass","no","post-delete verification CSV import","20 post-delete checks are pass: deleted checkpoints absent and parent config/training CSV evidence present.","No further action for the 7 deleted weights."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_stat_full_e2_from_tok_b48","yes","anomaly","","1","","","0","metadata_only_anomaly","no","manual_remote_tokenizerclean_missing_resume_anomaly_20260605.csv","Config points to missing ./exp/wikiart512_ema_spectral_stat_full_e2_from_tok_b48/epoch_0004.pt; epoch_0001/0002/0004 are absent; one training CSV exists; no summary/metrics/full_eval.","Do not promote as clean resume lineage or evaluated result."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","diagnostics","yes","manifest_row","","1","7723","2872.709","0","retain_large_cited_diagnostics_surface","no","manual_remote_tokenizerclean_cited_current_media_manifest_20260605.csv top-size row","Largest cited/current media surface by MB; retained because cited/current diagnostics evidence is mapped.","Owner archive/migration choice required."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","wikiart512_ema_spectral_stat_full_adapt_e2_b48","yes","manifest_row","","1","3608","2111.208","8","retain_large_cited_model_packet","no","manual_remote_tokenizerclean_cited_current_media_manifest_20260605.csv top-size row","Large cited/current model packet with summaries/media/checkpoints mapped.","Owner archive/migration choice required."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","tokenizer_t01_carrier_base_b176_e16","yes","manifest_row","","1","2253","739.909","16","retain_tokenizer_t01_cited_packet","no","manual_remote_tokenizerclean_cited_current_media_manifest_20260605.csv top-size row","Cited tokenizer_t01 packet retained with media and checkpoints.","Owner archive/migration choice required."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","aaai2027_flow_loss_h_base_l1_seed42_b44","yes","manifest_row","","1","2253","430.316","3","retain_full_packet_until_owner_archive_selection","no","manual_remote_tokenizerclean_cited_current_media_manifest_20260605.csv top-size row","AAAI2027 full packet retained until owner archive selection.","Owner archive/migration choice required."
"2026-06-05Ttokenizerclean-surface-recheck","remote_tokenizerclean_surface_recheck","aaai2027_flow_loss_h_base_mse_seed42_b44","yes","manifest_row","","1","2253","430.287","3","retain_full_packet_until_owner_archive_selection","no","manual_remote_tokenizerclean_cited_current_media_manifest_20260605.csv top-size row","AAAI2027 full packet retained until owner archive selection.","Owner archive/migration choice required."
