"scope","location","path_or_pattern","opened_examples","period","family_type","dataset_or_setting","method_family","current_weight_state","evidence_value","cleanup_decision","conclusion"
"local","G","SchrodingerBridge/exp/_smoke_distinct5_*","_smoke_distinct5_512_ema_baseline_vlen004; _smoke_distinct5_512_ema_variant_*","2026-06-02 to 2026-06-05","smoke/calibration","Distinct5-512","LBM/LANCET","0 current large weights in refreshed scan","low; launch/runtime sanity only","freeze; no paper citation","Stop growing; only retain if a later note cites the summary/log."
"local","G","SchrodingerBridge/exp/ablation_destructive_7epoch","ablation_log.md; destructive ablation full_eval rows","2026-05-27","formal ablation evidence","legacy strict750","LBM/LANCET","not in current local weight scan","high for ablation table","keep","Use as destructive ablation evidence; no cleanup unless archived with tables."
"local","G","SchrodingerBridge/exp/analysis","current_experiment_summary_*; per-target metrics","2026-05-28","analysis output","mixed","LBM/LANCET","not in current local weight scan","medium; derived summaries","keep","Summary/analysis layer, not checkpoint payload."
"local","G","SchrodingerBridge/exp/configs","orthogonal_phase_space_sweep_60; grid/search configs","2026-05-27","config/eval summary bundle","legacy sweeps","LBM/LANCET","not in current local weight scan","medium; historical sweep provenance","keep pending archive policy","Do not use dry-run rows as real timing without source check."
"local","G","SchrodingerBridge/exp/distinct5_512_ema_variant_{f,h,k}_*_remote","variant_f; variant_h; variant_k","2026-06-02","synced remote evidence","Distinct5-512","LBM/LANCET","no local weights","high; synced full_eval/docs evidence","keep","Local mirror/eval evidence for current Distinct5 paper-facing runs."
"local","G","SchrodingerBridge/exp/frontier","frontier_decision_tree_8h; dynamic metric summaries","2026-05-22 to 2026-05-23","frontier search","legacy/WikiArt style","LBM/LANCET","not in current local weight scan","medium; historical frontier search","keep/freeze","Good historical metrics, not current final claim unless promoted."
"local","G","SchrodingerBridge/exp/kinetic_sweep, weight_sweep_40, orth12","kinetic_sweep; weight_sweep_40; orth12","2026-05-10 to 2026-05-27","phase-space sweeps","legacy256/strict750","LBM/LANCET","not in current local weight scan","medium; sweep lineage","keep/freeze","Historical search surface; clean only after archive policy."
"local","G","SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8","epoch_0001.pt..epoch_0008.pt; full_eval_epoch_0008_b2_opt_nocls","2026-06-01 to 2026-06-02","formal timing anchor","WikiArt512-5style","LBM/LANCET","8 epoch weights, 260.552 MB","high; formal train/full-eval timing","keep","Main local WikiArt512 timing/repro anchor."
"local","G","SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min*","step2min; step2min_ckptsync; v160; v350; stepcalib","2026-06-05","local calibration","Distinct5-512","LBM/LANCET K","current refreshed scan finds no vramprobe weights; ckptsync target clean","medium; calibration logs/summaries","keep logs; no current ckpt delete","Calibration evidence only; previously targeted ckptsync cleanup remains clean."
"local","G","SchrodingerBridge/exp/style_representation*","actuator_probe; residual_scale_sweep; narrow_consumer_probe; lowpass_*","2026-05-29 to 2026-06-03","representation/tokenizer exploration","WikiArt/Distinct5 mixed","LBM/LANCET","not in current local weight scan","medium; exploration and theory review","freeze unless promoted","Do not cite as formal paper evidence without dated docs packet."
"local","G","SchrodingerBridge/exp/tokenizer_*","adain_gate_calibration; prototype_carrier; stat_vocab; texton_carrier","2026-05-27 to 2026-05-28","tokenizer calibration","legacy/WikiArt mixed","LBM/LANCET","not in current local weight scan","medium; calibration lineage","freeze/keep summaries","Useful for lineage; not current formal evidence."
"local","G","SchrodingerBridge/exp/vae_backend*","vae_backend; vae_backend_256_probe; vae_backend_256_mse_controls","2026-05-27 to 2026-06-05","VAE backend/decode probe","legacy/WikiArt mixed","LBM/LANCET","not in current local weight scan","medium; decode/backend diagnosis","keep","Explains backend/decode choices and timing bottleneck lineage."
"local","G","SchrodingerBridge/exp/timing_20260601 and timing_20260602","lancet_fulleval750; run_eval_png750; from-scratch dirs","2026-06-01 to 2026-06-02","timing evidence","WikiArt512-5style","LBM/LANCET","no formal model weights in refreshed scan","high for timing, if cited","keep cited dirs; prune uncited images only","Separate generation-only and full-eval timing."
"local","G","SchrodingerBridge/exp/video","video_compare/vtest_240f_art_styles/_metric_cache/artfid/art_inception.pth","2026-05-27","visual/metric support","video/art styles","metric dependency","1 ArtFID dependency, 102.936 MB","dependency only","keep","Not a train ckpt; metric dependency under video compare."
"local","G","Related_Works/baseline_pipeline","scripts/results for SaMAM, SDTurbo, Seedream etc.","2026-05-22 to 2026-06-05","baseline pipeline","Distinct5-512 and WikiArt512","SaMAM/SaMST/SDTurbo/Seedream","remaining local weight-like files are deps/placeholders only","high for baseline comparison","keep; no broad delete","Current baseline source surface; do not delete result summaries."
"local","G","Related_Works/repos","SaMST-main; SaMam; S2WAT-main; AesFA; AesPA-Net; external","2026-03-25 to 2026-06-05","external repos/dependencies","baseline methods","multiple","VGG/Inception/LPIPS deps","dependency evidence","keep","Remaining weights are mostly pretrained deps."
"local","G","Related_Works/runs","cut_5x5; cyclegan_5x5; sdedit_multi; sdturbo_5x5","2026-04-04 to 2026-06-05","baseline run outputs","legacy/photo-monet/Distinct5","CUT/CycleGAN/SDEdit/SDTurbo","target checkpoint folders checked clean; tiny placeholders remain","medium/high depending run","keep summaries; placeholder policy optional","No meaningful disk win from placeholder removal."
"local","G","Related_Works/results and summary","metrics_summary; timing_summary.csv; summary outputs","2026-05-11 to 2026-05-25","baseline metrics/timing","legacy/run511","multiple","no cleanup target","high for timing table","keep","Use note/evidence_grade to filter smoke/failed/unfair rows."
"local","G","Cycle-NCE top families","46*; freq*; exp; summary; weight_exp4*; eval_cache","2026-02-27 to 2026-05-29","historical model archaeology","legacy256/Ukiyo-e","Cycle-NCE","only local eval_cache ref_feats remain","historical lineage","keep pending archive policy","Large historical line; not current paper mainline."
"remote","I","Latent_Style/SchrodingerBridge/exp/distinct5_512_ema_variant_*_remote","baseline B44; A-E; J/K/L/M compact families","2026-06-02","current Distinct5 evidence","Distinct5-512","LBM/LANCET","part of 101 retained remote exp weights","high","keep until retention policy","Main remote paper-facing Distinct5 evidence."
"remote","I","Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_*","aaai2027_longer_train_f_seed42_b44_e8; aaai2027_longer_train_k_seed42_b44_e8","2026-06-03","longer-train audit","Distinct5-512","LBM/LANCET F/K","16 retained weights","high","keep","Current longer-train evidence."
"remote","I","Latent_Style/SchrodingerBridge/exp/aaai2027_path_kinetic_*","h_base; k025; k000","2026-06-03","path kinetic packet","Distinct5-512","LBM/LANCET H","9 retained weights","high for path story","keep","Path/kinetic evidence; not deletion target."
"remote","I","Latent_Style/SchrodingerBridge/exp/sadd_*","sadd_repro_38f_8ep; sadd_exact_e3_saddsrc","2026-05-28","historical reproduction","legacy strict750","SADD/LBM","16 retained weights","historical gate","keep","Reproduction lineage; archive only with policy."
"remote","I","Latent_Style/Related_Works/.../samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag","central SaMAM step_checkpoints","2026-06-01 to 2026-06-03","baseline curve","Distinct5-512","SaMAM","19 ckpts, about 5242 MB","high; central baseline curve","keep or thin only after cited-step policy","This is the main remaining remote baseline weight block."
"remote","I","Latent_Style/latent-* and latents*","flux1; flux2; kl-f4; sdxl; sd15-ema","2026-02-13 to 2026-05-30","latent backend cache","legacy/WikiArt","data/cache","82888 files across latent roots","input/cache","keep pending cache policy","Large but not checkpoints."
"remote","I","Latent_Style/Cycle-NCE and experiments","Cycle-NCE; experiments legacy archive","2026-02-13 to 2026-06-05","historical archive/cache","legacy","Cycle-NCE/early models","mostly caches/deps/archives","historical","archive policy needed","Do not delete by extension."
"remote","I","TokenizerClean/SchrodingerBridge/exp/wikiart_distinct5_ema_lancet_spectralstat_*","from_e2_e8; from_e8_e16; from_e16_e24","2026-06-01","WikiArt/Distinct5 spectral-stat chain","WikiArt512/Distinct5","LBM/LANCET","large current TokenizerClean chain","high/current","keep","Current tokenizer/representation lineage."
"remote","I","TokenizerClean/SchrodingerBridge/exp/tokenizer_t01_*","carrier_base; factorized; direct_atom_residual; concept_atoms","2026-05-31 to 2026-06-01","tokenizer training chain","WikiArt512","Tokenizer/LBM","large current TokenizerClean chain","medium/high","keep until docs citation graph migrated","Not trash; clean-worktree tokenizer line."
"remote","I","TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_* and flow_loss_*","endpoint metric mse/huber/l1; flow-loss near-null trio","2026-06-03","AAAI claim-closing packet","Distinct5-512","LBM/LANCET","3 weights per arm in top run grouping","high; negative closure evidence","keep","Endpoint repaired packet is current negative evidence; invalid flow trio is near-null control."
"remote","I","TokenizerClean/SchrodingerBridge/exp/saswd_axis_* plus displayed exp?saswd*","semantic; random","2026-06-03","SA-SWD axis ablation","Distinct5-512","LBM/LANCET SA-SWD","6 special-path weights plus logs/evals","high quality evidence; runtime caveat for random","keep","Do not delete path-display anomaly; random runtime quality-only."
"remote","I","TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_*","execution_alignment_l_e1; localization_l_e1_*","2026-06-03","tokenizer execution/localization packets","Distinct5-512","Tokenizer/LBM","current packet weights/artifacts","high/current or blocked","keep","H packet blocked by missing payload; L is successor, not same-family fallback."
