"path","scan_scope","file_count","weight_count","weight_mb","category","method_or_dataset","evidence_value","cleanup_decision","note"
"Related_Works/README.md","top_level_file","1","0","0","readme","Related_Works","medium","keep","Top-level baseline README."
"Related_Works/baseline_pipeline","topdir_recursive","72747","0","0","baseline_pipeline","multi-baseline","high","keep","Current baseline pipeline with scripts/results/evaluation; no weight-like files after cleanup."
"Related_Works/docs","topdir_recursive","4","0","0","docs","baseline reproducibility","high","keep","ADVANCED_METRICS_TOOLCHAIN, REPRO_DATA_INDEX, jobs, README_TOOLS."
"Related_Works/final_works","topdir_recursive","6254","4","0.006","legacy_baseline_results","CUT/SaMST/StarGAN/SDEdit/trials","medium","keep placeholders; no large ckpt","Legacy final result folders; remaining weights are tiny fake_eval_checkpoint placeholders."
"Related_Works/repos","topdir_recursive","35200","13","396.775","external_repos","baseline dependencies","high","keep dependencies","External baseline repos and pretrained dependency weights."
"Related_Works/results","topdir_recursive","84","0","0","historical_metrics","legacy baseline summaries","high","keep","CSV/HTML/PNG historical metrics and timing summaries."
"Related_Works/run_511","topdir_recursive","27969","5","418.12","strict750_baseline_pack","run511/5-domain/strict750","high","keep dependencies","Run-511 strict protocol outputs/repos; remaining weights are pretrained deps."
"Related_Works/runs","topdir_recursive","80396","9","0.013","baseline_run_outputs","CUT/CycleGAN/S2WAT/SDEdit/SDTurbo/Distinct5 smoke","high","keep placeholders; no large ckpt","Current and historical baseline run outputs; remaining weights are tiny placeholders."
"Related_Works/scripts","topdir_recursive","24","0","0","tooling","baseline scripts","medium","keep","Collection/eval/train scripts and __pycache__."
"Related_Works/summary","topdir_recursive","98","0","0","summary_archive","legacy experiment summaries","medium","keep","JSON and aggregate summary archive."
"Related_Works/baseline_pipeline/checkpoints","second_level","0","0","0","checkpoint_root","baseline pipeline","low","keep if empty","Opened top-level; no weight-like files in baseline_pipeline."
"Related_Works/baseline_pipeline/datasets","second_level","unknown","0","0","dataset_pointers","baseline pipeline","medium","keep","Dataset support for baseline pipeline."
"Related_Works/baseline_pipeline/evaluation","second_level","unknown","0","0","evaluation_tools","baseline pipeline","medium","keep","Evaluation scripts/support."
"Related_Works/baseline_pipeline/manual_grid_requests","second_level","unknown","0","0","manual_requests","baseline pipeline","low","keep","Manual grid request surface."
"Related_Works/baseline_pipeline/results","second_level","72747","0","0","baseline_results_root","multi-baseline","high","keep","Dense result root; every first-level result directory classified below."
"Related_Works/baseline_pipeline/scripts","second_level","dirty_user_files_present","0","0","scripts","baseline pipeline","high","do not touch user dirty files","Contains user-modified scripts; not staged or edited in archaeology pass."
"Related_Works/baseline_pipeline/server_train_launchers","second_level","unknown","0","0","launchers","baseline pipeline","medium","keep","Server training launcher helpers."
"Related_Works/baseline_pipeline/tmp","second_level","unknown","0","0","tmp","baseline pipeline","low","keep unless empty policy","Temporary/support surface; not cleaned in this pass."
"Related_Works/baseline_pipeline/results/agnes_i2i_runs","result_subdir","1478","0","0","api_i2i_results","Agnes/Qwen image edit","medium","keep","Generated/eval outputs, no weights."
"Related_Works/baseline_pipeline/results/agnes_i2i_smoke","result_subdir","1","0","0","api_i2i_smoke","Agnes/Qwen image edit","low","keep","Smoke result, no weights."
"Related_Works/baseline_pipeline/results/ark_seedream45_fallback","result_subdir","213","0","0","seedream_api_results","Seedream 4.5","medium","keep","Fallback Seedream API results, no weights."
"Related_Works/baseline_pipeline/results/ark_seedream45_fallback_smoke","result_subdir","4","0","0","seedream_api_smoke","Seedream 4.5","low","keep","Smoke fallback, no weights."
"Related_Works/baseline_pipeline/results/convergence_summary_20260601","result_subdir","11","0","0","summary","SaMAM/SaMST convergence","medium","keep","Convergence summary files."
"Related_Works/baseline_pipeline/results/cut","result_subdir","6746","0","0","baseline_results","CUT","medium","keep","CUT baseline generated/eval outputs."
"Related_Works/baseline_pipeline/results/modelscope_qwen_edit","result_subdir","50","0","0","api_i2i_results","ModelScope Qwen edit","medium","keep","ModelScope edit outputs, no weights."
"Related_Works/baseline_pipeline/results/ours_pareto_probe_4_epoch_0001","result_subdir","2","0","0","ours_probe","LBM/Ours","medium","keep","Ours protocol migration/eval probe."
"Related_Works/baseline_pipeline/results/s2wat","result_subdir","5316","0","0","baseline_results","S2WAT","medium","keep","S2WAT generated/eval outputs."
"Related_Works/baseline_pipeline/results/samam_256","result_subdir","750","0","0","baseline_results","SaMAM 256","medium","keep images/logs","Legacy SaMAM 256 outputs, no weights."
"Related_Works/baseline_pipeline/results/samam_256_30min","result_subdir","750","0","0","baseline_results","SaMAM 256","medium","keep images/logs","SaMAM 30min output surface, no weights."
"Related_Works/baseline_pipeline/results/samam_256_curve","result_subdir","0","0","0","deleted_empty_dir","SaMAM 256","low","deleted empty directory tree","Checkpoint files were already removed in manual_deleted_checkpoints; remaining zero-file directory tree deleted in this pass."
"Related_Works/baseline_pipeline/results/samam_256_hourly","result_subdir","1500","0","0","baseline_results","SaMAM 256","medium","keep images/logs","Hourly SaMAM output surface, no weights."
"Related_Works/baseline_pipeline/results/samam_256_mid","result_subdir","2","0","0","baseline_results","SaMAM 256","low","keep","Small SaMAM mid summary/log surface."
"Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b1_20k_20260601_170401","result_subdir","3","0","0","samam_distinct5","SaMAM Distinct5","medium","keep","Distinct5 SaMAM run metadata/logs, no weights."
