"timestamp","scope","path","media_count","total_mb","evidence_opened","duplicate_check","owner_class","decision","delete_whitelist","reason","remaining_gap"
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\docs\experiments\metric_hacking_noop_20260602\legacy256_no_op_identity_5x5","1250","40.924","parent README.md; noop_full_transfer_summary.csv; summary.json; metrics.csv with 750 rows; images dir; docs/reference search","not_needed","no_op_metric_baseline","retain","no","No-op copied images are explicitly documented metric-trap/control evidence; summary wall_total=21.568036500000744s and content_lpips=0.0 are timing/metric evidence, not orphan media.","Could archive only after docs/index migration; no deletion now."
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\docs\experiments\metric_hacking_noop_20260602\legacy512_no_op_identity_5x5","751","340.082","parent README.md; noop_full_transfer_summary.csv; summary.json; metrics.csv with 750 rows; summary_grid.png; images dir; docs/reference search","not_needed","no_op_metric_baseline","retain","no","No-op 512 control is directly referenced by metric-hacking docs and timing master; summary wall_total=46.0305015000049s and clip_style=0.7815240477720897.","Could archive only after docs/index migration; no deletion now."
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\docs\experiments\idt_eval_20260602\legacy256_overfit50\idt_5x5","1251","41.679","idt_build_summary.json; summary.json; metrics.csv with 750 rows; images dir; timing/docs reference search","not_needed","idt_eval_control","retain","no","Identity-transfer eval control with summary wall_total=20.621361799989245s, clip_style=0.6593609295606613, content_lpips=0.0; docs/timing rows reference this path.","No deletion."
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\docs\experiments\idt_eval_20260602\wikiart512_5style\idt_5x5","751","340.082","idt_build_summary.json; summary.json; metrics.csv with 750 rows; images dir; timing/docs reference search","not_needed","idt_eval_control","retain","no","WikiArt512 IDT control with summary wall_total=32.021122200007085s, clip_style=0.7815262297789255, content_lpips=0.0; docs/timing rows reference this path.","No deletion."
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\docs\experiments\idt_eval_20260602\distinct5_512\idt_5x5","751","218.632","idt_build_summary.json; summary.json; metrics.csv with 750 rows; images dir; timing/docs reference search","not_needed","idt_eval_control","retain","no","Distinct5 IDT control with summary wall_total=27.095642000000225s, clip_style=0.6801251527865727, content_lpips=0.0; docs/timing rows reference this path.","No deletion."
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\exp\timing_20260602\lancet_generate750_current_b2_tchunk5_vaebs2","750","360.886","summary.json; metrics.csv with 750 rows; generated dir; timing master and final_by_dataset references","not_needed","timing_generation_benchmark","retain","no","Timing benchmark evidence: summary generated_count=750 and timings_sec.wall_total=139.851493545s; docs timing master and archaeology indexes reference this summary.","No deletion; archive only after timing table replacement is frozen."
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\exp\timing_20260601\lancet_fulleval750_b2_tchunk5_vaebs2","751","363.199","summary.json; metrics.csv with 750 rows; grid_first_per_class.png; generated dir; timing master and 2026-06-01 gap analysis references","not_needed","timing_full_eval_benchmark","retain","no","Strict-protocol full-eval evidence: summary wall_total=218.04756745000003s, clip_style=0.7923192752202352, content_lpips=0.35503635529677074; referenced by timing master/final tables.","No deletion."
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\exp\timing_20260602\run_eval_png750_b12_v2_w8_grid","751","90.192","summary.json; images dir; timing master; 2026-06-02 inference-speed doc; 2026-06-03 timing-artifact-prune doc","not_needed","png_throughput_benchmark","retain","no","PNG eval throughput benchmark with summary wall_total=70.11673331500003s; retained because it supports grid-vs-nogrid timing comparison.","No deletion."
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\exp\timing_20260602\run_eval_png750_b12_v2_w8_nogrid","750","87.214","summary.json; images dir; timing master; 2026-06-02 inference-speed doc; timing candidate source-open ledger","not_needed","png_throughput_benchmark","retain","no","Generation/eval timing benchmark with internal wall_total=46.791428548s and external timing-note wall=54.80s; metrics intentionally skipped, but images are tied to timing evidence.","No deletion."
"2026-06-05Tcurrent","local_generated_media_pass3","SchrodingerBridge\exp\timing_20260602\lancet_from_scratch_e8_generate750","751","85.196","summary.json; metrics.csv with 750 rows; images dir; lancet_from_scratch_e8_generate750.log; lancet_from_scratch_e8_generate750_time.txt; comparison docs references","not_needed","from_scratch_generation_timing","retain","no","From-scratch generation evidence: external infer_wall=55.16s from time.txt, summary metrics clip_style=0.7739746244748433/content_lpips=0.3940862842533334, and docs comparison tables reference this path.","No deletion."
