"timestamp","scope","remote_path","exists","check_depth","dirs","files","size_mb","weights","summary_like","log_like","classification","decision","delete_whitelist","source_evidence","note","next_action"
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style","yes","shallow","23","53","","","","","remote_main_root","keep","no","remote shallow top-level listing","Remote main tree is non-empty; top-level has experiment, cache, baseline, Cycle-NCE, and root script/log surfaces.","Continue exact-path blocks only; do not infer cleanup from root count."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\SchrodingerBridge","yes","shallow","32","175","","","","","schrodingerbridge_mixed_surface","keep","no","remote SchrodingerBridge top-level listing","Top level mixes exp, review_additional_experiments, configs/docs/src, cache, archives, and many launcher scripts.","Only exact archive/provenance candidates should proceed."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\SchrodingerBridge\exp","yes","shallow","123","1","","","","","schrodingerbridge_exp_surface_after_cleanup","keep","no","remote exp shallow listing; MANUAL_REMOTE_SCHRODINGERBRIDGE_EPOCH_THINNING_20260605.md","Current exp directory remains substantial after epoch thinning; latest names include Distinct5 and AAAI2027/TokenizerClean anchors.","Continue per-run review only where new whitelist proof exists."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\SchrodingerBridge\review_additional_experiments.rar","yes","file","","1","2991.423","","","","archive_candidate_without_listing_tool","keep_pending_archive_provenance","no","remote existence check; remote tool check found no 7z/rar/unrar","Same-name extracted directory exists, but remote lacks a reliable RAR listing tool. RAR is larger than extracted tree and cannot be declared duplicate yet.","Need archive listing/extraction proof or owner-approved archive task before deletion."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\SchrodingerBridge\review_additional_experiments","yes","recursive","","58151","1270.619","9","77","9","review_weight_sweep_evidence","keep","no","remote recursive check; status.csv and training_*.csv opened by prior timeline","Directory has 9 weights, 77 summary.json files, 9 training CSVs, and 29 status/batch-summary files. It is indexed as review/additional and weight-sweep evidence.","Do not delete; if thinning weights later, use a separate checkpoint policy."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works","yes","shallow","5","0","","","","","related_works_baseline_root","keep","no","remote Related_Works top-level listing","Top level has baseline_pipeline, external, repos, runs, scripts.","Treat repos/external/scripts as dependency/source surfaces, not experiment garbage."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\runs","yes","shallow","1","0","","","","","related_works_runs_surface","keep","no","remote runs shallow listing","Remote main runs currently only has cut_5x5; cyclegan_5x5 and samam_distinct5 were absent in this tree.","Open cut_5x5 directly before any cleanup."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\runs\cut_5x5\infer_5x5","yes","mixed","1","1","85.168","1","0","0","cut_qualitative_media_without_summary","retain_pending_owner","no","remote infer_5x5 listing; explicit summary/metrics/meta absence check","Contains 2427 JPG images under images and one 1531-byte fake_eval_checkpoint.pt. summary.json, metrics.csv, and meta.json are absent.","Owner decision required before deleting qualitative images; fake checkpoint is tiny and not a real training checkpoint."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results","yes","shallow","16","0","","","","","baseline_pipeline_results_root","keep","no","remote baseline_pipeline/results listing","Contains 16 result directories; most are SaMAM/Flux/ZImage/SaMST baseline evidence or probes.","Review per result dir; do not bulk delete."
"2026-06-05Tremote-main-recheck","remote_main_surface_recheck","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\flux2_klein","yes","recursive","","2","0.001","0","0","0","flux_probe_tiny","keep_low_priority","no","remote recursive result-dir check","Tiny 2-file result, no metrics/weights. Space release is negligible.","Owner can decide whether to remove tiny probe dirs later."
