"row_origin","source_row","method","dataset_or_setting","resolution","train_time_value","train_time_unit","infer_time_value","infer_time_unit","params_m","source_path","quality_class","claim_use","in_docs_timing_master","recommended_action","note"
"timing_quality_master_20260605.csv","1","LANCET/LBM F e1","Distinct5-512","512","1.2161","min","90.8249","s","3.91","SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote/full_eval/epoch_0001/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Manuscript compact LPIPS anchor. Infer field is eval wall_total"
"timing_quality_master_20260605.csv","2","LANCET/LBM H e1","Distinct5-512","512","1.2207","min","97.5991","s","3.91","SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0001/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Closed metrics but no retained targetwise ArtFID packet."
"timing_quality_master_20260605.csv","3","LANCET/LBM H e2","Distinct5-512","512","2.2656","min","95.9876","s","3.91","SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0002/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Closed metrics but no retained targetwise ArtFID packet."
"timing_quality_master_20260605.csv","4","LANCET/LBM K e1","Distinct5-512","512","1.2077","min","101.0315","s","3.91","SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/full_eval/epoch_0001/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Current compact style anchor. Infer field is eval wall_total"
"timing_quality_master_20260605.csv","6","LANCET/LBM K-longer e8","Distinct5-512","512","8.7826","min","105.1828","s","3.91","I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_k_seed42_b44_e8/full_eval_artfid/epoch_0008/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","Remote e5-e8 exists"
"timing_quality_master_20260605.csv","7","LANCET/LBM F-longer e8","Distinct5-512","512","9.1058","min","136.3843","s","3.91","I:/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_longer_train_f_seed42_b44_e8/full_eval/epoch_0008/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","Remote longer F does not beat compact F; infer field is eval wall_total."
"timing_quality_master_20260605.csv","8","SaMST e5","Distinct5-512","512","115.9750","min","323.071","s","","Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b1_e5_20260603/eval_bundle/eval_epoch5/generate.log; SchrodingerBridge/docs/experiments/distinct5_512_20260602/baseline_packet_status_20260604/packet_status.json","train_and_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","Closed Distinct5 baseline row. Infer is packet-bound generation wall for 750 images."
"timing_quality_master_20260605.csv","11","SaMAM step 3000","Distinct5-512","512","612.5845","min","4.8218","min","","I:/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_003000_artfid_reuse/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","True","already represented in docs timing master; verify source before paper use","Audit-only closed packet"
"timing_quality_master_20260605.csv","24","LANCET/LBM WikiArt512 epoch8 eval","WikiArt512-5style","512","","","210.67","s","","SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8/full_eval_epoch_0008_b2_opt_nocls; SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","External wall 210.67s and internal wall 206.7923s for 750-sample full eval; not pure generation."
"timing_quality_master_20260605.csv","43","LANCET/LBM local ckptsync K step350","Distinct5-512 EMA latents","512","100.500922","s","78.317428","s","","SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync/logs/training_20260605_061543.csv; SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync/generation_only_step_000350_timed/summary.json","full_eval_wall_time","candidate_claim_support_with_caveat","False","candidate missing from docs timing master; add only after source-open and owner approval","2-epoch/350-step local WSL calibration. Inference is generation-only wall_total for 750 images with metrics skipped. Three non-mainline weights deleted; config/log/images retained."
