"method","dataset_or_setting","resolution","train_time_value","train_time_unit","infer_time_value","infer_time_unit","params_m","source_path","note","scope","period","manual_check_level","files","dirs","summary_json_count","metrics_csv_count","training_log_count","weight_like_count","weight_like_mb","best_metric","cleanup_action"
"Latent AdaCUT / Cycle-NCE archaeology docs","WikiArt latent style-transfer history","256/512 mixed","","","","","","Cycle-NCE/ARCHAEOLOGY_FINAL_CN.md; Cycle-NCE/History_Report.md; Cycle-NCE/ARCHEOLOGY_PLAN.md","Opened project archaeology reports and plan. Docs state Jan 13-Apr 2 history, 186-207 git commits, 191+ valid experiments, 231 dirs, and prior coverage of configs/exp.csv/fewshot. Used as orientation only, rechecked current files below.","Cycle-NCE root docs","2026-01-13 to 2026-04-03","opened docs manually","top-level files","top-level docs","","","","0","0","DiT 5-style style 0.820; swd8_32x32 style 0.716 cited in docs","retain evidence"
"Latent AdaCUT current config","overfit50 / five-style latent transfer","latent / 256-ish source docs","","","","","8.856333","Cycle-NCE/config.json; Cycle-NCE/vram.md","Opened root config and VRAM note. vram.md reports 8,856,333 trainable params and B=1 Conv/Linear MAC about 2.41G. Config uses batch_size 320, num_epochs 60, full_eval_interval 60, full_eval_max_src_samples 30.","Cycle-NCE root config","current implementation snapshot","opened config and vram note manually","","","","","","0","0","params_m from vram.md","retain evidence"
"Cycle-NCE aggregate CSV pack","many legacy Cycle-NCE runs","mixed","","","","","","Cycle-NCE/exp.csv; Cycle-NCE/freq.csv; Cycle-NCE/Aline120.csv; Cycle-NCE/hf.csv; Cycle-NCE/cgw.csv; Cycle-NCE/micro.csv; Cycle-NCE/clocor1_full_eval_summary.csv; Cycle-NCE/grid_search_3epoch_scatter.csv","Opened aggregate CSV headers and best rows. exp.csv has 274 rows; freq.csv 36; Aline120.csv 30; hf.csv 22; cgw.csv 46; micro.csv 16; clocor1 9; grid_search 160. These are the fastest navigation layer for metrics, not deletion targets.","Cycle-NCE root aggregate csvs","2026-02 to 2026-04","opened CSVs and computed row/best checks","8 aggregate CSV files","","","","","0","0","best exp.csv row style_oa_5_lr5e4_wc2_swd60_id30_e120_interval10 transfer_clip_style 0.729723026394844","retain evidence"
"Cycle-NCE 46 family","46 ablation / holy-grail follow-up","latent / style transfer","19049.471","summed epoch_time_sec across opened training_*.csv in family","","","","Cycle-NCE/46; Cycle-NCE/46/46_00_holy_grail/logs/training_20260406_013242.csv; Cycle-NCE/46/46_00_holy_grail/full_eval/epoch_0080/summary.json","Opened 46 directory and representative logs/summaries. Contains 5 child experiments 46_00 to 46_04, config/full_eval/log evidence. No checkpoint files present locally.","Cycle-NCE/46","2026-04-06","opened child list plus representative logs","97","35","many","many","7","0","0","logs show epoch_time_sec around 30-60s after warmup, 10240 samples/epoch","retain evidence"
"Cycle-NCE 46_08 natural spectrum reset","frequency/natural spectrum follow-up","latent / style transfer","","","","","","Cycle-NCE/46_08_natural_spectrum_reset/config.json; Cycle-NCE/46_08_natural_spectrum_reset/full_eval/epoch_0080/summary.json; Cycle-NCE/46_08_natural_spectrum_reset/logs/training_20260406_090130.csv","Opened top-level follow-up outside Cycle-NCE/46. Has config, epoch 40/80 full_eval summaries and one training log. Retain as lineage evidence.","Cycle-NCE/46_08_natural_spectrum_reset","2026-04-06","opened representative evidence","19","6","present","present","1","0","0","","retain evidence"
"Cycle-NCE 46_09 real holy grail","real holy-grail follow-up","latent / style transfer","","","","","","Cycle-NCE/46_09_real_holy_grail/logs/training_20260406_102104.csv","Opened log manually. First epochs show epoch_time_sec 42.41 then about 30s, samples_per_sec rising to about 342. Has config and full_eval evidence. No local checkpoint.","Cycle-NCE/46_09_real_holy_grail","2026-04-06","opened representative log","13","4","present","present","1","0","0","epoch_time_sec 30.026 at epoch 2 in opened log","retain evidence"
"Cycle-NCE 46_in-idt","identity/in-idt follow-up","latent / style transfer","","","","","","Cycle-NCE/46_in-idt/config.json; Cycle-NCE/46_in-idt/full_eval/epoch_0040/summary.json; Cycle-NCE/46_in-idt/logs/training_20260406_112306.csv","Opened as top-level 46 sibling. Has config/full_eval/log evidence, no ckpt. Keep as ablation record.","Cycle-NCE/46_in-idt","2026-04-06","opened representative evidence","13","4","present","present","1","0","0","","retain evidence"
"Cycle-NCE 46_repulse","repulsive-loss follow-up","latent / style transfer","","","","","","Cycle-NCE/46_repulse/config.json; Cycle-NCE/46_repulse/full_eval/epoch_0040/summary.json; Cycle-NCE/46_repulse/logs/training_20260406_133019.csv","Opened as top-level 46 sibling. Multiple logs and full_eval evidence. No local ckpt.","Cycle-NCE/46_repulse","2026-04-06","opened representative evidence","15","4","present","present","3","0","0","","retain evidence"
"Cycle-NCE 46_splash","splash/repulsive variant","latent / style transfer","","","","","","Cycle-NCE/46_splash/logs/training_20260406_185348.csv","Opened log manually. Header includes repulsive column; epochs after warmup around 24.5s with samples_per_sec about 418. Has config and epoch_0040 full_eval. No checkpoint.","Cycle-NCE/46_splash","2026-04-06","opened representative log","10","3","present","present","1","0","0","epoch_time_sec 24.50365686416626 at epoch 2 in opened log","retain evidence"
"Ablate43","17 architecture/loss ablations","latent / style transfer","49653.763","summed epoch_time_sec across opened training_*.csv in family","","","","Cycle-NCE/Ablate43; Cycle-NCE/Ablate43/Ablate43_S01_Baseline_Gold/logs/training_20260402_221747.csv","Opened child list and representative baseline log. 17 child experiments, each with config/full_eval/log pattern. No local checkpoint files. Strong ablation evidence.","Cycle-NCE/Ablate43","2026-04-02 to 2026-04-03","opened child list plus representative log","269","109","many","many","17","0","0","representative epoch_time_sec about 50-65s after warmup","retain evidence"
