"remote_root","exp_dir","total_mb","weight_count","weight_mb","docs_hit_count","master_log_hit_count","review_doc_hit_count","paper_hit_count","summary_count","config_exists","training_csv_count","action","deletion_scope","reason","weight_names","summary_metrics","citation_hit_files","internal_evidence_source","citation_source"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","418.435","3","201.779","3","0","0","0","3","True","2","keep_current_aaai2027_packet","none","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up","epoch_0001.pt;epoch_0002.pt;epoch_0003.pt","epoch_0001:clip=0.693;lpips=0.356;wall=97.276 | epoch_0002:clip=0.692;lpips=0.365;wall=95.334 | epoch_0003:clip=0.691;lpips=0.350;wall=95.555","docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_launch_manifest_20260603.md;docs\experiments\aaai2027_experiment_logging_contract_20260603.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","418.719","3","201.779","2","0","0","0","3","True","2","keep_current_aaai2027_packet","none","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up","epoch_0001.pt;epoch_0002.pt;epoch_0003.pt","epoch_0001:clip=0.693;lpips=0.362;wall=95.401 | epoch_0002:clip=0.693;lpips=0.372;wall=95.285 | epoch_0003:clip=0.691;lpips=0.355;wall=100.001","docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_launch_manifest_20260603.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","415.696","3","201.779","2","0","0","0","3","True","2","keep_current_aaai2027_packet","none","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up","epoch_0001.pt;epoch_0002.pt;epoch_0003.pt","epoch_0001:clip=0.700;lpips=0.517;wall=96.969 | epoch_0002:clip=0.697;lpips=0.548;wall=95.339 | epoch_0003:clip=0.699;lpips=0.520;wall=96.254","docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\repaired_endpoint_metric_launch_manifest_20260603.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_huber_seed42_b44","428.515","3","201.779","3","0","0","0","3","True","2","keep_current_aaai2027_packet","none","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up","epoch_0001.pt;epoch_0002.pt;epoch_0003.pt","epoch_0001:clip=0.696;lpips=0.332;wall=97.686 | epoch_0002:clip=0.699;lpips=0.356;wall=95.699 | epoch_0003:clip=0.696;lpips=0.341;wall=95.273","docs\experiments\2026-06-03-flow-loss-metric-ablation\config_registry.csv;docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-remote-3060-readiness-audit.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_l1_seed42_b44","430.316","3","201.779","3","0","0","0","3","True","2","keep_current_aaai2027_packet","none","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up","epoch_0001.pt;epoch_0002.pt;epoch_0003.pt","epoch_0001:clip=0.696;lpips=0.331;wall=96.312 | epoch_0002:clip=0.699;lpips=0.361;wall=95.579 | epoch_0003:clip=0.696;lpips=0.342;wall=95.318","docs\experiments\2026-06-03-flow-loss-metric-ablation\config_registry.csv;docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-remote-3060-readiness-audit.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_flow_loss_h_base_mse_seed42_b44","430.287","3","201.779","3","0","0","0","3","True","1","keep_current_aaai2027_packet","none","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up","epoch_0001.pt;epoch_0002.pt;epoch_0003.pt","epoch_0001:clip=0.696;lpips=0.331;wall=41.556 | epoch_0002:clip=0.699;lpips=0.359;wall=94.714 | epoch_0003:clip=0.696;lpips=0.342;wall=94.297","docs\experiments\2026-06-03-flow-loss-metric-ablation\config_registry.csv;docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-remote-3060-readiness-audit.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_execution_alignment_l_e1","0.110","0","0.000","3","1","0","0","1","False","0","keep_current_aaai2027_packet","none","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up","","aaai2027_tokenizer_execution_alignment_l_e1:clip=;lpips=;wall=","docs\experiments\2026-06-03-tokenizer-execution-alignment-l-family\launch_manifest_20260603.md;docs\experiments\2026-06-03-tokenizer-execution-alignment-l-family\README.md;docs\experiments\aaai2027_master_experiment_log.csv","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","401.805","3","169.846","0","0","0","0","3","True","1","keep_current_aaai2027_packet","none","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up","epoch_0001.pt;epoch_0002.pt;epoch_0003.pt","epoch_0001:clip=0.696;lpips=0.322;wall=21.335 | epoch_0002:clip=0.692;lpips=0.329;wall=87.738 | epoch_0003:clip=0.696;lpips=0.335;wall=87.606","","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","313.518","3","70.697","0","0","0","0","3","True","1","keep_current_aaai2027_packet","none","current aaai2027 or tokenizer-clean formal packet; do not delete before packet-specific policy even if current docs have not caught up","epoch_0001.pt;epoch_0002.pt;epoch_0003.pt","epoch_0001:clip=0.690;lpips=0.319;wall=93.352 | epoch_0002:clip=0.691;lpips=0.320;wall=151.641 | epoch_0003:clip=0.691;lpips=0.320;wall=151.239","","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","ablation_destructive_7epoch","4.538","0","0.000","9","0","0","0","12","False","12","keep_cited_until_citation_migrated","none","referenced by docs/reviews/master log/paper-facing files; TokenizerClean exp-surface policy says cited exp paths stay in place","","epoch_0007:clip=0.713;lpips=0.453;wall= | epoch_0007:clip=0.665;lpips=0.298;wall= | epoch_0007:clip=0.702;lpips=0.467;wall= | epoch_0007:clip=0.713;lpips=0.452;wall= | epoch_0007:clip=0.723;lpips=0.632;wall= | epoch_0007:clip=0.690;lpips=0.359;wall= | epoch_0007:clip=0.713;lpips=0.453;wall= | epoch_0007:clip=0.706;lpips=0.451;wall= | epoch_0007:clip=0.713;lpips=0.452;wall= | epoch_0007:clip=0.713;lpips=0.453;wall= | epoch_0007:clip=0.696;lpips=0.568;wall= | epoch_0007:clip=0.713;lpips=0.452;wall=","docs\experiments\2026-05-16-root-directory-audit.md;docs\experiments\2026-06-03-exp-surface-classification.md;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json;docs\experiments\comparison_20260602\scatter_points.csv;docs\maths\FULL_EVIDENCE_ANALYSIS_2026-05-16.md;docs\maths\REFLECTIONS.md;docs\repro_report_zh\02_ʵ��������������.md;docs\repro_report_zh\03_�����븴���嵥.md","manual_remote_tokenizerclean_exp_internal_evidence_20260605.csv","manual_remote_tokenizerclean_exp_citation_graph_all_20260605.csv"
