"path","scan_scope","file_count","weight_count","weight_mb","category","dataset_or_setting","evidence_value","cleanup_decision","note"
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_baseline_vlen004","topdir_recursive","20","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Smoke baseline with full_eval/logs/src/config; no weights."
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_variant_a_class_prototypes_b8_vlen001","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Smoke variant A; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_variant_b_global_vq_b8_vlen001","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Smoke variant B; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_variant_c_content_guided_spatial_b8_vlen001","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Smoke variant C; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_variant_d_vq_content_guided_b8_vlen001","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Smoke variant D; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_variant_e_latent_prototype_ot_queue_b8_vlen001","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Smoke variant E; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_variant_i_dual_mix_local","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Local smoke variant I; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_variant_j_aux_hard_swd_local","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Local smoke variant J; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_variant_k_content_adaptive_local","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Local smoke variant K; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_512_ema_variant_m_style_gated_local_windows","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Windows local smoke variant M; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_profile_probe_b8_vlen001","topdir_recursive","16","0","0","smoke/profile","Distinct5-512","low","freeze/no delete needed","Profile probe; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_variant_a_latent_init","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Latent-init smoke A; logs/src/config only."
"SchrodingerBridge/exp/_smoke_distinct5_variant_b_latent_init","topdir_recursive","16","0","0","smoke","Distinct5-512","low","freeze/no delete needed","Latent-init smoke B; logs/src/config only."
"SchrodingerBridge/exp/ablation_destructive_7epoch","topdir_recursive","163","0","0","formal_ablation","legacy strict750","high","keep","Destructive ablation table evidence; configs/full_eval/combined summaries."
"SchrodingerBridge/exp/analysis","topdir_recursive","225","0","0","analysis","mixed SchrodingerBridge","medium","keep","Derived current_experiment_summary packets; no weights."
"SchrodingerBridge/exp/armored_breakthrough_proper","topdir_recursive","4","0","0","legacy_config_probe","legacy","low","keep/freeze","Only config variants; no runtime payload."
"SchrodingerBridge/exp/code_reset_full8","topdir_recursive","28","0","0","code_reset_probe","legacy/WikiArt","medium","keep/freeze","operator_tokenizer_full8 probe output; no weights."
"SchrodingerBridge/exp/configs","topdir_recursive","933","0","0","historical_sweep_configs","legacy/strict750","medium","keep/archive later","Contains sweep config/eval surfaces; no weights."
"SchrodingerBridge/exp/decision_tree_clip_style","topdir_recursive","3","0","0","analysis","legacy","medium","keep","DINO/CLIP decision tree CSVs."
"SchrodingerBridge/exp/diagnostics","topdir_recursive","6824","0","0","diagnostics","mixed","medium","keep/freeze","Large diagnostic/eval sanity surface; no weights."
"SchrodingerBridge/exp/diffeomorphic_tangent_head_sweep","topdir_recursive","2","0","0","sweep_summary","legacy","medium","keep","Tangent head frontier CSV/ledger only."
"SchrodingerBridge/exp/diffeomorphic_tangent_sweep","topdir_recursive","7","0","0","sweep_summary","legacy","medium","keep","Small tangent sweep summaries; no weights."
"SchrodingerBridge/exp/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote","topdir_recursive","753","0","0","synced_remote_eval","Distinct5-512","high","keep","Local synced full_eval evidence for remote F; no local weights."
"SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote","topdir_recursive","1506","0","0","synced_remote_eval","Distinct5-512","high","keep","Local synced full_eval evidence for remote H; no local weights."
"SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote","topdir_recursive","753","0","0","synced_remote_eval","Distinct5-512","high","keep","Local synced full_eval evidence for remote K; no local weights."
"SchrodingerBridge/exp/fisher_operator_consumer_probe","topdir_recursive","15","0","0","fisher_probe","legacy/WikiArt","medium","keep/freeze","Fisher consumer probe summaries; no weights."
"SchrodingerBridge/exp/fisher_operator_tokenizer_probe","topdir_recursive","11","0","0","fisher_probe","legacy/WikiArt","medium","keep/freeze","Fisher tokenizer probe summaries; no weights."
"SchrodingerBridge/exp/fisher_style_backbone_probe","topdir_recursive","3","0","0","fisher_probe","legacy/WikiArt","medium","keep/freeze","Fisher backbone probe summaries; no weights."
"SchrodingerBridge/exp/fisher_style_memory_adapter_probe","topdir_recursive","5","0","0","fisher_probe","legacy/WikiArt","medium","keep/freeze","Fisher memory adapter probe summaries; no weights."
"SchrodingerBridge/exp/frontier","topdir_recursive","12","0","0","frontier_search","legacy/WikiArt","medium","keep/archive later","Frontier decision tree and style-tree summaries; no weights."
"SchrodingerBridge/exp/inference","topdir_recursive","8650","0","0","inference_sweep","legacy/WikiArt","medium","keep/freeze","Large inference parameter sweep evidence; no weights."
"SchrodingerBridge/exp/k2_repro_local","topdir_recursive","244","0","0","local_repro","legacy strict750","medium","keep","K2 local repro ladder logs/evals; no weights."
"SchrodingerBridge/exp/kinetic_sweep","topdir_recursive","141","0","0","phase_space_sweep","legacy strict750","medium","keep/archive later","Kinetic sweep lineage; no weights."
"SchrodingerBridge/exp/legacy","topdir_recursive","184","0","0","legacy_archive","legacy","medium","archive policy","Legacy artifacts/OMF/horse2zebra surfaces; no weights."
"SchrodingerBridge/exp/local_distinct5_512_sdxl_fix_k_b32_e8","topdir_recursive","39","0","0","local_calibration","Distinct5-512","medium","keep logs/summaries","SDXL fix K local run with full_eval/logs/src/config; no weights."
"SchrodingerBridge/exp/local_repro_sadd_38f_8ep_20260528_224707","topdir_recursive","2","0","0","local_repro","legacy strict750","medium","keep","Train stdout/stderr only; no weights."
"SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min","topdir_recursive","15","0","0","local_calibration","Distinct5-512","medium","keep logs/summaries","Local K step2min logs/src/config; no weights."
"SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync","topdir_recursive","767","0","0","cleaned_calibration","Distinct5-512","medium","keep evidence","Generation-only timed evidence; checkpoint cleanup target remains clean."
"SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_v160","topdir_recursive","15","0","0","local_calibration","Distinct5-512","medium","keep logs/summaries","Local K v160 logs/src/config; no weights."
"SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_v350","topdir_recursive","768","0","0","local_calibration","Distinct5-512","medium","keep evidence","Full_eval and generation-only step 350 evidence; no weights."
"SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_stepcalib","topdir_recursive","15","0","0","local_calibration","Distinct5-512","medium","keep logs/summaries","Step calibration logs/src/config; no weights."
"SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b32_e8","topdir_recursive","15","0","0","local_calibration","Distinct5-512","medium","keep logs/summaries","Local K b32 e8 logs/src/config; no weights."
"SchrodingerBridge/exp/local_wsl_wikiart512_carrier_gate_from_hist_e3","topdir_recursive","15","0","0","wikiart_probe","WikiArt512-5style","medium","keep logs/summaries","Carrier gate continuation from hist; logs/src/config only."
"SchrodingerBridge/exp/local_wsl_wikiart512_execution_budget_from_hist_e1","topdir_recursive","15","0","0","wikiart_probe","WikiArt512-5style","medium","keep logs/summaries","Execution budget continuation; logs/src/config only."
"SchrodingerBridge/exp/local_wsl_wikiart512_full_b32_e8","topdir_recursive","16","0","0","wikiart_training_log","WikiArt512-5style","medium","keep logs/summaries","Earlier local full b32 run logs/src/config/stdout; no weights."
"SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8","topdir_recursive","42","8","260.554","formal_timing_anchor","WikiArt512-5style","high","keep","Formal WikiArt512 hist run with epoch_0001..0008 weights and full_eval timings."
"SchrodingerBridge/exp/local_wsl_wikiart512_style_injection_delta_div_from_hist_e3","topdir_recursive","15","0","0","wikiart_probe","WikiArt512-5style","medium","keep logs/summaries","Style injection delta-div continuation; logs/src/config only."
"SchrodingerBridge/exp/local_wsl_wikiart512_style_injection_delta_div_w05_from_hist_e3","topdir_recursive","15","0","0","wikiart_probe","WikiArt512-5style","medium","keep logs/summaries","Style injection delta-div w05 continuation; logs/src/config only."
"SchrodingerBridge/exp/local_wsl_wikiart512_style_injection_from_hist_e1","topdir_recursive","15","0","0","wikiart_probe","WikiArt512-5style","medium","keep logs/summaries","Style injection e1 continuation; logs/src/config only."
"SchrodingerBridge/exp/local_wsl_wikiart512_style_injection_from_hist_e3","topdir_recursive","15","0","0","wikiart_probe","WikiArt512-5style","medium","keep logs/summaries","Style injection e3 continuation; logs/src/config only."
"SchrodingerBridge/exp/manual_k1_k2_8epoch","topdir_recursive","20","0","0","manual_legacy_repro","legacy strict750","medium","keep","Manual K1/K2 category-weight effects evidence; no weights."
"SchrodingerBridge/exp/memory_contentdir_backbone_probe","topdir_recursive","9","0","0","memory_probe","legacy/WikiArt","medium","keep/freeze","Memory content-direction backbone probe; no weights."
