"policy_action","exp_dir","resolved_scope","remote_path","media_count","media_mb","summary_like_count","csv_count","weight_count","docs_hit_count","paper_hit_count","manual_open_status","archive_migration_policy","delete_decision","note"
"keep_current_aaai2027_media","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","2253","215.547","3","5","3","3","0","opened_remote_exact_dir","keep full packet in place; optional future archive may tar per-epoch generated images only after owner selects packet and manifest maps summaries, grids, images, csv, and checkpoints","keep_no_delete","Opened remote dir: 3 full_eval summaries, 2253 media, 3 weights. Current/formal packet evidence."
"keep_current_aaai2027_media","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","2253","215.830","3","5","3","2","0","opened_remote_exact_dir","keep full packet in place; optional future archive may tar per-epoch generated images only after owner selects packet and manifest maps summaries, grids, images, csv, and checkpoints","keep_no_delete","Opened remote dir: 3 full_eval summaries, 2253 media, 3 weights. Current/formal packet evidence."
"keep_current_aaai2027_media","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","2253","212.809","3","5","3","2","0","opened_remote_exact_dir","keep full packet in place; optional future archive may tar per-epoch generated images only after owner selects packet and manifest maps summaries, grids, images, csv, and checkpoints","keep_no_delete","Opened remote dir: 3 full_eval summaries, 2253 media, 3 weights. Current/formal packet evidence."
"keep_current_aaai2027_media","aaai2027_flow_loss_h_base_huber_seed42_b44","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_huber_seed42_b44","2253","225.630","3","5","3","3","0","opened_remote_exact_dir","keep full packet in place; optional future archive may tar per-epoch generated images only after owner selects packet and manifest maps summaries, grids, images, csv, and checkpoints","keep_no_delete","Opened remote dir: 3 full_eval summaries, 2253 media, 3 weights. Current/formal packet evidence."
"keep_current_aaai2027_media","aaai2027_flow_loss_h_base_l1_seed42_b44","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_l1_seed42_b44","2253","227.428","3","5","3","3","0","opened_remote_exact_dir","keep full packet in place; optional future archive may tar per-epoch generated images only after owner selects packet and manifest maps summaries, grids, images, csv, and checkpoints","keep_no_delete","Opened remote dir: 3 full_eval summaries, 2253 media, 3 weights. Current/formal packet evidence."
"keep_current_aaai2027_media","aaai2027_flow_loss_h_base_mse_seed42_b44","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_flow_loss_h_base_mse_seed42_b44","2253","227.345","3","4","3","3","0","opened_remote_exact_dir","keep full packet in place; optional future archive may tar per-epoch generated images only after owner selects packet and manifest maps summaries, grids, images, csv, and checkpoints","keep_no_delete","Opened remote dir: 3 full_eval summaries, 2253 media, 3 weights. Current/formal packet evidence."
"keep_current_aaai2027_media","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","2253","230.773","3","4","3","0","0","opened_remote_exact_dir","keep full packet in place; optional future archive may tar per-epoch generated images only after owner selects packet and manifest maps summaries, grids, images, csv, and checkpoints","keep_no_delete","Opened remote dir: 3 full_eval summaries, 2253 media, 3 weights. Current TokenizerClean packet despite zero citation hits in current graph."
"keep_current_aaai2027_media","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","2253","241.638","3","4","3","0","0","opened_remote_exact_dir","keep full packet in place; optional future archive may tar per-epoch generated images only after owner selects packet and manifest maps summaries, grids, images, csv, and checkpoints","keep_no_delete","Opened remote dir: 3 full_eval summaries, 2253 media, 3 weights. Current TokenizerClean packet despite zero citation hits in current graph."
"keep_cited_media","configs","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/configs","152","342.969","169","224","0","36","0","opened_remote_root_and_exp_dirs","keep exp/configs media in place until citation-to-image archive exists; root configs exists but has zero media and must not be confused with exp/configs","keep_no_delete","Path ambiguity resolved: root configs has 0 media; exp/configs has 152 media, 169 summary-like JSON, and 224 CSV."
"keep_cited_media","diagnostics","exp","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/diagnostics","7723","2868.443","53","52","0","17","3","opened_remote_exact_dir","keep in place; future archive requires paper/doc hit manifest and a curated representative-image set before any generated-image migration","keep_no_delete","Largest retained cited media surface. Opened summaries and grids; has paper hits."
