scope,location,path,period_start,period_end,category,dataset_or_setting,method_family,evidence_opened,key_findings,weight_state,cleanup_decision,next_action,note
local,G,Dataset,2026-03-01,2026-06-03,data_root,"Distinct5-512; legacy256_overfit50; WikiArt512-5style",datasets,"top-level directory listing; timing sidecar inventory","Dataset roots are evidence inputs, not experiment checkpoints.","latent/data artifacts only","keep","none","Do not delete dataset payloads during checkpoint cleanup."
local,G,clip-feats-vitb32,2026-03-09,2026-03-09,feature_cache,legacy256/WikiArt feature cache,CLIP cache,"manual remaining-weight class pass","CLIP feature cache is reused by eval and timing; not an experiment run.","cache weights","keep","none","No cleanup."
local,G,eval_cache,2026-05-10,2026-06-05,eval_cache,eval/pretrained deps,metric deps,"manual remaining-weight class pass","Contains CLIP/VAE/Inception/ArtFID dependencies and feature refs.","cache/pretrained deps","keep","none","No cleanup."
local,G,SchrodingerBridge/docs/experiments,2026-05-10,2026-06-05,evidence_docs,"Distinct5-512; WikiArt512; timing",LANCET/LBM,"2026-06-04-distinct5_same_cost_inventory.csv; 2026-06-02-wikiart512-inference-speed.md; 2026-06-05-timing-sidecar-inventory.md","Primary local timing/evidence surface for paper-facing and audit rows.","docs only","keep","keep extending from opened source files","Do not edit paper tex/pdf."
local,G,SchrodingerBridge/exp/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote,2026-06-02,2026-06-02,synced_eval,Distinct5-512,LANCET/LBM F,"same_cost_inventory; full_eval/epoch_0001/summary.json","F e1 train wall 1.2161 min; eval wall_total 90.8249s; local has synced eval evidence.","no local weights","keep evidence","none","Remote main F compact directory has config/log/src only after prior cleanup."
local,G,SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote,2026-06-02,2026-06-02,synced_eval,Distinct5-512,LANCET/LBM H,"same_cost_inventory; full_eval epoch_0001/epoch_0002 summaries","H e1/e2 train wall 1.2207/2.2656 min; eval wall_total 97.5991/95.9876s.","no local weights","keep evidence","none","Targetwise ArtFID packet still missing from indexed local evidence."
local,G,SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote,2026-06-02,2026-06-02,synced_eval,Distinct5-512,LANCET/LBM K,"same_cost_inventory; full_eval/epoch_0001/summary.json","K e1 train wall 1.2077 min; eval wall_total 101.0315s; current compact style anchor.","no local weights","keep evidence","none","Remote main retains K compact epoch_0001..0003 weights."
local,G,SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8,2026-06-01,2026-06-02,formal_timing_anchor,WikiArt512-5style,LANCET/LBM,"config; epoch_0001..0008.pt listing; logs/training CSV; full_eval_epoch_0008_b2_opt_nocls/summary.json","Formal full-eval anchor: internal wall_total 206.7923s; docs record external wall 210.67s.","8 retained epoch weights","keep","none","Do not delete; this is a current formal timing anchor."
local,G,SchrodingerBridge/exp/timing_20260602,2026-06-02,2026-06-03,timing_runs,WikiArt512-5style,LANCET/LBM,"timing note; run_eval_png750_b12_v2_w8_nogrid/summary.json; from-scratch dirs","Pure generation and from-scratch timing rows: 54.80s/750 PNG external generation; 66.56s from-scratch train.","mostly summaries/images; no current cleanup target","keep cited timing dirs","none","Do not mix generation-only rows with full-eval rows."
local,G,SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync,2026-06-05,2026-06-05,calibration_cleaned,Distinct5-512,LANCET/LBM K,"training CSV; generation_only_step_000350_timed/summary.json; cleanup ledger","Local 350-step calibration retained logs/images/summary; 3 non-mainline weights already deleted.","0 remaining weights","cleaned","none","Calibration evidence only; not paper-facing formal run."
local,G,Related_Works/results/metrics_summary,2026-05-11,2026-05-25,historical_timing_summary,legacy256_overfit50,AdaIN/SaMST/StyleID/CAST/StyTr2,"timing_summary.csv; timing_summary.md","AdaIN v32k/vgg19 are closed train+strict-750 rows; several smoke/failed/unfair rows remain labeled.","no cleanup target","keep","none","Use notes column to avoid promoting smoke rows."
local,G,Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b1_e5_20260603,2026-06-03,2026-06-04,closed_baseline,Distinct5-512,SaMST,"generate.log; eval_epoch5 summary.json; run/log directory listing","e5 train 115.9750 min; generation log has successful 750-image pass with elapsed_sec 323.071.","checkpoints retained","keep","none","Closest closed same-cost baseline waypoint."
local,G,Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b2_e15_20260602,2026-06-02,2026-06-02,closed_baseline,Distinct5-512,SaMST,"eval_epoch15/epoch_0015/summary.json; directory listing","e15 train 347.2567 min in inventory; eval summary wall_total 25.097s is metric reuse, not same-run generation.","checkpoints retained","keep","find same-run pure inference if needed","Same-run-root inference timing remains missing."
local,G,Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139,2026-06-05,2026-06-05,calibration_cleaned,Distinct5-512,SaMAM,"train.log; gpu_samples.csv; sb_eval_step16_timed_r1; cleanup ledger","16-step local calibration WALL_SECONDS=129.58; model params 32.7M.","3 local ckpts deleted in prior pass","cleaned","none","Retain only logs/gpu/eval evidence."
