"verify_run","remote_root","relative_path","expected","exists","pass","reason"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\axis_scale_probe","absent","False","True","orphan probe dir deleted"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\field_budget_release_probe","absent","False","True","orphan probe dir deleted"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\pair_relative_geometry_release_probe","absent","False","True","orphan probe dir deleted"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\diagnostics\axis_scale_probe_n6_summary.json","present","True","True","diagnostics summary retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\diagnostics\axis_scale_color_x150_n6","present","True","True","diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\diagnostics\field_budget_release_release_s100_n6","present","True","True","diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\diagnostics\pairrel_c090_g100_b040_from_spatial_gate_n6","present","True","True","diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\diagnostics\pairrel_c120_g050_b020_from_spatial_gate_n6","present","True","True","diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\tokenizer_t01_carrier_base_b160","present","True","True","trained no-summary payload retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\wikiart_distinct5_ema_lancet_spectralstat_e2_b80","present","True","True","trained no-summary payload retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\wikiart512_ema_spectral_stat_full_e2_from_tok_b48","present","True","True","trained no-summary payload retained"
