"verify_run","remote_root","relative_path","expected","exists","pass","reason"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\Gate.rar","absent","False","True","deleted weight-only archive"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\Attn_48.part1.rar","absent","False","True","deleted weight-only multipart archive"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\Attn_48.part2.rar","absent","False","True","deleted weight-only multipart archive"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\Attn_48.part3.rar","absent","False","True","deleted weight-only multipart archive"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\chess.part1.rar","absent","False","True","deleted weight-only multipart archive"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\chess.part2.rar","absent","False","True","deleted weight-only multipart archive"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\Gate","present","True","True","expanded Gate evidence retained"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\Attn_48","present","True","True","expanded Attn_48 evidence retained"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\chess","present","True","True","expanded chess evidence retained"
"2026-06-05T12:30:07","I:\Github\Latent_Style","experiments.rar","present","True","True","retained due cache mismatch"
"2026-06-05T12:30:07","I:\Github\Latent_Style","Cycle-NCE\45.rar","present","True","True","retained unique historical archive"
