"remote_root","relative_path","archive_mb","matching_evidence","decision","delete_reason","retained_evidence","source"
"I:\Github\Latent_Style","eval_cache.zip","704.467","zip_compare: 28 entries; 27 same-size entries exist in eval_cache; only missing entry is failed CLIP .incomplete already deleted as invalid residue","delete","stale redundant eval_cache archive, valid payload already present, only missing payload is invalid incomplete residue","I:\Github\Latent_Style\eval_cache directory; manual_remote_main_data_cache_archive_residue_cleanup_20260605.csv","manual_remote_archive_provenance_probe_20260605.csv"
"I:\Github\Latent_Style","experiments.rar","8091.026","deep UnRAR provenance listed 343186 file entries; 343177 same-size entries existed and the 9 mismatch rows were later resolved as HF snapshot symlinks whose blob targets match archive entry sizes","deleted_after_followup_symlink_target_resolution","Resolved duplicate archive: no unique payload remained after symlink target audit","I:\Github\Latent_Style\experiments directory retained; all 9 symlink targets post-delete verified","manual_remote_archive_provenance_probe_20260605.csv; manual_remote_rar_provenance_deep_20260605.csv; manual_remote_experiments_rar_symlink_targets_20260605.csv; cleanup/manual_remote_experiments_rar_resolved_duplicate_cleanup_20260605.csv; manual_remote_experiments_rar_resolved_duplicate_post_delete_verify_20260605.csv"
"I:\Github\Latent_Style","Cycle-NCE\Gate.rar","3384.032","deep UnRAR provenance listed 72520 file entries; 72376 nonweight entries exist same-size; only 144 old weight entries are unique","deleted_after_deep_rar_provenance","weight-only archive: expanded nonweight evidence retained, archive only preserved old checkpoint/tokenizer weights","Cycle-NCE\Gate directory","manual_remote_archive_provenance_probe_20260605.csv; manual_remote_rar_provenance_deep_20260605.csv; cleanup/manual_remote_rar_weight_only_archive_cleanup_20260605.csv"
"I:\Github\Latent_Style","Cycle-NCE\1-decoder-patch5-15_eAzEC.zip","2078.795","zip_compare: 1514 entries; 1510 same-size entries exist; 4 missing entries are epoch_0020.pt/0030.pt/0040.pt/0060.pt old checkpoint weights","delete","archive mostly duplicates existing nonweight outputs and otherwise only preserves old legacy checkpoint weights that are not mainline evidence","existing experiments\1-decoder-patch5-15 nonweight outputs; final_master_experiments.csv; timeline evidence","manual_remote_archive_provenance_probe_20260605.csv"
"I:\Github\Latent_Style","Cycle-NCE\Attn_48.part1.rar","800.000","deep UnRAR provenance for Attn_48 multipart archive listed 21176 file entries; 21135 nonweight entries exist same-size; only 41 old weight entries are unique","deleted_after_deep_rar_provenance","weight-only multipart archive: expanded nonweight evidence retained, archive only preserved old checkpoint/tokenizer weights","Cycle-NCE\Attn_48 directory","manual_remote_archive_provenance_probe_20260605.csv; manual_remote_rar_provenance_deep_20260605.csv; cleanup/manual_remote_rar_weight_only_archive_cleanup_20260605.csv"
"I:\Github\Latent_Style","Cycle-NCE\Attn_48.part2.rar","800.000","deep UnRAR provenance for Attn_48 multipart archive listed 21176 file entries; 21135 nonweight entries exist same-size; only 41 old weight entries are unique","deleted_after_deep_rar_provenance","weight-only multipart archive: expanded nonweight evidence retained, archive only preserved old checkpoint/tokenizer weights","Cycle-NCE\Attn_48 directory","manual_remote_archive_provenance_probe_20260605.csv; manual_remote_rar_provenance_deep_20260605.csv; cleanup/manual_remote_rar_weight_only_archive_cleanup_20260605.csv"
"I:\Github\Latent_Style","Cycle-NCE\Attn_48.part3.rar","375.113","deep UnRAR provenance for Attn_48 multipart archive listed 21176 file entries; 21135 nonweight entries exist same-size; only 41 old weight entries are unique","deleted_after_deep_rar_provenance","weight-only multipart archive: expanded nonweight evidence retained, archive only preserved old checkpoint/tokenizer weights","Cycle-NCE\Attn_48 directory","manual_remote_archive_provenance_probe_20260605.csv; manual_remote_rar_provenance_deep_20260605.csv; cleanup/manual_remote_rar_weight_only_archive_cleanup_20260605.csv"
"I:\Github\Latent_Style","Cycle-NCE\chess.part1.rar","800.000","deep UnRAR provenance for chess multipart archive listed 21171 file entries; 21132 nonweight entries exist same-size; only 39 old weight entries are unique","deleted_after_deep_rar_provenance","weight-only multipart archive: expanded nonweight evidence retained, archive only preserved old checkpoint/tokenizer weights","Cycle-NCE\chess directory","manual_remote_archive_provenance_probe_20260605.csv; manual_remote_rar_provenance_deep_20260605.csv; cleanup/manual_remote_rar_weight_only_archive_cleanup_20260605.csv"
"I:\Github\Latent_Style","Cycle-NCE\chess.part2.rar","394.239","deep UnRAR provenance for chess multipart archive listed 21171 file entries; 21132 nonweight entries exist same-size; only 39 old weight entries are unique","deleted_after_deep_rar_provenance","weight-only multipart archive: expanded nonweight evidence retained, archive only preserved old checkpoint/tokenizer weights","Cycle-NCE\chess directory","manual_remote_archive_provenance_probe_20260605.csv; manual_remote_rar_provenance_deep_20260605.csv; cleanup/manual_remote_rar_weight_only_archive_cleanup_20260605.csv"
"I:\Github\Latent_Style","Cycle-NCE\45.rar","507.452","SHA256 matched deleted Cycle-NCE\src\45.rar; deep UnRAR provenance found 6096 file entries do not match expanded current dirs under checked roots; later direct review opened configs, summaries, metrics, and run counts","keep_unique_archive_payload_after_manual_review","","root archive retained because it is the only current container for unique nonweight evidence and no expanded Cycle-NCE\45 directory exists","manual_remote_archive_provenance_probe_20260605.csv; manual_remote_rar_provenance_deep_20260605.csv; MANUAL_REMOTE_CYCLE_NCE_45_RAR_REVIEW_20260605.md; manual_remote_cycle_nce_45_rar_policy_20260605.csv"
