"item","current_count","source_path","readme_status","note"
"final_master_experiments","22629","EXPERIMENT_ARCHAEOLOGY/final_master_experiments.csv","matches README final experiment rows","Final master remains the broad experiment row table."
"final_timeline","7829","EXPERIMENT_ARCHAEOLOGY/final_timeline.csv","matches README timeline event count where referenced","Chronological event index."
"conclusions_by_dataset","25","EXPERIMENT_ARCHAEOLOGY/conclusions_by_dataset.csv","dataset counts section still present","One row per dataset/setting family conclusion."
"timing_quality_master","1093","EXPERIMENT_ARCHAEOLOGY/timing_quality_master_20260605.csv","not represented by old single Timing rows line","Archaeology timing overlay with quality labels."
"docs_timing_master","419","SchrodingerBridge/docs/timing/training_inference_timing_master.csv","not represented by old single Timing rows line","Existing docs timing master; not edited by archaeology sidecar passes."
"timing_missing_docs_source_open","26","EXPERIMENT_ARCHAEOLOGY/timing_candidate_missing_docs_source_open_20260605.csv","README entry present","26/26 missing candidate rows source-opened."
"tokenizerclean_media_policy","26","EXPERIMENT_ARCHAEOLOGY/manual_remote_tokenizerclean_cited_current_media_archive_policy_20260605.csv","README entry present","All retained cited/current media dirs are keep_no_delete pending archive migration."
"tokenizerclean_no_summary_owner","7","EXPERIMENT_ARCHAEOLOGY/manual_remote_tokenizerclean_trained_no_summary_owner_decision_20260605.csv","README entry present","All retained trained no-summary payloads are delete_whitelist=no."
"cycle_nce_45rar_extraction_policy","8","EXPERIMENT_ARCHAEOLOGY/manual_remote_cycle_nce_45_rar_curated_extraction_policy_20260605.csv","README entry present","45.rar entry classes split into extract/retain/delete-after-extraction policy."
"current_status_requirements","8","EXPERIMENT_ARCHAEOLOGY/archaeology_current_status_requirements_20260605.csv","README entry present","Current status report is newest readable entry point."
