"source_row","method","dataset_or_setting","resolution","train_time_value","train_time_unit","infer_time_value","infer_time_unit","params_m","source_path","source_open_status","train_source_verified","infer_source_verified","metrics_verified","docs_promotion_decision","claim_use_after_source_open","note"
"1","LANCET/LBM F e1","Distinct5-512","512","1.2161","min","90.82485276100124","s","3.91","SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote/full_eval/epoch_0001/summary.json","opened","opened inventory row F_e1; train wall is inventory-backed","opened summary timings_sec.wall_total=90.82485276100124","analysis all_pairs_overview clip_style=0.696914507508278 content_lpips=0.31864464036; inventory targetwise ArtFID full=122.6325470096","promote_candidate_with_caveat","claim_support_with_caveat","Current compact LPIPS anchor. Infer field is full_eval wall_total, not pure generation."
"2","LANCET/LBM H e1","Distinct5-512","512","1.2207","min","97.59912403999988","s","3.91","SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0001/summary.json","opened","opened inventory row H_e1; train wall is inventory-backed","opened summary timings_sec.wall_total=97.59912403999988","all-pairs clip_style=0.6973625582059225 content_lpips=0.32133288292; targetwise ArtFID packet not retained in current local index","promote_only_if_owner_accepts_missing_artfid_packet","candidate_support_with_artfid_gap","Closed metrics but no retained indexed targetwise ArtFID packet. Keep caveat visible if reused."
"3","LANCET/LBM H e2","Distinct5-512","512","2.2656","min","95.98756044499896","s","3.91","SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0002/summary.json","opened","opened inventory row H_e2; train wall is inventory-backed","opened summary timings_sec.wall_total=95.98756044499896","all-pairs clip_style=0.6993825696706771 content_lpips=0.34840661536; targetwise ArtFID packet not retained in current local index","promote_only_if_owner_accepts_missing_artfid_packet","candidate_support_with_artfid_gap","Balanced H trajectory point. Keep caveat visible because targetwise ArtFID packet is not indexed."
"4","LANCET/LBM K e1","Distinct5-512","512","1.2077","min","101.0314540090003","s","3.91","SchrodingerBridge/docs/experiments/2026-06-04-distinct5_same_cost_inventory.csv; SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/full_eval/epoch_0001/summary.json","opened","opened inventory row K_e1; train wall is inventory-backed","opened summary timings_sec.wall_total=101.0314540090003","all-pairs clip_style=0.7009949656327565 content_lpips=0.36229389774666665; inventory targetwise ArtFID full=157.1687499148","promote_candidate_with_caveat","claim_support_with_caveat","Current compact style anchor. Infer field is full_eval wall_total, not pure generation."
"8","SaMST e5","Distinct5-512","512","115.9750","min","323.071","s","","Related_Works/baseline_pipeline/results/samst_distinct5_512_real_b1_e5_20260603/eval_bundle/eval_epoch5/generate.log; SchrodingerBridge/docs/experiments/distinct5_512_20260602/baseline_packet_status_20260604/packet_status.json","opened","opened packet_status train_wall_seconds=6958.502907 and inventory train_wall_min=115.9750","opened generate.log total=750 elapsed_sec=323.071; packet_status inference_wall_seconds=323.071 inference_ms_per_img=430.76133333333337","packet_status full clip_style=0.7275811868111293 content_lpips=0.62706939536 targetwise_artfid=432.05110832151115","promote_candidate_with_caveat","claim_support_with_caveat","Closed Distinct5 baseline row. Infer is packet-bound generation wall for 750 images."
"24","LANCET/LBM WikiArt512 epoch8 eval","WikiArt512-5style","512","","","210.67","s","","SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md; SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8/full_eval_epoch_0008_b2_opt_nocls/summary.json","opened","no train timing claimed for this row","opened timing note external full-eval wall=210.67s; opened summary timings_sec.wall_total=206.792325715","summary count=750; this row is timing-first","promote_timing_note_with_caveat","claim_support_with_caveat","External wall 210.67s and internal wall 206.792325715s are full eval, not pure generation."
"43","LANCET/LBM local ckptsync K step350","Distinct5-512 EMA latents","512","100.500922","s","78.31742824899999","s","","SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync/logs/training_20260605_061543.csv; SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_ckptsync/generation_only_step_000350_timed/summary.json; EXPERIMENT_ARCHAEOLOGY/cleanup/manual_deleted_checkpoints_20260605.csv","opened","opened training CSV rows epoch_time_sec=90.04354214668274 and 10.457379579544067, total=100.500922s","opened generation-only summary mode=generation_only generated_count=750 timings_sec.wall_total=78.31742824899999","metrics intentionally skipped; opened images dir and counted 750 PNGs","retain_archaeology_only_nonmainline_calibration","audit_only","Local 2-epoch/350-step calibration. Cleanup ledger confirms epoch_0001.pt, epoch_0002.pt, and step_000350.pt deleted."
"44","LANCET/LBM WikiArt512 epoch8 generation-only","WikiArt512-5style","512","","","54.80","s","","SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md; SchrodingerBridge/exp/timing_20260602/run_eval_png750_b12_v2_w8_nogrid/summary.json","opened","no train timing claimed for this row","opened timing note external wall=54.80s; summary mode=generation_only generated_count=750 timings_sec.wall_total=46.791428548","metrics intentionally skipped; opened images dir and counted 750 PNGs","promote_timing_note_with_caveat","claim_support_with_caveat","Pure 750 PNG generation-only timing. Use external wall 54.80s for wall-clock claim, internal wall_total=46.791428548s as instrumented detail."
"45","LANCET/LBM WikiArt512 from-scratch e8","WikiArt512-5style","512","66.56","s","55.16","s","","SchrodingerBridge/docs/experiments/2026-06-02-wikiart512-inference-speed.md; SchrodingerBridge/exp/timing_20260602/lancet_from_scratch_b32_e8/logs/training_20260602_015002.csv; SchrodingerBridge/exp/timing_20260602/lancet_from_scratch_e8_generate750/summary.json; SchrodingerBridge/exp/timing_20260602/lancet_from_scratch_e8_full_eval_direct750/summary.json","opened","opened timing note train wall=66.56s; opened training CSV 8 epoch rows but no wall-time column","opened timing note generation-only wall=55.16s; opened generate750 summary and counted 750 PNGs; direct full-eval summary has no timing field","direct full-eval summary all-pairs clip_style=0.7738142497539521 content_lpips=0.3940907720933333; note records direct full eval wall=106.62s","promote_timing_note_with_caveat","claim_support_with_caveat","From-scratch timing is note-backed external wall. Generation-only infer value is 55.16s; direct full eval is separate 106.62s."
"50","LANCET/LBM endpoint-metric Huber e1","Distinct5-512 TokenizerClean audit","512","291.682382106781","s","97.27645479800049","s","6.09","I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44/logs/training_20260603_033401.csv; I:/Github/Latent_Style_TokenizerClean/SchrodingerBridge/exp/aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44/full_eval/epoch_0001/summary.json","opened_remote_exact_path","opened remote training CSV rows=3 sum(epoch_time_sec)=291.682382106781","opened remote summary timings_sec.wall_total=97.27645479800049","analysis all_pairs_overview clip_style=0.6928812634547552 content_lpips=0.35569425093333334","owner_review_before_docs_promotion","current_audit_evidence_pending_owner","Completed repaired endpoint-metric packet. Ignore 2026-06-04 empty rerun CSV."
