"timestamp","scope","path","media_count","total_mb","evidence_opened","duplicate_check","owner_class","decision","delete_whitelist","reason","remaining_gap"
"2026-06-05Tcurrent","local_generated_media_pass4","SchrodingerBridge\exp\local_wsl_distinct5_512_ema_k_b16_step2min_v350\full_eval\step_000350","751","67.668","parent config.json; logs dir; full_eval/step_000350 summary.json; metrics.csv with 750 rows; summary_grid.png; images dir; docs/timing training_inference_timing_master.csv row 418; docs/timing distinct5_same_cost_20260605.csv; docs/experiments/2026-06-05-distinct5-lbm-same-cost-calibration.md; cleanup/local_deep_cleanup_deleted_20260605.csv","not_needed","same_cost_distinct5_metric_timing_packet","retain","no","Closed Distinct5 same-cost LBM packet. Summary analysis has style_transfer clip_style=0.6629465200006962 and content_lpips=0.33768019311666664, wall_total=42.727744409000024s, and metrics.csv has 750 rows. Existing cleanup already deleted non-mainline local weights while retaining this evidence packet.","No deletion. Continue only if future archive migration preserves summary, metrics, grid, images, timing docs, and cleanup ledger references."
"2026-06-05Tcurrent","local_generated_media_pass4","SchrodingerBridge\external_eval\samst_wikiart5_target_e05_750","751","53.338","summary.json; metrics.csv with 750 rows; summary_grid.png; images dir; external_eval parent listing; Related_Works/baseline_pipeline/scripts/eval_samst_checkpoint_curve.py source reference; docs/timing SaMST WikiArt rows for curve evidence","not_needed","samst_wikiart512_external_eval_quality_packet","retain","no","SaMST WikiArt512 target e05 reuse-eval packet. Summary has no timings_sec, but analysis all_pairs clip_style=0.7734629373550416 and content_lpips=0.3846716252266667. It is quality evidence, not timing evidence and not disposable media.","No in-dir training or inference time; do not promote timing from this packet."
"2026-06-05Tcurrent","local_generated_media_pass4","SchrodingerBridge\external_eval\samst_wikiart5_target_e10_750","751","53.192","summary.json; metrics.csv with 750 rows; summary_grid.png; images dir; external_eval parent listing; Related_Works/baseline_pipeline/scripts/eval_samst_checkpoint_curve.py source reference; docs/timing SaMST WikiArt rows for curve evidence","not_needed","samst_wikiart512_external_eval_quality_packet","retain","no","SaMST WikiArt512 target e10 reuse-eval packet. Summary has no timings_sec, but analysis all_pairs clip_style=0.772632247686386 and content_lpips=0.3812545532. It is quality evidence, not timing evidence and not disposable media.","No in-dir training or inference time; do not promote timing from this packet."
"2026-06-05Tcurrent","local_generated_media_pass4","SchrodingerBridge\external_eval\samst_wikiart5_target_e15_750","751","53.567","summary.json; metrics.csv with 750 rows; summary_grid.png; images dir; external_eval parent listing; Related_Works/baseline_pipeline/scripts/eval_samst_checkpoint_curve.py source reference; docs/timing SaMST WikiArt rows for curve evidence","not_needed","samst_wikiart512_external_eval_quality_packet","retain","no","SaMST WikiArt512 target e15 reuse-eval packet. Summary has no timings_sec, but analysis all_pairs clip_style=0.7736076447963715 and content_lpips=0.3748157187333333. It is quality evidence, not timing evidence and not disposable media.","No in-dir training or inference time; do not promote timing from this packet."
"2026-06-05Tcurrent","local_generated_media_pass4","SchrodingerBridge\external_eval\samst_wikiart5_target_e15_750_images.zip","0","41.253","opened zip with System.IO.Compression; listed 750 image entries; compared each entry basename and byte length against SchrodingerBridge\external_eval\samst_wikiart5_target_e15_750\images; git ls-files returned no tracked path","zip_entries=750; uncompressed_mb=41.591; missing_or_size_mismatch=0","duplicate_image_archive","delete","yes","The zip is a duplicate packaging of the retained e15 images directory. It contains no summary, metrics, grid, config, or checkpoint data beyond files already retained in the e15 packet.","Post-delete verification must confirm the zip is absent and retained e15 summary, metrics, grid, and 750 images remain."
"2026-06-05Tcurrent","local_generated_media_pass4","exp\highres_eval_local\same_test_eval\samst\images","750","60.660","opened highres_eval_local root; opened same_test_eval/lbm and same_test_eval/samst paired dirs; prior manual_local_root_misc_policy_20260605.csv retained highres generated outputs as qualitative evidence; manual_local_remaining_surface_policy_20260605.csv retained highres root and deleted only duplicated output tar","retained_peer_for_deleted_samst_same_test; SHA256 matched against exp\highres_eval_local\samst_same_test\images for 750 files","highres_qualitative_paired_eval","retain","no","Paired highres SaMST evidence under same_test_eval with LBM sibling. It preserves the retained copy for the duplicate samst_same_test directory and keeps the qualitative highres comparison surface auditable.","No summary/metrics in-dir; owner may later decide whether a curated representative archive is enough."
"2026-06-05Tcurrent","local_generated_media_pass4","exp\highres_eval_local\same_test_eval\lbm\images","750","11.418","opened highres_eval_local root; opened same_test_eval/lbm and same_test_eval/samst paired dirs; prior manual_local_root_misc_policy_20260605.csv retained highres generated outputs as qualitative evidence","not_needed","highres_qualitative_paired_eval","retain","no","Paired highres LBM evidence under same_test_eval. It is needed to interpret the retained SaMST sibling; deleting it would break the local highres qualitative comparison context.","No summary/metrics in-dir; owner may later decide whether a curated representative archive is enough."
"2026-06-05Tcurrent","local_generated_media_pass4","exp\highres_eval_local\samst\images","750","31.533","opened highres_eval_local/samst root; opened nested style outputs; checked samst_ckpts_epoch50.tar; prior post-delete verification retained extracted SaMST output tree and checkpoint tar","compared against same_test_eval/samst/images: same filenames but 150 size mismatches, not a safe duplicate","highres_samst_extracted_output_surface","retain","no","Flattened highres SaMST image surface differs from same_test_eval/samst by byte size and remains tied to the retained extracted output tree plus samst_ckpts_epoch50.tar context. Not enough proof for deletion.","No summary/metrics in-dir; future cleanup needs source/path migration or owner-approved representative archive."
"2026-06-05Tcurrent","local_generated_media_pass4","exp\highres_eval_local\samst_same_test_v2\images","750","47.650","opened highres_eval_local root; opened image filenames and counts; compared to same_test_eval/samst/images","same filenames but 149 size mismatches against retained same_test_eval/samst/images","highres_qualitative_variant","retain_pending_owner","no","v2 highres SaMST outputs are not byte-identical to the retained same_test_eval/samst images. Without summary/metrics or owner selection, deleting now would remove a distinct qualitative variant.","Owner should decide whether v2 remains useful or can be archived/deleted after representative sampling."
"2026-06-05Tcurrent","local_generated_media_pass4","exp\highres_eval_local\samst_same_test","750","60.660","opened directory; only child is images; compared against exp\highres_eval_local\same_test_eval\samst\images; git ls-files returned no tracked path","750/750 SHA256 hashes match retained same_test_eval/samst/images; same filenames, same byte sizes, zero mismatches","duplicate_highres_image_directory","delete","yes","Standalone samst_same_test is a full duplicate of the retained paired same_test_eval/samst/images directory. Retaining the paired copy preserves evidence while removing redundant media.","Post-delete verification must confirm samst_same_test is absent and same_test_eval/samst/images remains with 750 files."
"2026-06-05Tcurrent","local_generated_media_pass4","SchrodingerBridge\exp\diagnostics\seedream_gap_inputs\styleemb_m02_highpass","750","23.681","opened diagnostics parent; opened seedream_gap_inputs dir; opened styleemb_m02_highpass images; opened wikiart512_5style_source_clip_geometry.md; opened wikiart_candidate_style_clip_separability.md; checked prior seedream_gap owner review row","not_needed","seedream_gap_diagnostic_input_candidate","retain_pending_owner","no","Diagnostic input set for Seedream gap investigation. Parent docs show source CLIP geometry and candidate style separability context; the sibling seedream_gap directory was already retained pending owner review. No in-dir summary, but it is not a proven duplicate or orphan.","Owner-level diagnostic usefulness review still needed; no deletion without preserving diagnostic lineage."
