"policy_action","exp_dir","remaining_media_count","remaining_media_mb","remaining_summary_count","remaining_csv_count","weight_count","docs_hit_count","paper_hit_count","reason"
"keep_current_aaai2027_media","aaai2027_endpoint_metric_h_omf_flow_huber_seed42_b44","2253","215.547","3","5","3","3","0","Current/formal aaai2027 packet; visual outputs are part of packet evidence unless packet-specific archive policy is made."
"keep_current_aaai2027_media","aaai2027_endpoint_metric_h_omf_flow_l1_seed42_b44","2253","215.830","3","5","3","2","0","Current/formal aaai2027 packet; visual outputs are part of packet evidence unless packet-specific archive policy is made."
"keep_current_aaai2027_media","aaai2027_endpoint_metric_h_omf_flow_mse_seed42_b44","2253","212.809","3","5","3","2","0","Current/formal aaai2027 packet; visual outputs are part of packet evidence unless packet-specific archive policy is made."
"keep_current_aaai2027_media","aaai2027_flow_loss_h_base_huber_seed42_b44","2253","225.630","3","5","3","3","0","Current/formal aaai2027 packet; visual outputs are part of packet evidence unless packet-specific archive policy is made."
"keep_current_aaai2027_media","aaai2027_flow_loss_h_base_l1_seed42_b44","2253","227.428","3","5","3","3","0","Current/formal aaai2027 packet; visual outputs are part of packet evidence unless packet-specific archive policy is made."
"keep_current_aaai2027_media","aaai2027_flow_loss_h_base_mse_seed42_b44","2253","227.345","3","4","3","3","0","Current/formal aaai2027 packet; visual outputs are part of packet evidence unless packet-specific archive policy is made."
"no_media","aaai2027_tokenizer_execution_alignment_l_e1","0","0.000","1","10","0","3","0","No PNG/JPG/WebP/GIF media files found."
"keep_current_aaai2027_media","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","2253","230.773","3","4","3","0","0","Current/formal aaai2027 packet; visual outputs are part of packet evidence unless packet-specific archive policy is made."
"keep_current_aaai2027_media","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","2253","241.638","3","4","3","0","0","Current/formal aaai2027 packet; visual outputs are part of packet evidence unless packet-specific archive policy is made."
"no_media","ablation_destructive_7epoch","0","0.000","12","64","0","9","0","No PNG/JPG/WebP/GIF media files found."
"no_media","armored_breakthrough_proper","0","0.000","0","0","0","1","0","No PNG/JPG/WebP/GIF media files found."
"no_media","artfid_wikiart5_compare","0","0.000","1","0","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","axis_scale_probe","0","0.000","0","0","6","0","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","configs","152","342.969","144","224","0","36","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","decision_tree_clip_style","0","0.000","0","3","0","1","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","delta_freq_gain","0","0.000","2","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"keep_cited_media","diagnostics","7723","2,868.443","52","52","0","17","3","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","diffeomorphic_tangent_head_sweep","0","0.000","0","1","0","2","0","No PNG/JPG/WebP/GIF media files found."
"no_media","field_budget_release_probe","0","0.000","0","0","2","0","0","No PNG/JPG/WebP/GIF media files found."
"delete_uncited_summary_backed_media","field_scale_probe","0","0.000","4","4","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"keep_cited_media","formal_eval_750","1502","21.727","2","2","0","6","0","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"delete_uncited_summary_backed_media","full_eval_history_backfill_20260601","0","0.000","10","10","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","full_eval_promoted_all5x5","0","0.000","4","4","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delete_uncited_summary_backed_media","full_eval_promoted_all5x5_b2","0","0.000","2","2","0","0","0","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"no_media","kinetic_sweep","0","0.000","9","20","0","4","0","No PNG/JPG/WebP/GIF media files found."
"no_media","launch_logs","0","0.000","0","0","0","0","0","No PNG/JPG/WebP/GIF media files found."
"keep_cited_media","legacy","19","34.226","19","44","0","39","1","Directory is cited by docs/reviews/master/paper; do not delete visual evidence before citation/image archive migration."
"no_media","local_patch_org_content_relative_release_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","local_patch_org_content_relative_release_120b_b80_smoke_b16_2b","0","0.000","0","2","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","local_patch_org_content_relative_release_20b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","local_patch_org_geometry_filter_g003_120b_b48","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","local_patch_org_relative_spatial_rank4_120b_b80","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","local_patch_org_relative_spatial_rank4_120b_b80_smoke_b16_2b","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","local_patch_org_spatial_gate_rank4_g010_q070_120b_b48","0","0.000","0","1","0","0","0","No PNG/JPG/WebP/GIF media files found."
"no_media","manual_k1_k2_8epoch","0","0.000","3","8","0","3","0","No PNG/JPG/WebP/GIF media files found."
