src_style,src_image,safe_path
Early_Renaissance,Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\a4bcf4a4bbbd038a67dad8256fd4c42f474f9f13.jpg
Early_Renaissance,Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\ac344762ae148ed1a9a3a9134345402a0ca4d652.jpg
Early_Renaissance,Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\717eb4c15377954fbf5a7c22fe8569389f824b0a.jpg
Early_Renaissance,Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\ec909feb647df75ae785e6759f872cd1dd062360.jpg
Early_Renaissance,Early_Renaissance__antonello-da-messina_painter-self-portrait.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\5e8218335175a9569ff14996b0a945deed015506.jpg
Early_Renaissance,Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\27652a17187270f6d2e033dddb124d464b8e1742.jpg
Early_Renaissance,Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\fc43926f6b3d303b0a9382d214b0f1715258c075.jpg
Early_Renaissance,Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\f16fe4f83d65b1a7ec9a2813093ac3e976109df3.jpg
Early_Renaissance,Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\be37cb19e2b7551923e23b2308de30378635698b.jpg
Early_Renaissance,Early_Renaissance__carlo-crivelli_piet-1.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\1a4ea4b1e07fd6817890a70926b9b2a1136c6ddb.jpg
Early_Renaissance,Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\9ceb69f184ce01c109c52181a47f161feb4fd4ae.jpg
Early_Renaissance,Early_Renaissance__domenico-ghirlandaio_st-jerome.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\dd93aa04dd5363baadbdc8f94ea209c219192fb4.jpg
Early_Renaissance,Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\7fb451638637acb2960250d5c7d5f0ab6c8baab2.jpg
Early_Renaissance,Early_Renaissance__domenico-ghirlandaio_the-nativity-1.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\9d3596a5066de68dc35a0c2f4caa00aa5cb4e692.jpg
Early_Renaissance,Early_Renaissance__domenico-veneziano_not-detected-269819.jpg,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\dino_source_safe_20260609\Early_Renaissance\6bf9535674aad8502ddab15556935b73044376f9.jpg
