metric,direction,ours_epoch_0007,samst_strict,verdict,reason
MUSIQ,up,49.2059,36.0950,ours,No-reference perceptual quality catches muddy/blurry degradation.
MANIQA,up,0.4057,0.3139,ours,Generated-image perceptual quality favors ours.
DISTS-content,down,0.2477,0.2943,ours,More perceptual structure/content distance than CLIP-content.
HF-Patch-KID,down,4.169393,6.759762,ours,High-frequency patch distribution is closer to real style texture.
FFT slope error,down,0.5473,1.0536,ours,SaMST has more abnormal grain-like spectrum shape.
Denoise chroma delta,down,0.7039,0.9413,ours,SaMST color residual is less stable under mild denoising.
Flat chroma residual,down,0.003358,0.004428,ours,SaMST has more color residue in source-flat regions.
Gram micro style loss,down,0.079837,0.094652,ours,Shallow VGG Gram texture statistics favor ours.
LPIPS-content,down,0.4514,0.4664,ours,Ours is slightly better on perceptual content distance.
EC product,up,0.3928,0.3839,ours,Ours has better CLIP-style x content-coherence trade-off.
CLIP-content,up,0.8086,0.8193,samst,Not suitable for our claim; SaMST preserves semantic layout.
SSIM-Y,up,0.4545,0.6520,samst,Not suitable for artifact claim; favors low-frequency preservation.
Edge-F1,up,0.3110,0.5162,samst,Not suitable alone; boosted by texture-edge recall.
FID,down,235.8124,221.2759,samst,Current distribution metric favors SaMST.
KID,down,0.052433,0.048911,samst,Current distribution metric favors SaMST.
CLIP-FID,down,0.516542,0.485140,samst,Current semantic distribution metric favors SaMST.
Gram macro style loss,down,2.812728,2.563787,samst,Deep Gram statistics favor SaMST.
