name,title,axis,config_path,run_dir,eval_dir,terminal_swd_weight,w_kinetic,semantic_attn_temperature,w_cycle,w_low_freq,low_freq_kernel_size,swd_patch_sizes,notes
g0_golden_pedestal,G0 Golden Pedestal,center,experiments/active/full_dimensional_orthogonal_sweep_20/g0_golden_pedestal.json,./exp/runs/fd20_g0_golden_pedestal,./exp/runs/fd20_g0_golden_pedestal/full_eval,10.0,0.45,0.12,0.2,1.0,5,"[3, 5, 7, 15]","Universe center: damped M2-style base with AdaIN low-frequency anchor and multi-scale [3,5,7,15] SWD pyramid."
g1_micro_only,G1 Micro-Only,patch_scales,experiments/active/full_dimensional_orthogonal_sweep_20/g1_micro_only.json,./exp/runs/fd20_g1_micro_only,./exp/runs/fd20_g1_micro_only/full_eval,10.0,0.45,0.12,0.2,1.0,5,"[1, 3, 5]",Micro-only patch bank to probe the lower bound of SWD receptive field.
g2_macro_only,G2 Macro-Only,patch_scales,experiments/active/full_dimensional_orthogonal_sweep_20/g2_macro_only.json,./exp/runs/fd20_g2_macro_only,./exp/runs/fd20_g2_macro_only/full_eval,10.0,0.45,0.12,0.2,1.0,5,"[9, 15, 21]",Macro-only patch bank to probe the upper bound of SWD receptive field.
g3_bimodal_split,G3 Bimodal Split,patch_scales,experiments/active/full_dimensional_orthogonal_sweep_20/g3_bimodal_split.json,./exp/runs/fd20_g3_bimodal_split,./exp/runs/fd20_g3_bimodal_split/full_eval,10.0,0.45,0.12,0.2,1.0,5,"[3, 25]",Bimodal patch bank with a hollowed-out mid band to test scale discontinuity.
g4_high_tension,G4 High Tension,dynamics,experiments/active/full_dimensional_orthogonal_sweep_20/g4_high_tension.json,./exp/runs/fd20_g4_high_tension,./exp/runs/fd20_g4_high_tension/full_eval,15.0,0.6,0.12,0.2,1.0,5,"[3, 5, 7, 15]",Raise SWD tension and kinetic damping together to test the high-pressure operating ceiling.
g5_low_tension,G5 Low Tension,dynamics,experiments/active/full_dimensional_orthogonal_sweep_20/g5_low_tension.json,./exp/runs/fd20_g5_low_tension,./exp/runs/fd20_g5_low_tension/full_eval,6.0,0.3,0.12,0.2,1.0,5,"[3, 5, 7, 15]",Relax both pull and damping to probe a gentler drift regime.
g6_zero_friction,G6 Zero Friction,dynamics,experiments/active/full_dimensional_orthogonal_sweep_20/g6_zero_friction.json,./exp/runs/fd20_g6_zero_friction,./exp/runs/fd20_g6_zero_friction/full_eval,10.0,0.1,0.12,0.2,1.0,5,"[3, 5, 7, 15]",Keep G0 SWD pressure but collapse kinetic damping toward zero.
g7_sharp_ot,G7 Sharp OT,temperature,experiments/active/full_dimensional_orthogonal_sweep_20/g7_sharp_ot.json,./exp/runs/fd20_g7_sharp_ot,./exp/runs/fd20_g7_sharp_ot/full_eval,10.0,0.45,0.08,0.2,1.0,5,"[3, 5, 7, 15]",Lower semantic attention temperature to 0.08 and test the sharp-routing edge.
g8_soft_ot,G8 Soft OT,temperature,experiments/active/full_dimensional_orthogonal_sweep_20/g8_soft_ot.json,./exp/runs/fd20_g8_soft_ot,./exp/runs/fd20_g8_soft_ot/full_eval,10.0,0.45,0.16,0.2,1.0,5,"[3, 5, 7, 15]",Raise semantic attention temperature to 0.16 and test the over-smoothing edge.
g9_strict_l1,G9 Strict L1,low_freq_kernel,experiments/active/full_dimensional_orthogonal_sweep_20/g9_strict_l1.json,./exp/runs/fd20_g9_strict_l1,./exp/runs/fd20_g9_strict_l1/full_eval,10.0,0.45,0.12,0.2,1.0,3,"[3, 5, 7, 15]",Shrink the low-frequency kernel to 3 and lock more of the mid band to the AdaIN anchor.
g10_loose_l1,G10 Loose L1,low_freq_kernel,experiments/active/full_dimensional_orthogonal_sweep_20/g10_loose_l1.json,./exp/runs/fd20_g10_loose_l1,./exp/runs/fd20_g10_loose_l1/full_eval,10.0,0.45,0.12,0.2,1.0,7,"[3, 5, 7, 15]",Expand the low-frequency kernel to 7 and let more mid-scale structure flow through SWD.
g11_cycle_drop,G11 Cycle Drop,cycle,experiments/active/full_dimensional_orthogonal_sweep_20/g11_cycle_drop.json,./exp/runs/fd20_g11_cycle_drop,./exp/runs/fd20_g11_cycle_drop/full_eval,10.0,0.45,0.12,0.0,1.0,5,"[3, 5, 7, 15]",Remove the cycle penalty and measure whether forward-only damping plus AdaIN is enough.
