dataset,method,label,stage,scope,clip_style,content_lpips,one_minus_lpips,summary_path,note
legacy256_overfit50,LANCET,S-add e8,style-best-stable,full,0.7167235833803812,0.4615265375866667,0.5384734624133334,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0008\summary.json,historical 8-epoch baseline; stronger style among stable 0.45-0.47 LPIPS points
legacy256_overfit50,LANCET,S-add e8,style-best-stable,transfer,0.6925371631979942,0.4711549257833333,0.5288450742166667,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0008\summary.json,historical 8-epoch baseline; stronger style among stable 0.45-0.47 LPIPS points
legacy256_overfit50,LANCET,K1 original e7,content-best-stable,full,0.7161144725879032,0.45141794859999995,0.5485820514,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0007\summary.json,historical stable content point around LPIPS 0.451
legacy256_overfit50,LANCET,K1 original e7,content-best-stable,transfer,0.6910778415699801,0.4608877823166667,0.5391122176833333,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0007\summary.json,historical stable content point around LPIPS 0.451
legacy256_overfit50,LANCET,steps_12,content-best-step-sweep,full,0.716167081952095,0.45140630964000006,0.5485936903599999,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_12\summary.json,step sweep content frontier; nearly identical to K1 original in clip_style but slightly lower LPIPS
legacy256_overfit50,LANCET,steps_12,content-best-step-sweep,transfer,0.6910850862165293,0.4608834577333334,0.5391165422666666,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_12\summary.json,step sweep content frontier; nearly identical to K1 original in clip_style but slightly lower LPIPS
wikiart512_5style,LANCET,local WSL hist b32 e8,style-best-verified,full,0.7922978092034658,0.3550378331343333,0.6449621668656667,G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_hist_b32_e8\full_eval_epoch_0008_b2_opt_nocls\summary.json,verified strict 750 eval from 2026-06-01
wikiart512_5style,LANCET,local WSL hist b32 e8,style-best-verified,transfer,0.7852639506260554,0.3557362271596988,0.6442637728403011,G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_hist_b32_e8\full_eval_epoch_0008_b2_opt_nocls\summary.json,verified strict 750 eval from 2026-06-01
wikiart512_5style,LANCET,from-scratch e8,faster-content-leaning,full,0.7739746244748433,0.3940862842533334,0.6059137157466665,G:\GitHub\Latent_Style\SchrodingerBridge\exp\timing_20260602\lancet_from_scratch_e8_generate750\summary.json,later from-scratch point; lower style and worse LPIPS than hist b32 e8 but useful as secondary reference
wikiart512_5style,LANCET,from-scratch e8,faster-content-leaning,transfer,0.7680248100558917,0.39429823203333336,0.6057017679666666,G:\GitHub\Latent_Style\SchrodingerBridge\exp\timing_20260602\lancet_from_scratch_e8_generate750\summary.json,later from-scratch point; lower style and worse LPIPS than hist b32 e8 but useful as secondary reference
distinct5_512,LANCET,F e1,best-lpips,full,0.696914507508278,0.31864464036,0.6813553596399999,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,remote historical point preserved in curated table; local images missing
distinct5_512,LANCET,F e1,best-lpips,transfer,0.6643604030708471,0.3245282069166667,0.6754717930833334,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,remote historical point preserved in curated table; local images missing
distinct5_512,LANCET,K e1,best-style,full,0.7009949656327565,0.36229389774666665,0.6377061022533334,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,remote historical point preserved in curated table; local images missing
distinct5_512,LANCET,K e1,best-style,transfer,0.6711669415235519,0.3722808781833334,0.6277191218166667,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,remote historical point preserved in curated table; local images missing
distinct5_512,LANCET,H e1,balanced-lpips,full,0.6973625582059225,0.32133288292,0.67866711708,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,remote historical point preserved in curated table; local images missing
distinct5_512,LANCET,H e1,balanced-lpips,transfer,0.6652551526824633,0.32810514738333335,0.6718948526166666,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,remote historical point preserved in curated table; local images missing
distinct5_512,LANCET,H e2,balanced-style,full,0.6993825696706771,0.34840661536,0.6515933846399999,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,remote historical point preserved in curated table; local images missing
distinct5_512,LANCET,H e2,balanced-style,transfer,0.6683948844174543,0.3561050486333333,0.6438949513666667,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,remote historical point preserved in curated table; local images missing
