"exp_dir","deleted_files","deleted_mb","first_deleted_path","last_deleted_path","reason"
"wikiart_distinct5_ema_lancet_spectralstat_from_e16_e24_b48","24","1,047.096","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e16_e24_b48\epoch_0001.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e16_e24_b48\epoch_0024.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
"wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b48","16","698.064","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b48\epoch_0001.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b48\epoch_0016.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
"wikiart512_ema_direct_atom_residual_continue_e12_from_e8_b48","12","523.080","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_direct_atom_residual_continue_e12_from_e8_b48\epoch_0001.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_direct_atom_residual_continue_e12_from_e8_b48\epoch_0012.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
"metric_tokenizer_init","11","365.582","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\metric_tokenizer_init\local_patch_org_expr_only_safety125.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\metric_tokenizer_init\split_axis_metric_truegrad_e1.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
"spatial_prototype_init","8","349.134","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\spatial_prototype_init\spectral_stat_e2_spatial_proto_blend015.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\spatial_prototype_init\spectral_stat_e2_spatial_proto_n256_gate_g2_min25.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
"wikiart_distinct5_ema_lancet_spectralstat_from_e2_e8_b64","8","349.032","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e2_e8_b64\epoch_0001.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e2_e8_b64\epoch_0008.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
"wikiart512_ema_direct_atom_residual_e8_b48","8","348.720","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_direct_atom_residual_e8_b48\epoch_0001.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_direct_atom_residual_e8_b48\epoch_0008.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
"wikiart512_ema_styleboost_guard_e4_from_e8_b48","4","174.360","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_styleboost_guard_e4_from_e8_b48\epoch_0001.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_styleboost_guard_e4_from_e8_b48\epoch_0004.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
"delta_freq_gain","3","130.887","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\delta_freq_gain\spectral_e2_low100_high050_k5.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\delta_freq_gain\spectral_e2_low125_high100_k5.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
"wikiart512_ema_lowfreq_moment_hfguard_e2_from_spectral_b48","2","87.248","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_lowfreq_moment_hfguard_e2_from_spectral_b48\epoch_0001.pt","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_lowfreq_moment_hfguard_e2_from_spectral_b48\epoch_0002.pt","uncited non-aaai exploratory/sweep directory with summary/metrics retained; eligible for checkpoint-only deletion while keeping data evidence"
