"timestamp","action","exp_dir","path","size_mb","reason"
"2026-06-05 10:03:55","deleted_checkpoint","local_patch_org_content_relative_release_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\local_patch_org_content_relative_release_120b_b80\epoch_0001.pt","15.046","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","local_patch_org_content_relative_release_20b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\local_patch_org_content_relative_release_20b_b80\epoch_0001.pt","15.045","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","local_patch_org_geometry_filter_g003_120b_b48","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\local_patch_org_geometry_filter_g003_120b_b48\epoch_0001.pt","15.100","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","local_patch_org_relative_spatial_rank4_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\local_patch_org_relative_spatial_rank4_120b_b80\epoch_0001.pt","15.548","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","local_patch_org_spatial_gate_rank4_g010_q070_120b_b48","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\local_patch_org_spatial_gate_rank4_g010_q070_120b_b48\epoch_0001.pt","16.548","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","pair_content_spatial_head_c120_g050_b020_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\pair_content_spatial_head_c120_g050_b020_120b_b80\epoch_0001.pt","15.554","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\epoch_0001.pt","15.554","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","pairrel_signed_spatial_head_c120_g050_b020_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\pairrel_signed_spatial_head_c120_g050_b020_120b_b80\epoch_0001.pt","15.552","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","pairrel_signed_spatial_head_geomstat_w005_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\pairrel_signed_spatial_head_geomstat_w005_120b_b80\epoch_0001.pt","15.552","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","pairrel_signed_spatial_head_geomstat_w020_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\pairrel_signed_spatial_head_geomstat_w020_120b_b80\epoch_0001.pt","15.552","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","split_axis_color_channel_operator_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_color_channel_operator_120b_b80\epoch_0001.pt","15.045","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","split_axis_color_channel_operator_realism4_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_color_channel_operator_realism4_120b_b80\epoch_0001.pt","15.045","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"2026-06-05 10:03:55","deleted_checkpoint","split_axis_high_channel_operator_120b_b80","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_high_channel_operator_120b_b80\epoch_0001.pt","15.049","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
