"checkpoint_path","action","size_mb","cleanup_class","reason"
"latent-256/vangogh/00755_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00755.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00706_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00706.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00699_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00699.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00698_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00698.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00697_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00697.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00696_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00696.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00695_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00695.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00694_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00694.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00692_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00692.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00689_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00689.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00687_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00687.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00686_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00686.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00683_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00683.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00680_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00680.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00679_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00679.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00677_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00677.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00674_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00674.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
"latent-256/vangogh/00673_flip.pt","skipped","0.017","review_delete_candidate","cleanup_class_not_explicit_non_mainline"
