"path","action","delete_class","size_mb","extension","last_write_time","deleted_at","reason","evidence_files","error"
"G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822\final_model.ckpt","deleted","manual_local_samam_stepalign_ckpt_calibration","275.889015",".ckpt","2026-06-05T04:51:01","2026-06-05T04:59:23","Manual audit: 20260605 SaMAM Distinct5 local WSL 16/17-step timing/alignment calibration; logs, gpu_samples, and eval artifacts retained; weights are non-mainline.","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822\train.log; G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822\gpu_samples.csv",""
"G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822\step_checkpoints\last.ckpt","deleted","manual_local_samam_stepalign_ckpt_calibration","275.897377",".ckpt","2026-06-05T04:50:38","2026-06-05T04:59:23","Manual audit: 20260605 SaMAM Distinct5 local WSL 16/17-step timing/alignment calibration; logs, gpu_samples, and eval artifacts retained; weights are non-mainline.","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822\train.log; G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822\gpu_samples.csv",""
"G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822\step_checkpoints\step-step=000017.ckpt","deleted","manual_local_samam_stepalign_ckpt_calibration","275.889015",".ckpt","2026-06-05T04:50:54","2026-06-05T04:59:23","Manual audit: 20260605 SaMAM Distinct5 local WSL 16/17-step timing/alignment calibration; logs, gpu_samples, and eval artifacts retained; weights are non-mainline.","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822\train.log; G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign17_ckpt_20260605_044822\gpu_samples.csv",""
"G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139\final_model.ckpt","deleted","manual_local_samam_stepalign_ckpt_calibration","275.889015",".ckpt","2026-06-05T04:54:03","2026-06-05T04:59:23","Manual audit: 20260605 SaMAM Distinct5 local WSL 16/17-step timing/alignment calibration; logs, gpu_samples, and eval artifacts retained; weights are non-mainline.","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139\train.log; G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139\gpu_samples.csv",""
"G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139\step_checkpoints\last.ckpt","deleted","manual_local_samam_stepalign_ckpt_calibration","275.897377",".ckpt","2026-06-05T04:53:42","2026-06-05T04:59:23","Manual audit: 20260605 SaMAM Distinct5 local WSL 16/17-step timing/alignment calibration; logs, gpu_samples, and eval artifacts retained; weights are non-mainline.","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139\train.log; G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139\gpu_samples.csv",""
"G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139\step_checkpoints\step-step=000016.ckpt","deleted","manual_local_samam_stepalign_ckpt_calibration","275.889015",".ckpt","2026-06-05T04:53:57","2026-06-05T04:59:23","Manual audit: 20260605 SaMAM Distinct5 local WSL 16/17-step timing/alignment calibration; logs, gpu_samples, and eval artifacts retained; weights are non-mainline.","G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139\train.log; G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139\gpu_samples.csv",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e0_atoms_fields_no_actuator\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.791768",".pt","2026-05-29 03:43:25","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e0_atoms_fields_no_actuator\epoch_0002.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.791768",".pt","2026-05-29 03:43:27","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e0_atoms_fields_no_actuator\epoch_0003.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.791768",".pt","2026-05-29 03:43:29","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
"G:\GitHub\Latent_Style\SchrodingerBridge\exp\style_representation_actuator_probe\sp_e1_atoms_band_gate\epoch_0001.pt","deleted","local_schrodingerbridge_probe_calibration_weight","20.802699",".pt","2026-05-29 03:40:35","2026-06-05 05:13:56","manual checked style_representation_actuator_probe as non-mainline probe/calibration; retained summary/log/config/json evidence","SchrodingerBridge/exp/style_representation_actuator_probe summary/log/config files retained",""
