experiment,transfer_clip_style,transfer_content_lpips,full_clip_style,full_content_lpips,selection,train_batch,train_epochs,status,family,reading,evidence_path
inmortal_k_spatial_seed42_b16,0.6614539421101412,0.35037601128333334,0.6923959741195043,0.34151635038666667,epoch_0006,16,8,completed,K_spatial,"Negative-to-neutral kinetic-only packet. Stable, but did not lift the style ceiling.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-spatial.md
inmortal_k_manifold_seed42_b16,0.6628769354025523,0.33486976105,0.6948679809570312,0.32601493308,epoch_0006,16,8,completed,K_manifold,"Slightly stronger content-preserving kinetic packet. Better than K_spatial, but still not a style-ceiling solution by itself.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-manifold.md
inmortal_k_spectral_seed42_b12,0.6787789503733317,0.36369265289999997,0.7101381069819133,0.35215781272,epoch_0002,12,8,completed,K_spectral_b12,"Safety-corrected spectral kinetic packet. Stable under the machine contract, but worse on LPIPS than K_manifold and not a ceiling-lifting frontier.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-spectral-b12.md
inmortal_xpred_structot_seed42_b16,0.7189881146947543,0.5588578638833333,0.7302178760369619,0.5509667303733333,epoch_0005,16,8,completed,XPred_plus_StructOT,"Positive structure-aware OT control. Produces a meaningful low-LPIPS tradeoff by e5, but still trails the promoted Pattn/Stokes frontier.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-structot.md
inmortal_xpred_kmanifold_pattn_edgegated_anisostokes_queue_from_e13_seed42_b8a2,0.709999902844429,0.5746358511666668,0.717337186574936,0.5699236837866666,epoch_0017,8,20,completed,XPred_plus_Kmanifold_plus_Pattn_then_EdgeGatedAnisoStokesQueue,"Negative closure. Edge-gated anisotropic pressure briefly recovers style at e17, but destroys the parent e13 low-LPIPS frontier and does not earn promotion.",SchrodingerBridge/docs/experiments/2026-06-08-inmortal-edgegated-anisostokes-queue.md
inmortal_xpred_teacher_endpoint_seed42_b16,0.7158807369073232,0.5554561699833334,0.7276287523110707,0.5472573185466666,epoch_0005,16,8,completed,XPred_plus_EndpointTeacher,"Positive teacher-only smoothing control. Slightly improves the low-LPIPS tradeoff relative to StructOT at a similar style band, but still remains below the promoted Pattn/Stokes frontier.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-teacher-endpoint.md
inmortal_xpred_bary_seed42_b16,0.7255213912328086,0.6148921626666667,0.7319036454359691,0.6074068650666666,epoch_0005,16,8,completed,XPred_Barycenter,"Lower-batch barycentric endpoint packet. Shows the same strong style-ceiling signal as the b40 rerun with materially better LPIPS, but still remains far from the target LPIPS band.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-barycenter.md
inmortal_xpred_bary_seed42_b40,0.7161263772845268,0.7175771549333334,0.7186682052612305,0.7104419553733333,epoch_0007,40,8,completed,XPred_Barycenter,"Strong style-ceiling packet. Reaches near-target style, but content damage remains catastrophic.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-barycenter.md
inmortal_xpred_queue_seed42_b16,0.7198146428664527,0.5595371659666666,0.7308790712356565,0.5514159456666667,epoch_0005,16,8,completed,XPred_plus_QueueSmoothing,"Positive queue-side smoothing control. Recovers into the StructOT and EndpointTeacher tradeoff band by e5, but still does not displace the promoted Pattn/Stokes frontier.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-queue.md
inmortal_xpred_kmanifold_pattn_queue_seed42_b16,0.7278445690870285,0.6358575434166667,0.7326863305568695,0.6270424386533333,epoch_0006,16,8,completed,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,"Strong-family queue escalation. Stays near the plain Pattn style band, but does not materially improve the LPIPS frontier over the promoted late-Stokes family.",SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-queue.md
