family_id,round,stage,mode,sigma,config_override,parent_checkpoint_remote,output_root_remote,expected_switch_delta,decision_status,notes
fiber_sde_parent,1,Fiber-SDE,deterministic,0.0,,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/fiber_sde_parent,none,pending,deterministic parent eval for matched delta baseline
fiber_sde_iso_sigma0p005,1,Fiber-SDE,isotropic,0.005,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_iso_sigma0p005.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_iso_sigma0p005,solver stochastic isotropic,pending,matched control for fiber sigma 0.005
fiber_sde_fiber_sigma0p005,1,Fiber-SDE,fiber_aligned,0.005,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_fiber_sigma0p005.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_fiber_sigma0p005,solver_fiber_aligned=true,pending,candidate; only differs from isotropic by gate-aligned noise direction
fiber_sde_iso_sigma0p01,1,Fiber-SDE,isotropic,0.01,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_iso_sigma0p01.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_iso_sigma0p01,solver stochastic isotropic,pending,matched control for fiber sigma 0.01
fiber_sde_fiber_sigma0p01,1,Fiber-SDE,fiber_aligned,0.01,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_fiber_sigma0p01.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_fiber_sigma0p01,solver_fiber_aligned=true,pending,candidate; only differs from isotropic by gate-aligned noise direction
fiber_sde_iso_sigma0p02,1,Fiber-SDE,isotropic,0.02,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_iso_sigma0p02.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_iso_sigma0p02,solver stochastic isotropic,pending,matched control for fiber sigma 0.02
fiber_sde_fiber_sigma0p02,1,Fiber-SDE,fiber_aligned,0.02,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_fiber_sigma0p02.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_fiber_sigma0p02,solver_fiber_aligned=true,pending,candidate; only differs from isotropic by gate-aligned noise direction
fiber_sde_iso_sigma0p03,1,Fiber-SDE,isotropic,0.03,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_iso_sigma0p03.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_iso_sigma0p03,solver stochastic isotropic,pending,matched control for fiber sigma 0.03
fiber_sde_fiber_sigma0p03,1,Fiber-SDE,fiber_aligned,0.03,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_fiber_sigma0p03.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_fiber_sigma0p03,solver_fiber_aligned=true,pending,candidate; only differs from isotropic by gate-aligned noise direction
fiber_sde_iso_sigma0p05,1,Fiber-SDE,isotropic,0.05,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_iso_sigma0p05.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_iso_sigma0p05,solver stochastic isotropic,pending,matched control for fiber sigma 0.05
fiber_sde_fiber_sigma0p05,1,Fiber-SDE,fiber_aligned,0.05,SchrodingerBridge/configs/aaai2027/phase2_fiber_sde_fiber_sigma0p05.json,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k070_seed42_b12a1/epoch_0001.pt,/mnt/i/Github/Latent_Style/exp/inmortal-exp/phase2_eval_only_override/phase2_fiber_sde_fiber_sigma0p05,solver_fiber_aligned=true,pending,candidate; only differs from isotropic by gate-aligned noise direction
