case_id,comparison,candidate_a_method,candidate_b_method,style_vote,content_vote,artifact_vote,note
0,knee_vs_samst,LBM-Knee,SaMST,B,A,A,SaMST shows stronger target-style texture; Knee stays cleaner and closer to the flat source structure.
1,knee_vs_samst,LBM-Knee,SaMST,B,A,A,Same pattern as case 0.
2,knee_vs_samst,SaMST,LBM-Knee,A,B,B,SaMST wins style; Knee wins content and artifact.
3,knee_vs_samst,LBM-Knee,SaMST,B,A,A,Knee keeps the horizontal-band source; SaMST introduces stronger Ukiyo-e-like patterning.
4,knee_vs_samst,LBM-Knee,SaMST,B,A,A,Same pattern as case 3.
5,knee_vs_samst,SaMST,LBM-Knee,A,B,B,SaMST wins style; Knee wins content and artifact.
6,knee_vs_seedream,Seedream,LBM-Knee,A,B,B,Seedream gives the stronger Rococo-style move; Knee preserves the minimal source better.
7,knee_vs_seedream,LBM-Knee,Seedream,B,B,B,Seedream improves style while keeping the banded source recognizable.
8,knee_vs_seedream,Seedream,LBM-Knee,A,A,A,Seedream is stronger on style, clearer on content, and cleaner visually.
9,knee_vs_seedream,Seedream,LBM-Knee,A,B,A,Seedream matches the target style better; Knee holds more of the original city layout.
10,knee_vs_seedream,Seedream,LBM-Knee,A,A,A,Seedream dominates this case.
11,knee_vs_seedream,LBM-Knee,Seedream,B,B,B,Seedream wins all three questions.
12,psv2_vs_samst,LBM-PS-v2,SaMST,B,B,B,SaMST is preferred on all three criteria.
13,psv2_vs_samst,LBM-PS-v2,SaMST,B,B,B,SaMST is preferred on all three criteria.
14,psv2_vs_samst,SaMST,LBM-PS-v2,A,A,A,SaMST is preferred on all three criteria.
15,psv2_vs_samst,SaMST,LBM-PS-v2,A,A,A,SaMST is preferred on all three criteria.
16,psv2_vs_samst,SaMST,LBM-PS-v2,A,A,A,SaMST is preferred on all three criteria.
17,psv2_vs_samst,SaMST,LBM-PS-v2,A,A,A,SaMST is preferred on all three criteria.
18,k_vs_idt,IDT,LBM-K,B,A,A,LBM-K moves more toward Minimalism; IDT keeps content and remains cleaner.
19,k_vs_idt,LBM-K,IDT,A,B,B,Same pattern as case 18.
20,k_vs_idt,IDT,LBM-K,B,A,A,LBM-K adds style movement; IDT keeps the original structure and cleaner rendering.
21,k_vs_idt,IDT,LBM-K,B,A,A,Same pattern as case 20.
22,k_vs_idt,LBM-K,IDT,A,B,B,LBM-K style move vs IDT content/artifact advantage.
23,k_vs_idt,IDT,LBM-K,B,A,A,LBM-K wins style; IDT wins content and cleanliness.
