case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,DualPathFresh_e09_style_specificity,DualPathFresh_e09_structure_preservation,DualPathFresh_e09_artifact_control,DualPathFresh_e09_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly degraded, heavy texture artifacts, poor style fidelity to Early Renaissance; structure partially preserved but obscured.",5,5,5,Excellent Early Renaissance painterly style with appropriate brushwork and color palette; structure fully preserved; minimal artifacts.,3,4,3,Moderate style transfer with some Renaissance-like tones but lacks depth and detail; structure mostly intact; mild blurring and smudging artifacts.
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly painterly and abstract; loses architectural detail and Renaissance structure; heavy texture artifacts.,5,5,5,"Excellent match to Early Renaissance style with clear architectural lines, balanced color palette, and minimal artifacts.",3,4,3,Moderate style transfer; structure preserved but colors are washed out and slightly blurry; minor smudging artifacts.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, washed-out appearance; lacks Renaissance color richness and detail. Structure is somewhat preserved but overly blurred.",5,5,5,Excellent match to Early Renaissance palette and mood. Landscape structure is well-preserved with natural textures and no visible artifacts.,3,3,2,Some stylistic elements present but overly textured and noisy. Structure is partially obscured by heavy brushwork or grain.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faded, low contrast, and washed-out colors; lacks Ukiyo-e vibrancy and line clarity. Structure is somewhat preserved but overly blurred.",5,5,5,"Excellent match to Ukiyo-e style: bold outlines, flat color regions, and traditional composition. Structure is well-preserved with minimal artifacts.",3,4,3,"Moderate Ukiyo-e feel with some color and line work, but slightly muddy and less defined than Seedream. Some structural softness and minor artifacts."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,Minimal style transfer; mostly preserves source with slight color shift. Structure intact but no Renaissance elements applied.,5,5,5,Strong Early Renaissance style applied via texture and color mapping while preserving object structure cleanly. No visible artifacts.,3,4,2,"Some stylistic influence (warm tones), but introduces noticeable blur and smudging artifacts, especially on wall and lamp base."
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy haze and low contrast obscure details; style is vague and lacks Renaissance texture or chiaroscuro.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance styling: warm palette, soft chiaroscuro, and painterly texture without artifacts.",3,4,2,Structure is mostly preserved but suffers from significant smudging and ghosting artifacts; style is partially applied but inconsistent.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic influence from the minimalism reference; structure is partially preserved but lacks clarity and color fidelity.",5,5,5,"Excellent adherence to minimalism via bold flat colors and simplified geometry; source structure (arches, towers) is clearly preserved with clean edges and no artifacts.",2,3,2,Similar to LBM — overly diffuse and low-contrast; fails to convey minimalism’s defining traits; structure is blurred and indistinct.
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor style transfer; lacks Ukiyo-e characteristics. Structure is somewhat preserved but distorted. Heavy artifacts and color bleeding.,5,5,5,"Excellent Ukiyo-e style with appropriate colors, line work, and texture. Perfectly preserves the source structure. No visible artifacts.",3,4,3,Moderate style transfer; some Ukiyo-e elements present but muted. Structure is well preserved. Some blurring and soft artifacts.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; heavy vignetting and blur obscure content. Structure partially preserved but degraded by artifacts.,5,5,5,"Excellent Rococo aesthetic with ornate framing, soft pastel tones, and elegant composition. Source structure fully preserved with no visible artifacts.",2,3,2,Minimal style transfer; mostly retains source appearance with slight color wash. Heavy blur and edge artifacts degrade quality.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears washed out and lacks Renaissance texture or color depth. Structure is preserved but overly blurred.,5,5,5,"Excellent match to Early Renaissance style with rich colors, proper lighting, and preserved facial details. No visible artifacts.",3,4,3,Moderate style transfer with some Renaissance-like tones but lacks richness. Structure is mostly preserved but slightly softened. Minor smudging artifacts.
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure lost in haze.",5,5,5,Strong geometric abstraction with clean lines and flat color blocks; faithfully preserves source composition while applying minimalist style effectively.,2,3,2,"Similar to LBM — overly diffuse, lacks clear stylistic intent, structure obscured by noise-like artifacts."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,DualPathFresh_e09,DualPathFresh_e09,DualPathFresh_e09,DualPathFresh_e09,4,3,4,3,Moderate Early Renaissance texture and color wash; some structural fidelity but muted detail and slight smudging in sky and figures.,2,3,2,Overly darkened and muddy tones; poor style transfer with loss of figure definition and architectural clarity; heavy artifacts in shadows.,5,5,5,Excellent emulation of Early Renaissance palette and brushwork; clean structure retention with no visible artifacts; best overall fidelity.
