case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMST_e15_style_specificity,SaMST_e15_structure_preservation,SaMST_e15_artifact_control,SaMST_e15_note
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Completely failed to preserve structure or apply style; output is a generic textured gray patch with no recognizable content.,5,5,5,Excellent preservation of source structure and faithful application of Impressionist brushwork and color palette. Clean output with no visible artifacts.,3,4,3,"Structure is mostly preserved but colors are oversaturated and unnatural (e.g., yellow sky). Style is partially applied but lacks subtlety; some color bleeding and haloing artifacts present."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,"Completely lost both style and structure; output is a blurry, indistinct texture with no recognizable content or minimalist aesthetic.",5,5,5,"Excellent minimalist style transfer: clean geometric shapes, flat colors, simplified forms, and clear composition. Structure of source scene is preserved but abstracted appropriately. No artifacts.",3,2,3,"Attempts minimalism via grid lines and muted tones, but structure is heavily distorted and fragmented. Style is partially achieved but feels more like a sketch or wireframe than true minimalism. Some visual noise from grid overlay."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMST_e15,SaMST_e15,4,2,3,2,Heavy smudging and loss of detail; Rococo elements barely discernible; structure partially preserved but blurred.,5,4,4,Strong Rococo styling with ornate frame and soft palette; structure well preserved; minor artifacts in background texture.,3,5,5,Excellent structural fidelity and clean output; style transfer is subtle and lacks strong Rococo characteristics.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMST_e15,SaMST_e15,SaMST_e15,SaMST_e15,5,1,1,1,"Completely failed to transfer style or preserve structure; output is a blurry, indistinct gray wash with no discernible content or Ukiyo-e characteristics.",4,4,4,"Good Ukiyo-e style transfer with recognizable figures and composition. Minor artifacts in background texture and slight color bleeding, but overall strong performance.",5,5,5,"Excellent preservation of source structure with faithful Ukiyo-e style application. Clean output with minimal artifacts, sharp details, and appropriate color palette matching the target reference."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Severely blurred and smudged; loses facial detail and texture. Style is vague, not clearly Early Renaissance. Structure is partially preserved but degraded by artifacts.",5,5,5,"Excellent match to target style: soft chiaroscuro, warm palette, painterly brushwork. Structure perfectly preserved with no visible artifacts. Faithful to source composition.",5,4,4,Strong stylistic fidelity — captures Renaissance tonality and soft modeling. Slight over-smoothing on skin tones and background; minor structural softening but overall very good.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and washed out; loses facial detail and texture. Style is vague, not clearly impressionistic. Structure is partially preserved but degraded by excessive smoothing.",3,5,5,Excellent structure preservation with minimal artifacts. Style is subtly applied — more painterly than distinctly impressionistic. Clean output but lacks bold brushwork or color vibrancy typical of Impressionism.,5,4,4,"Strongest impressionistic style: visible brushstrokes, vibrant colors, and textured application. Slight loss of fine facial detail compared to source, but overall structure remains intact. Minor haloing around edges but well-controlled."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",5,5,5,Clean vector-style minimalism with bold flat colors and clear outlines; perfectly preserves composition and subject.,3,4,3,Grid overlay adds texture but detracts from pure minimalism; structure mostly preserved but artifacts reduce clarity.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and smudged; loses facial detail and Rococo elegance. Structure is preserved but degraded by heavy smoothing artifacts.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and delicate brushwork. Faithfully preserves source composition and facial features with minimal artifacts.",3,4,3,Retains structure well but applies a greenish tint and lacks Rococo ornamentation. Style is muted and somewhat inconsistent with target reference.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Very low style transfer; appears as a blurred or degraded version of source with no clear impressionist traits.,5,5,5,Strong impressionist brushwork and color palette while preserving original composition and figures clearly.,4,4,3,Good impressionist style but slightly over-saturated colors and minor structural distortion in background elements.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style intent; appears as noise.",5,5,5,Clean vector-style minimalism with preserved composition and no artifacts.,3,3,4,Textured grid style partially captures minimalism but distorts source structure.
