case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note,DualPath_e01_style_specificity,DualPath_e01_structure_preservation,DualPath_e01_artifact_control,DualPath_e01_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses Early Renaissance detail and texture; structure partially preserved but heavily degraded by noise.,3,4,3,"Better structure retention than QEdgePattn, but still lacks clear Early Renaissance stylistic markers; mild artifacts in sky and water.",5,5,5,"Excellent match to Early Renaissance style — rich color palette, detailed figures, atmospheric perspective; structure fully preserved with no visible artifacts."
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed-out and blurry; lacks Renaissance architectural clarity and texture. Structure is preserved but heavily degraded by noise-like artifacts.,2,3,2,"Similar to QEdgePattn_e01 — faint, smudged appearance with poor stylistic fidelity to Early Renaissance. Minor structural coherence but significant visual degradation.",5,5,5,"Excellent match to Early Renaissance style: clear architectural lines, balanced color palette, and refined brushwork. Structure is perfectly preserved with no visible artifacts."
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out style transfer; lacks Renaissance color and texture; structure preserved but overly blurred.",2,3,2,"Similar to QEdgePattn — minimal stylistic influence, low contrast, no clear Renaissance features; structure intact but visually flat.",5,4,5,"Strong Early Renaissance palette (ochres, muted blues), soft atmospheric perspective, and painterly texture; landscape structure well preserved with natural blending; no visible artifacts."
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast, and lacks Ukiyo-e color vibrancy or line definition. Structure is preserved but style is weak.",2,3,2,"Similar to QEdgePattn — overly pale, blurry edges, and fails to capture the bold outlines and flat color planes typical of Ukiyo-e.",5,5,5,"Excellent preservation of original composition and character poses. Strong Ukiyo-e aesthetic: bold outlines, flat saturated colors, and stylized shading. Minimal artifacts."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,3,Minimal style transfer; output is nearly identical to source with only slight color shift. Structure preserved well but no Renaissance elements applied.,1,4,3,"Same as QEdgePattn_e01 — negligible style transfer, structure intact, no artifacts but also no stylistic adaptation.",4,5,5,"Successfully applies Early Renaissance texture and tone (warm parchment-like background, subtle chiaroscuro) while preserving object geometry and edges cleanly. No visible artifacts or distortions."
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,1,"Output is extremely blurry and washed out, failing to capture the Early Renaissance style or the source structure effectively.",2,3,1,"Similar to QEdgePattn, this output is heavily obscured by a foggy artifact, losing detail and style fidelity.",5,5,5,"This output successfully preserves the source structure while applying a clear, high-quality style transfer that resembles the target reference without significant artifacts."
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a washed-out, blurry version of the source with no stylistic reduction or simplification.",2,3,2,"Similar to QEdgePattn_e01; lacks stylistic transformation, producing a hazy, low-contrast image that ignores the target style.",5,4,5,"Successfully applies minimalism through flat color blocks, simplified geometry, and reduced detail while preserving architectural structure. Clean, artifact-free output."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style fidelity; colors and textures are muddy and lack Ukiyo-e characteristics. Structure is somewhat preserved but heavily distorted by artifacts.,2,3,2,Similar to QEdgePattn_e01; fails to capture the distinct line work and color palette of Ukiyo-e. Significant blurring and color bleeding artifacts.,5,5,5,"Excellent reproduction of Ukiyo-e style with clear lines, appropriate color palette, and textured background. Structure is perfectly preserved with no visible artifacts."
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal Rococo influence; structure preserved but lacks ornamental detail; heavy blurring and smudging artifacts degrade quality.,2,3,2,Similar to QEdgePattn_e01; no meaningful Rococo styling; structural fidelity maintained but visually degraded by noise and blur.,5,5,5,"Excellent Rococo styling with ornate borders, soft pastels, and decorative motifs; source figure and composition perfectly preserved; clean output with no visible artifacts."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and hazy; style transfer is weak and indistinct, with significant loss of detail and texture. Structure is preserved but obscured by artifacts.",2,3,2,"Nearly identical to QEdgePattn_e01 in quality — extremely blurry, low contrast, and lacking stylistic fidelity. Same structural preservation but poor artifact control.",5,5,5,"Excellent preservation of source structure and facial features. Strong Early Renaissance style applied via warm tones, soft lighting, and painterly texture without distortion or artifacts. Cleanest output overall."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; fails to convey minimalism or preserve structure clearly.,2,3,2,"Similar to QEdgePattn — hazy, low contrast, minimal stylistic fidelity or structural clarity.",5,5,5,"Strong geometric abstraction, clean lines, bold color blocks — excellent minimalism with full structural retention and no artifacts."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Moderate style transfer with visible edge artifacts and slight color distortion; structure mostly preserved but lacks Renaissance texture fidelity.,3,4,3,Similar to QEdgePattn_e01; minor improvements in color blending but still exhibits noticeable edge halos and inconsistent texture application.,5,5,5,"Excellent Early Renaissance style emulation with accurate brushwork, color palette, and structural integrity; minimal artifacts and high coherence."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply minimalism; output is washed out and lacks stylistic intent. Structure is preserved but degraded by blur and noise.,2,3,2,"Similar to QEdgePattn — no meaningful style transfer. Output is hazy and indistinct, with poor artifact control and minimal stylistic fidelity.",5,5,5,"Excellent minimalism: clean lines, flat colors, reduced detail. Structure perfectly preserved. No artifacts or distortions. Best in all categories."
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",2,3,2,Similar to QEdgePattn_e01; lacks stylistic clarity and introduces haze artifacts while retaining some structure.,5,5,5,Excellent minimalism with clean lines and bold colors; structure fully preserved; no visible artifacts.
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,5,2,5,4,Preserves source structure perfectly but applies almost no Rococo style; output is nearly identical to source with minimal color shift.,2,5,4,Similar to QEdgePattn_e01 — excellent structure retention but negligible style transfer; lacks Rococo ornamental elements.,5,4,5,Strongly captures Rococo aesthetic with ornate border framing and decorative motifs; slight structural distortion at edges but overall coherent and artifact-free.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,1,"Severe ghosting and double-image artifacts; style is vague and blurry, not clearly minimalistic.",2,3,1,"Similar to QEdgePattn — heavy duplication/ghosting, low clarity, minimal style signal.",5,5,5,"Clean geometric abstraction, strong minimal aesthetic, faithful to source composition with no visible artifacts."
