case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e12_style_specificity,Hold4TwoStage_e12_structure_preservation,Hold4TwoStage_e12_artifact_control,Hold4TwoStage_e12_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly textured, aged-paper effect obscures style and structure; lacks Renaissance clarity.",5,5,5,"Excellent Early Renaissance style transfer with clear figures, balanced composition, and no visible artifacts.",3,3,3,Moderate style match but suffers from blurring and loss of detail; structure partially preserved.
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style with poor color fidelity to Early Renaissance; structure is somewhat preserved but blurred; noticeable artifacts and low contrast.",5,5,5,"Excellent match to Early Renaissance style with clear architectural detail, appropriate color palette, and clean rendering; structure fully preserved with no visible artifacts.",3,4,3,Moderate style transfer with some Renaissance-like tones but lacks richness; structure is mostly intact but slightly distorted; minor smudging and uneven texture.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly textured and noisy; style transfer is weak and inconsistent with Early Renaissance aesthetics. Structure is somewhat preserved but obscured by artifacts.,5,5,5,"Excellent match to Early Renaissance style — soft tones, balanced composition, and subtle texture. Structure is well-preserved with minimal artifacts.",3,4,3,"Moderate style fidelity with some Renaissance-like color palette, but suffers from blotchy textures and uneven blending. Structure is mostly intact."
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed-out, lacks Ukiyo-e color and line quality; structure is somewhat preserved but overly blurred.",5,5,5,"Excellent Ukiyo-e style transfer with strong color fidelity, clear linework, and faithful structure preservation. Minimal artifacts.",2,2,2,"Extremely faded and low-contrast; style is barely recognizable as Ukiyo-e, structure is lost, and heavy artifacts present."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,4,Minimal style transfer; source image largely unchanged. Structure preserved well but no Renaissance styling applied.,5,5,5,Excellent Early Renaissance style transfer with clear ornamental framing and chiaroscuro tones. Source structure perfectly preserved. No visible artifacts.,3,3,2,"Some stylistic influence (warm tones, soft edges) but inconsistent and blurry. Structure distorted, especially in lower object. Noticeable smearing and loss of detail."
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly hazy and washed-out; lacks Renaissance texture and chiaroscuro. Structure is preserved but obscured by heavy blur/artifact.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic cues (soft modeling, warm palette, painterly texture). No visible artifacts.",1,2,1,Severe structural distortion and ghosting artifacts. Style is nearly absent; appears as a corrupted or failed transfer.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,3,5,"Very clean output with minimal artifacts, but fails to apply any meaningful style transfer — appears as a washed-out version of the source.",5,5,4,Strongly captures minimalism through bold geometric shapes and flat color blocks while preserving architectural structure; slight color bleeding at edges.,2,3,5,"Clean and artifact-free, but stylistically inert — resembles a blurred or faded copy of the source with no stylistic transformation."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor style transfer; lacks Ukiyo-e characteristics. Structure is partially preserved but distorted. Heavy artifacts and color bleeding degrade quality.,5,5,5,"Excellent Ukiyo-e style with appropriate brushwork, color palette, and composition. Structure is well-preserved with minimal distortion. Clean output with no visible artifacts.",3,2,3,Some Ukiyo-e elements present but weakly rendered. Structure is significantly blurred and distorted. Moderate artifacts and smudging reduce clarity.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; structure is partially preserved but heavily distorted by noise and blur. Artifacts dominate the image.,5,5,5,Excellent Rococo style transfer with ornate borders and soft pastel tones. Structure is well-preserved and artifacts are minimal.,3,2,2,Some Rococo elements present but muted. Structure is significantly degraded with heavy blurring and smearing. Artifacts are noticeable.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; face is overexposed and lacks Renaissance texture or color palette. Structure preserved but with significant luminance artifacts.,5,5,5,"Excellent match to Early Renaissance portraiture: warm earth tones, soft chiaroscuro, detailed fabric rendering, and faithful structural fidelity with no visible artifacts.",2,2,1,Severe structural distortion — face is melted/unrecognizable. Style is vague and smudged. High artifact presence due to failed alignment or blending.
