case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e03_style_specificity,QEdgePattn_e03_structure_preservation,QEdgePattn_e03_artifact_control,QEdgePattn_e03_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, low contrast; Early Renaissance style barely perceptible. Structure preserved but overly blurred. Heavy artifacting and loss of detail.",5,5,5,"Excellent Early Renaissance style transfer with appropriate color palette, brushwork texture, and atmospheric perspective. Structure fully preserved. Minimal artifacts.",3,4,3,Moderate style transfer — some Renaissance-like tones and textures present but inconsistent. Structure well preserved. Some edge artifacts and uneven texture application.
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly painterly and abstract; loses architectural detail and introduces heavy texture artifacts. Style is too impressionistic, not Early Renaissance.",5,5,5,"Excellent match to Early Renaissance style: clean lines, balanced composition, muted palette, and preserved structural integrity. Minimal artifacts.",3,4,3,Better than LBM but still too soft and washed-out; lacks crisp Renaissance detail. Some edge smudging and color bleeding present.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Early Renaissance style transfer; heavy texture artifacts and loss of color fidelity. Structure is partially preserved but degraded by noise.,5,5,5,Excellent match to Early Renaissance palette and brushwork. Structure is cleanly preserved with no visible artifacts. Best overall result.,3,4,3,"Moderate style transfer with some Renaissance-like tones, but suffers from edge halos and uneven texture. Structure is mostly intact but marred by processing artifacts."
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, lacks Ukiyo-e color and line quality; structure is somewhat preserved but blurry.",5,5,5,"Excellent reproduction of Ukiyo-e style with vibrant colors, distinct lines, and perfect structural fidelity to the source.",3,4,3,Better than LBM but still lacks the bold lines and saturation of Ukiyo-e; structure is good but slightly soft.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,Minimal style transfer; mostly preserves source with slight color shift. Structure intact but no Renaissance elements applied.,5,5,5,Excellent integration of Early Renaissance texture and tone while preserving object structure. Clean output with no visible artifacts.,3,4,2,Some stylistic influence (warm tone) but inconsistent application. Noticeable edge halos and smudging around object boundaries.
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears washed out and lacks Renaissance texture or color. Structure is preserved but overly blurred.,5,5,5,Excellent style transfer with appropriate chiaroscuro and warm tones. Structure is perfectly preserved with no artifacts.,3,4,3,Moderate style transfer with some haze. Structure is mostly preserved but edges are softened. Some artifacts in background.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a washed-out, blurry version of the source with no stylistic intent or structure clarity.",5,5,5,Perfectly captures minimalism through flat color blocks and simplified geometry while preserving the architectural structure of the source image with zero artifacts.,2,3,2,"Similar to LBM, this output is indistinct and lacks stylistic definition; it appears as a degraded, low-contrast blur with no clear minimal aesthetic."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply Ukiyo-e style; output resembles a faded photograph with no stylistic transformation.,5,5,5,Perfectly captures the Ukiyo-e aesthetic with accurate line work and color palette while maintaining the source composition.,3,2,3,"Applies a stylized texture but fails to render the human figure, resulting in a distorted and incomplete structure."
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like color wash but lacks ornamental detail; structure is blurred and indistinct; heavy vignetting and noise artifacts degrade quality.,5,5,5,"Excellent Rococo aesthetic with ornate borders, soft pastel tones, and elegant figure rendering; source composition faithfully preserved; clean output with minimal artifacts.",2,3,2,"Similar to LBM-Knee_e13 — weak style transfer, ghosted structures, and prominent edge artifacts; no meaningful Rococo elements applied."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Renaissance texture and depth. Structure is preserved but heavily degraded by blur.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic cues (rich colors, chiaroscuro, painterly texture). No visible artifacts.",3,4,3,"Moderate style transfer with some Renaissance-like tones, but suffers from smudging and loss of fine detail. Structure is mostly intact but softened."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,"Very low style specificity; appears as a washed-out blur with no clear minimalism. Structure is partially preserved but heavily degraded. Few artifacts, but overall lacks coherence.",5,5,5,"Excellent minimalism: clean geometry, flat color blocks, and simplified forms. Structure is well-preserved with clear spatial relationships. No visible artifacts; highly polished output.",2,3,4,Similar to LBM — overly blurred and indistinct. Minimalist intent is absent. Structure is faintly present but obscured. Low artifact count but poor stylistic fidelity.
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Early Renaissance style adoption; structure mostly preserved but with slight color bleeding and soft edges; some artifacts in sky and building textures.,5,5,5,"Excellent Early Renaissance style transfer with accurate tonal palette, brushwork simulation, and structural fidelity; minimal artifacts, clean edges, and coherent lighting.",4,4,4,Strong stylistic match with good edge preservation; minor artifacts in sky gradients and building facades; overall high quality but slightly less refined than Seedream.
