case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,"Moderate style transfer with some Early Renaissance color and texture, but figures are slightly blurred and background details are lost. Structure is mostly preserved but lacks crispness.",2,3,2,Poor style transfer — appears overly washed out and muddy. Significant loss of structural detail and heavy artifacts. Fails to capture Early Renaissance clarity or palette.,5,5,5,"Excellent style transfer matching Early Renaissance aesthetics: rich colors, clear linework, and appropriate texture. Structure is perfectly preserved with no visible artifacts. Best overall result."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style transfer; structure partially preserved but colors and textures lack Renaissance richness; noticeable smudging and low contrast.",1,2,1,Severely degraded output; almost no recognizable structure or style; heavy blur and noise dominate; fails to convey Early Renaissance aesthetics.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic fidelity — warm palette, chiaroscuro, architectural framing, and painterly texture all align well with target reference."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Early Renaissance tones but heavily blurred; structure partially preserved but details lost; significant smearing artifacts.,1,2,1,"Overly washed out, almost monochromatic; structure severely degraded; heavy noise and blur artifacts dominate.",5,5,5,Excellent match to Early Renaissance palette and brushwork; source structure perfectly preserved; no visible artifacts.
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Moderate impressionistic brushwork but lacks color vibrancy and atmospheric depth; structure mostly preserved with minor smudging.,1,2,1,Severely degraded output; heavy blur and loss of detail; no discernible impressionist style or structural integrity.,5,5,5,"Excellent impressionist rendering with visible brushstrokes, rich color palette, and full preservation of original composition and figures without artifacts."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Moderate structure retention but very weak impressionistic style; appears washed out and lacks brushwork texture.,1,2,2,Severely degraded structure and almost no impressionistic style; overly blurred and indistinct.,5,5,5,"Excellent preservation of source structure with strong impressionistic styling via warm tones, soft edges, and painterly texture; minimal artifacts."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Mild impressionistic washes applied but structure is blurred; style is weak and inconsistent with target reference.,1,1,1,"Severely degraded output; nearly unrecognizable content, no coherent style or structure preserved.",5,5,5,Excellent impressionistic brushwork and color palette matching target; source structure fully preserved with minimal artifacts.
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic abstraction; structure is partially preserved but lacks clarity and minimalism intent.",1,2,1,Overly blurred and indistinct; fails to convey minimalism or preserve structural elements; high artifact presence.,5,5,5,"Clean, bold geometric simplification with flat colors and clear composition; perfectly captures minimalism while preserving source structure and eliminating artifacts."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a faded, low-contrast version of the source with no stylistic reduction or simplification.",1,2,1,"Severely degraded; structure is nearly lost and style is not applied — appears as a blurred, washed-out artifact rather than a stylized image.",5,5,5,"Perfectly captures minimalism: flat colors, bold outlines, simplified shapes, and clean composition while preserving all key structural elements of the source."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic coherence; structure is partially preserved but heavily blurred and low-contrast.",1,2,1,Extremely degraded output — nearly uniform gray blur; no discernible style or structure; severe artifacts.,5,5,5,"Strong minimalist aesthetic with clean geometry, flat colors, and simplified forms; source structure well preserved; no visible artifacts."
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; heavy vignetting and dark borders obscure content. Structure partially preserved but colors are muted and inconsistent with target style.,1,2,1,Extremely blurry and indistinct; no clear Rococo features. Structure is heavily degraded with smearing and loss of detail. Severe artifacts throughout.,5,5,5,"Excellent Rococo styling with ornate architecture, soft pastels, and decorative motifs. Source structure fully preserved with high fidelity. No visible artifacts; clean and polished output."
