case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,EdgeGated_e01_style_specificity,EdgeGated_e01_structure_preservation,EdgeGated_e01_artifact_control,EdgeGated_e01_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly textured and faded; loses figure detail and stylistic coherence with Early Renaissance.,5,5,5,Excellent preservation of composition and figures; strong stylistic match to Early Renaissance with minimal artifacts.,3,4,3,Good structure retention but slightly washed-out style; minor edge artifacts and reduced color richness.
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly painterly and abstracted; loses architectural detail and Early Renaissance clarity. Heavy texture obscures structure.,5,5,5,"Excellent preservation of building geometry and water reflections. Clean, coherent style transfer with minimal artifacts. Matches target’s linear precision and tonal restraint.",3,4,3,Better structure than LBM but still exhibits smudging and color bleeding at edges. Style is somewhat muted and lacks the crispness of the target.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly textured and noisy; fails to capture Early Renaissance clarity or palette. Structure is somewhat preserved but obscured by artifacts.,5,5,5,"Excellent match to Early Renaissance style: muted earth tones, soft atmospheric perspective, clean edges, and faithful structure. Minimal artifacts.",3,4,3,Better than LBM but still too grainy and lacks the refined tonal gradation of Early Renaissance. Some structural fidelity but with visible noise.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed-out, lacks Ukiyo-e color and line quality; structure is somewhat preserved but details are blurred.",5,5,5,"Excellent Ukiyo-e style transfer with vibrant colors, clear lines, and faithful preservation of source composition and details.",3,4,3,Moderate style transfer; structure is well preserved but style is muted and lacks the boldness of Ukiyo-e; some minor artifacts in color blending.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,EdgeGated_e01,EdgeGated_e01,4,2,4,3,Minimal style transfer; mostly preserves source with slight color shift. Structure intact but no Renaissance elements applied.,5,4,4,Strong Early Renaissance aesthetic via warm sepia tone and texture overlay. Slight loss in edge sharpness but overall coherent style application.,3,5,5,Excellent structure and artifact control. Style transfer is subtle — slight warm tint but lacks strong Renaissance motifs or textures.
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low contrast and washed-out appearance; fails to capture Renaissance chiaroscuro or texture. Structure is preserved but obscured by haze.,5,5,5,"Excellent transfer of Early Renaissance style: rich dark background, warm skin tones, soft modeling, and visible brushwork texture. Structure is perfectly preserved with no artifacts.",2,4,3,Better than LBM but still suffers from over-smoothing and loss of detail. Style is muted and lacks the depth and richness of the target. Structure is mostly intact but edges are softened excessively.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic signal; structure is barely preserved and artifacts dominate.",5,5,5,Strong minimalism via bold geometric abstraction and flat color blocks; source architecture clearly preserved with clean edges and no visible artifacts.,2,3,2,"Similar to LBM—very faint, low-contrast result with poor style transfer and heavy noise-like artifacts obscuring structure."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor style transfer; figure is distorted and lacks Ukiyo-e characteristics. Structure is partially preserved but heavily degraded. Significant artifacts and loss of detail.,5,5,5,"Excellent Ukiyo-e style transfer with appropriate color palette, line work, and composition. Structure is perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer; some Ukiyo-e elements present but muted. Structure is well preserved. Minor artifacts and slight blurring in details.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; structure is partially preserved but heavily distorted by noise and blur; significant artifacts including smudging and edge degradation.,5,5,5,"Excellent Rococo style transfer with ornate borders, soft pastel tones, and decorative elements; source structure (figure pose, mirror, box) is well preserved; minimal artifacts, clean edges and textures.",2,3,2,"Minimal style transfer; structure is somewhat retained but obscured by heavy noise and vignetting; artifacts dominate the image, especially at edges and background."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; style is vague, structure is preserved but degraded, artifacts from over-smoothing.",5,5,5,Excellent match to Early Renaissance portraiture style; structure perfectly preserved; no visible artifacts.,3,4,3,Moderate style transfer with some color shift; structure mostly intact; slight haloing and softness around edges.
