case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMST_e15_style_specificity,SaMST_e15_structure_preservation,SaMST_e15_artifact_control,SaMST_e15_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,1,2,1,LBM output is overly blurred and lacks any impressionistic brushwork or color; structure is nearly lost.,5,4,3,Strong impressionistic palette and visible brushstrokes; structure mostly preserved with minor color bleeding.,4,3,2,Impressionist colors applied but with excessive saturation and some structural distortion in figures.,3,5,5,"Best structural fidelity and cleanest output; style is subdued but coherent, lacking strong impressionist texture."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly abstracted; loses all structure and style intent.,5,5,5,"Clean, stylized minimalism with preserved composition and no artifacts.",3,2,2,Textured noise obscures structure; partial style match.,1,3,2,Retains source detail but fails to apply minimalism; muddy artifacts.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,3,2,Very blurry and indistinct; minimal Rococo detail or structure preserved.,5,4,4,Strong Rococo ornamental framing and soft palette; retains source composition well with minor softening.,3,3,3,Moderate Rococo feel but muted colors and some structural distortion; artifacts in texture blending.,4,5,5,Excellent structural fidelity to source; subtle Rococo tonal shifts with clean rendering and no visible artifacts.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,1,2,1,Extremely blurred and washed out; no discernible Ukiyo-e style or structure.,3,5,4,Good structural fidelity and clear Ukiyo-e line work; slight color flattening but clean output.,4,4,3,Strong Ukiyo-e aesthetic with bold lines and flat color; minor smudging in background areas.,5,4,5,"Excellent Ukiyo-e style transfer with crisp linework, appropriate color palette, and minimal artifacts while preserving key structural elements."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,Overly blurred and abstract; loses Renaissance detail and structure.,3,4,4,Good structure and moderate style transfer; slightly muted colors.,4,3,3,Strong style but introduces unnatural color shifts and soft edges.,5,5,5,"Excellent preservation of structure, accurate Early Renaissance style, minimal artifacts."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses both style and structure.,4,5,5,Strong Impressionist brushwork while preserving original composition cleanly.,5,3,3,"Highly stylized with vibrant colors, but structure is slightly distorted and edges are soft.",3,4,4,"Moderate style transfer with good structure, but lacks strong Impressionist texture."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,"Overly blurred, loses all structural and stylistic fidelity; minimalism not achieved.",5,5,5,Clean vector-like simplification with bold flat colors and clear outlines; perfectly captures minimalism while preserving composition.,3,3,2,Textured background introduces noise; structure is partially preserved but style is inconsistent with pure minimalism.,1,4,4,"Nearly identical to source; fails to apply minimalism at all, though structure and artifacts are well-controlled."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,SaMAM_2250,4,2,5,3,Very faithful to source structure but lacks Rococo styling; appears blurred and indistinct.,5,4,4,"Strong Rococo aesthetic with soft pastels, ornate framing, and romanticized features; minor structural softening.",4,3,3,"Good Rococo color palette and mood, but facial structure is distorted and edges are muddy.",3,4,5,"Cleanest output with minimal artifacts and good structural fidelity, but style transfer is subtle and underdeveloped."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,"Extremely blurry and indistinct; Ukiyo-e traits are nearly absent, structure is lost, heavy artifacts.",3,4,4,"Moderate Ukiyo-e influence with soft lines and muted tones; structure mostly preserved, minor smoothing artifacts.",4,4,3,Strong Ukiyo-e color blocking and line work; structure well maintained but slight color bleeding and edge halos.,5,5,5,"Excellent Ukiyo-e stylization with bold outlines, flat color planes, and woodblock texture; structure perfectly preserved, minimal artifacts."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses architectural detail and stylistic clarity.,5,5,5,"Excellent Early Renaissance style with clear figures, architecture, and color palette; preserves source structure well.",3,4,3,Moderate style transfer; some color bleeding and soft edges reduce precision.,2,4,3,Monochrome treatment lacks Renaissance color richness; structure preserved but style underdeveloped.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very muted, almost monochrome; lacks impressionist color and brushwork. Structure is preserved but style is weak.",5,5,5,Strong impressionist palette and visible brushstrokes; structure well preserved with minimal artifacts. Best overall match.,4,4,3,"Vivid colors and stylized forms suggest impressionism, but some areas look oversaturated or digitally distorted. Structure mostly intact.",1,5,4,Nearly identical to source — no stylistic transfer. Structure perfectly preserved but zero impressionist characteristics.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly blurred and abstract; minimalism implied but lacks structural clarity.,5,5,5,"Clean geometric forms, high contrast, faithful to source layout — ideal minimalism.",3,2,3,"Textured overlay obscures structure; style is ambiguous, not clearly minimalist.",2,4,3,Preserves structure well but retains too much detail; lacks minimalist reduction.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,3,2,Very blurry and indistinct; minimal Rococo detail or structure preserved.,5,4,4,"Strong Rococo aesthetic with ornate details, pastel tones, and decorative elements; structure mostly intact with minor softening.",4,4,4,Good Rococo styling with warm tones and classical composition; slight over-smoothing but well-controlled artifacts.,3,5,5,"Excellent structural fidelity and clean output; however, style leans more neoclassical than Rococo, lacking ornamental flair."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,3,2,Very low style specificity; structure is blurred but recognizable; heavy artifacts and loss of detail.,5,4,3,Strong Ukiyo-e style with woodblock texture and color palette; structure mostly preserved; minor artifacts in background.,3,4,3,Moderate Ukiyo-e influence; structure well preserved; some color bleeding and softening artifacts.,2,5,5,Minimal style transfer; structure perfectly preserved; no visible artifacts but lacks Ukiyo-e characteristics.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses architectural detail and stylistic clarity.,5,5,5,"Excellent match to Early Renaissance style with clear architecture, figures, and color palette; minimal artifacts.",4,4,4,Good stylistic fidelity but slightly muted tones and minor structural softening in columns.,3,3,3,Moderate style transfer; some color distortion and slight loss of edge definition in figures.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,1,1,"Extremely blurry and indistinct; structure is nearly lost, and impressionistic texture is absent or uncontrolled.",3,3,3,Moderate impressionistic brushwork with some color blending; structure is partially preserved but colors are oversaturated and slightly unnatural.,4,4,4,Strong impressionistic style with visible brushstrokes and soft edges; structure is well maintained and artifacts are minimal.,5,5,5,"Excellent impressionistic rendering with clear brushwork, color harmony, and full structural fidelity; no visible artifacts."
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural and stylistic detail; fails minimalism and source fidelity.",5,5,5,Clean geometric abstraction with bold lines and flat color blocks; preserves architectural structure while applying minimalist style effectively.,3,2,2,"Textured, noisy output; partially retains structure but introduces artifacts and lacks clean minimalism.",4,4,4,Retains original composition with simplified forms and muted tones; good minimalism but less stylized than D.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,"Very blurry, loses Rococo detail; structure vaguely preserved but heavily degraded; significant smearing artifacts.",4,4,4,"Good Rococo color and ornamentation; structure mostly intact with minor softening; few artifacts, clean output.",3,3,3,Moderate Rococo feel but muted; structure distorted in places; noticeable color bleeding and edge artifacts.,5,5,5,Strong Rococo aesthetic with ornate details and palette; structure faithfully preserved; minimal to no artifacts.
Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed out; minimal Ukiyo-e traits, poor detail retention.",5,5,5,Strong Ukiyo-e line work and flat color blocks; architecture and figures preserved cleanly with no artifacts.,3,4,3,Some stylization present but inconsistent; structure mostly intact with minor smudging.,4,4,4,Good Ukiyo-e influence with bold outlines and simplified forms; slight loss of fine architectural detail.
Early_Renaissance__antonello-da-messina_painter-self-portrait__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out texture; minimal Renaissance styling and structural fidelity.",5,5,5,"Strong Early Renaissance framing, chiaroscuro, and portrait style; clean edges and no artifacts.",4,4,3,"Good Renaissance palette and ornate frame, but slight color bleeding and softness in details.",3,4,4,Preserves structure well with muted tones; moderate Renaissance feel but lacks richness and detail.
