case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,EdgeGated_e03_style_specificity,EdgeGated_e03_structure_preservation,EdgeGated_e03_artifact_control,EdgeGated_e03_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly textured and aged appearance; lacks Early Renaissance clarity and color harmony. Structure is preserved but style is too distressed.,5,5,5,"Excellent match to Early Renaissance style: soft lighting, naturalistic figures, balanced composition, and minimal artifacts. Best overall output.",3,4,3,"Good structural fidelity and moderate style transfer, but slightly washed-out colors and minor edge artifacts reduce overall quality compared to Seedream."
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly painterly with heavy texture; loses architectural detail and introduces noise-like artifacts.,5,5,5,Excellent match to Early Renaissance style while preserving source structure cleanly; minimal artifacts.,3,4,3,Moderate style transfer with some edge bleeding and slight color distortion; structure mostly preserved.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy texture and noise artifacts; style is vague and not clearly Early Renaissance; structure partially preserved but obscured by processing.,5,5,5,"Excellent capture of Early Renaissance palette and mood; structure fully preserved; minimal artifacts; clean, coherent output.",3,4,3,Moderate style transfer with some Renaissance tones; structure mostly intact; visible edge artifacts and uneven texture.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed out, low contrast, and lacks the bold color blocking and line work characteristic of Ukiyo-e. Structure is somewhat preserved but details are lost in the haze.",5,5,5,"Excellent transfer. Captures the flat coloring, distinct outlines, and composition of Ukiyo-e while perfectly preserving the source content. No visible artifacts.",3,4,3,"Better than LBM but still lacks the vibrancy and specific texture of Ukiyo-e. The image appears slightly noisy or grainy, and the colors are muted compared to the target."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,EdgeGated_e03,EdgeGated_e03,4,2,4,3,Minimal style transfer; mostly preserves source with slight color shift. Structure intact but no Renaissance elements. Low artifacts but also low stylistic fidelity.,5,4,4,Strong Early Renaissance aesthetic via warm sepia tone and ornamental framing effect. Slight softening of edges but overall structure preserved. Best stylistic match among candidates.,3,5,5,Excellent structural fidelity and clean output with minimal artifacts. Style transfer is subtle — mostly color grading without strong Renaissance motifs. High technical quality but weak stylistic specificity.
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly hazy and washed-out; lacks Renaissance chiaroscuro and texture detail. Structure is preserved but obscured by heavy blur/artifacts.,5,5,5,"Excellent match to Early Renaissance style: warm tonal palette, soft modeling, rich fabric textures, and proper lighting. Structure fully preserved with no visible artifacts.",3,4,3,"Better than LBM but still suffers from haze and loss of fine detail. Some Renaissance-like warmth present, but structure is slightly softened and edges are indistinct."
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,3,5,"Very clean output with minimal artifacts, but fails to apply any meaningful style transfer — appears as a faded version of the source rather than adopting minimalism.",5,5,4,"Excellent adherence to minimalism: bold flat colors, simplified geometry, and strong structural fidelity to the source architecture. Minor color bleeding at edges but overall highly effective.",2,3,5,"Clean and artifact-free like LBM, but similarly lacks stylistic transformation — essentially a desaturated, blurred copy of the source without applying minimalism."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Weak Ukiyo-e style; lacks color and texture fidelity. Structure is preserved but overly simplified. Minimal artifacts but poor stylistic alignment.,5,5,5,"Excellent Ukiyo-e style transfer with accurate color palette, brushwork texture, and compositional fidelity. No visible artifacts. Best overall result.",3,4,4,Moderate style transfer — retains some Ukiyo-e elements but lacks richness. Structure is well-preserved. Minor artifacts in background texture.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like color wash but lacks ornamental detail; structure is blurred and indistinct; heavy vignetting and noise artifacts degrade quality.,5,5,5,"Excellent Rococo styling with ornate borders, soft pastel tones, and elegant figure rendering; source structure preserved accurately; minimal artifacts, clean output.",2,3,2,"Similar to LBM-Knee_e13 — weak style transfer, ghosted structure, heavy border artifacts, low fidelity to Rococo aesthetics."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output is washed out and lacks Renaissance texture or color depth. Structure is preserved but overly blurred. Significant artifacts from poor style mapping.,5,5,5,"Excellent Early Renaissance style: rich chiaroscuro, warm earth tones, soft brushwork, and aged varnish effect. Structure perfectly preserved with crisp facial features and clothing details. No visible artifacts.",3,4,3,"Moderate style transfer — some Renaissance warmth and softness present, but lacks depth and texture fidelity. Structure well preserved. Minor haloing and smudging around edges indicate mild artifacts."
