case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,EdgeGated_e12_style_specificity,EdgeGated_e12_structure_preservation,EdgeGated_e12_artifact_control,EdgeGated_e12_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Heavy vignetting and edge degradation obscure content; style is vague and inconsistent with Early Renaissance.,5,5,5,Excellent preservation of source structure and faithful application of Early Renaissance painterly style with minimal artifacts.,3,4,3,Good structural fidelity but style is muted and lacks the richness of Early Renaissance; slight blurring in figures.
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry, low contrast, and lacks architectural detail; style transfer is weak and noisy.",5,5,5,"Excellent match to Early Renaissance sketch style with clear lines, proper shading, and faithful structure preservation.",3,4,3,Better than LBM but still too painterly and lacks the crisp line work of the target; some edge artifacts visible.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Early Renaissance style; heavy texture artifacts and loss of detail in landscape.,5,5,5,"Excellent match to Early Renaissance palette, lighting, and composition; clean output with no visible artifacts.",3,4,3,Moderate style transfer with some Renaissance tones; noticeable edge artifacts and slight structural distortion.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed-out, low contrast; Ukiyo-e color palette and linearity barely present. Structure is somewhat preserved but lacks definition. Heavy blurring and loss of detail.",5,5,5,"Excellent Ukiyo-e style transfer: bold outlines, flat color blocks, and characteristic composition. Structure is well-preserved with clear figure placement and background elements. Minimal artifacts; clean edges and consistent texture.",3,4,3,"Moderate Ukiyo-e styling — some color flattening and line emphasis, but less authentic than Seedream. Structure is reasonably preserved, though slightly softer. Minor smudging and edge bleeding visible."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,EdgeGated_e12,Seedream_repaired750,EdgeGated_e12,EdgeGated_e12,4,2,4,3,Minimal style transfer; background remains plain white with no Renaissance texture or tone. Structure is well preserved but lacks stylistic integration.,5,3,4,"Strongest application of Early Renaissance aesthetic — warm sepia tones, aged paper texture, and subtle vignetting match the target reference. Minor softening of object edges reduces structural fidelity slightly.",4,5,5,"Excellent balance: preserves sharp object boundaries and geometry while applying a restrained, parchment-like background tone consistent with Renaissance engravings. No visible artifacts or distortions."
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style specificity; output is washed out and lacks Renaissance texture or color. Structure is preserved but blurred. Heavy haze artifact obscures details.,5,5,5,"Excellent style transfer with appropriate chiaroscuro, warm tones, and painterly texture. Structure is perfectly preserved. No visible artifacts.",3,4,3,Moderate style application; some Renaissance feel but muted. Structure is well preserved. Noticeable foggy/hazy artifact reducing clarity.
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a washed-out, blurry version of source with no stylistic intent or clean structure.",5,5,5,Perfectly applies minimalism via flat color blocks and geometric simplification while preserving architectural structure cleanly with zero artifacts.,2,3,2,"Similar to LBM — lacks stylistic transformation, retains source blur and noise without applying minimalism or enhancing clarity."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Ukiyo-e style transfer; colors and textures are muted and lack traditional ink/wash characteristics. Structure is partially preserved but distorted. Significant artifacts in background and figure edges.,5,5,5,"Excellent Ukiyo-e style match with appropriate color palette, brushwork simulation, and compositional fidelity. Structure is well-preserved with minimal distortion. No visible artifacts.",3,4,3,Moderate style transfer — some Ukiyo-e elements present but inconsistent. Structure is mostly preserved but lacks fine detail. Minor artifacts in robe texture and background.
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; structure is partially preserved but heavily distorted by noise and blur. Artifacts dominate the image.,5,5,5,Excellent Rococo style transfer with ornate borders and soft pastel tones. Structure is well-preserved and artifacts are minimal.,2,3,2,"Similar to LBM-Knee_e13; poor style transfer, moderate structure preservation, and significant artifacts."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed out; lacks Renaissance texture and color depth. Structure is preserved but heavily degraded by blur.,5,5,5,"Excellent match to Early Renaissance portraiture: rich colors, clear facial features, proper lighting, and no visible artifacts. Structure is perfectly preserved.",3,4,3,"Better than LBM but still too hazy and low-contrast. Some structure is retained, but style lacks the richness and clarity of the target."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",5,5,5,Clean geometric abstraction with strong compositional clarity; faithfully interprets minimalism while preserving source layout.,2,3,2,"Similar to LBM — overly diffuse, lacks defined forms or intentional minimalism; artifacts from edge-gating visible as smudges."
Ukiyo_e__utagawa-kuniyoshi_high-noon-at-kasumigaseki__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,EdgeGated_e12,EdgeGated_e12,EdgeGated_e12,EdgeGated_e12,5,3,4,3,Moderate style transfer with some color shifts but lacks the detailed texture and depth of Early Renaissance. Structure is mostly preserved but edges are slightly blurred.,2,3,2,Poor style transfer with significant color distortion and loss of detail. Structure is somewhat preserved but with noticeable artifacts and blurring.,5,5,5,"Excellent style transfer with clear Early Renaissance characteristics, well-preserved structure, and minimal artifacts. The output closely matches the target style while maintaining the integrity of the source content."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed-out; loses structural clarity and minimalism intent. Heavy halo artifacts around edges.,5,5,5,"Clean, crisp minimalism with preserved geometry and no visible artifacts. Faithful to target style.",3,4,3,Moderate success — retains structure but lacks stylistic fidelity. Slight color bleeding and softness reduce minimalism impact.
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply minimalism; output is washed out and lacks stylistic intent. Structure is partially preserved but degraded by noise.,5,5,5,"Perfectly preserves source structure while applying a clean, minimal aesthetic. No artifacts; faithful to both content and style.",2,3,2,"Similar to LBM; fails to impose minimalism. Output is blurry and indistinct, with poor artifact control and weak structural fidelity."
