case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e02_style_specificity,Hold4TwoStage_e02_structure_preservation,Hold4TwoStage_e02_artifact_control,Hold4TwoStage_e02_note
Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, washed-out appearance; lacks Renaissance texture and color depth. Structure is somewhat preserved but overly blurred. Heavy artifacts from over-smoothing.",5,5,5,"Excellent match to Early Renaissance style: rich palette, visible brushwork, atmospheric perspective, and aged canvas texture. Structure fully preserved with no artifacts.",3,4,3,Moderate style transfer — some Renaissance-like tones but lacks detail and texture. Structure mostly intact but slightly softened. Minor smudging artifacts present.
Impressionism__claude-monet_palazzo-contarini-2__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly painterly and abstracted; loses architectural detail and introduces heavy texture artifacts. Style is vague and not clearly Early Renaissance.,5,5,5,"Excellent preservation of source structure with clean, coherent Early Renaissance aesthetic. Minimal artifacts, faithful to target style’s linearity and tonal restraint.",3,3,3,Moderate style transfer with some loss of structural clarity. Artifacts present in water and building edges; style is partially captured but inconsistent.
Impressionism__childe-hassam_september-moonrise__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output resembles a degraded version of source with no Renaissance features. Structure is preserved but blurred. Heavy artifacts and noise.,5,5,5,"Excellent style transfer: captures Early Renaissance palette, soft lighting, and painterly texture. Structure perfectly preserved. Clean output with minimal artifacts.",3,4,3,"Moderate style transfer — some Renaissance-like tones and brushwork visible, but inconsistent. Structure mostly preserved. Noticeable smudging and edge artifacts."
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Structure is well preserved but style transfer is weak; colors are muted and lack Ukiyo-e vibrancy and line clarity.,5,5,5,"Excellent Ukiyo-e style with bold lines, flat color planes, and traditional composition. Structure is faithfully preserved with minimal artifacts.",1,2,1,"Severely degraded output; structure is blurred and indistinct, style is nearly absent, and heavy artifacts obscure content."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,4,Minimal style transfer; mostly preserves source with slight color shift. Structure intact but no Renaissance elements applied.,5,5,5,"Excellent integration of Early Renaissance style (tonal warmth, chiaroscuro, painterly texture) while preserving object structure and minimizing artifacts.",3,2,1,Heavy blurring and smearing distort structure significantly. Style is vague and inconsistent; high artifact presence.
Rococo__dmitry-levitzky_portrait-of-maria-palovna-narychkina-1773__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly hazy and washed-out; style transfer is weak and indistinct, with significant loss of detail and contrast.",5,5,5,"Excellent preservation of source structure and facial features. Style transfer successfully applies Early Renaissance painting aesthetics (soft lighting, warm tones, painterly texture) without introducing artifacts.",1,2,1,"Severe degradation; image is extremely blurry and distorted. Structure is barely recognizable, and style transfer is ineffective due to overwhelming noise and loss of detail."
Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e02,4,2,2,3,"Fails to capture minimalism; output is a washed-out, blurry version of source with no stylistic intent.",5,5,4,Excellent minimalism via flat color blocks and geometric simplification; preserves architectural structure cleanly with minor edge artifacts.,1,2,5,"No stylistic transfer; output is a clean but meaningless blur. Structure is lost, but no visible artifacts."
Ukiyo_e__utagawa-kuniyoshi_woman-seated-under-a-cherry-blossoms__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Ukiyo-e style transfer; lacks line art and color palette. Structure is partially preserved but distorted. Heavy artifacts and smearing.,5,5,5,"Excellent Ukiyo-e style match with strong line work, appropriate colors, and traditional composition. Structure is well-preserved. Minimal artifacts.",1,2,1,"Fails to convey Ukiyo-e style; appears as a blurred, abstract wash. Structure is nearly lost. Severe artifacts and loss of detail."
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style transfer; output is mostly washed-out and indistinct. Structure is partially preserved but heavily degraded by noise and blur. Significant artifacts and loss of detail.,5,5,5,"Excellent Rococo style transfer with ornate borders, soft pastel tones, and decorative elements matching the target. Source structure (figure in kimono) is perfectly preserved. No visible artifacts; clean and coherent output.",2,2,2,Minimal style transfer; output is nearly identical to source with slight color shift. No Rococo characteristics applied. Structure is preserved but lacks stylistic integration. Mild artifacts from blending.
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low style transfer; output is overly bright and washed out, lacking Renaissance texture or color depth. Structure is preserved but colors are distorted.",5,5,5,"Excellent style transfer with appropriate color palette and texture. Structure is perfectly preserved, and no artifacts are visible.",1,2,1,"Fails to transfer style; output is blurry and indistinct. Structure is partially lost due to heavy blurring, and artifacts are prominent."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,"Excellent minimalism with clean geometry, strong structural fidelity to source, and no visible artifacts.",2,2,3,"Extremely blurry and indistinct; fails to convey minimalism or preserve structure, though no harsh artifacts."
Minimalism__alvaro-lapa_criminals-and-their-properties-1974__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor style transfer; output is washed out and lacks minimalism. Structure is partially preserved but distorted. Heavy artifacts and low contrast.,5,5,5,Excellent minimalism achieved with clean lines and flat colors. Structure perfectly preserved. No visible artifacts.,3,4,3,Moderate style transfer; some minimalism present but overly faded. Structure mostly intact. Mild blurring and low contrast artifacts.
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal Rococo styling; mostly preserves source structure with slight color shift and blur. Lacks ornamental detail.,5,5,5,"Excellent Rococo frame integration, faithful structure retention, clean edges, no artifacts. Best overall match.",3,2,2,"Distorted geometry, smeared textures, poor structural fidelity. Some Rococo-like color but lacks ornamental specificity."
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low style specificity; output is overly blurred and washed out, failing to convey minimalism or retain clear structure. High artifact presence due to loss of detail.",5,5,5,"Excellent minimalism interpretation with clean geometric shapes, flat colors, and simplified forms. Structure is well-preserved and artifacts are minimal.",2,2,2,"Similar to LBM-Knee_e13 — overly diffuse, low contrast, and lacks stylistic clarity. Poor structure retention and high visual noise/artifacts."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Faint, washed-out appearance; lacks Renaissance texture and depth. Structure is preserved but overly blurred. Minimal stylistic transfer.",5,5,5,"Excellent match to Early Renaissance fresco style: warm tones, aged texture, clear anatomical detail, and architectural elements preserved with high fidelity. No visible artifacts.",3,4,4,"Moderate style transfer with some color wash and texture, but lacks the richness and clarity of Seedream. Structure is well-preserved. Slight over-smoothing reduces stylistic impact."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Faint impressionistic washes applied but lack color and texture fidelity; structure preserved but overly blurred.,5,5,5,"Excellent Impressionist brushwork, vibrant color palette, and faithful preservation of source composition with minimal artifacts.",1,2,2,"Overly washed out, nearly monochromatic; structure heavily degraded with significant loss of detail and color."
Rococo__louise-elisabeth-vigee-le-brun_the-bather-1792__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is overly blurred and lacks stylistic intent. Structure is partially preserved but obscured by haze.,5,5,5,"Excellent minimalism: bold flat colors, clean lines, simplified forms. Structure perfectly preserved with no artifacts.",2,3,2,Similar to LBM — overly soft and indistinct. Fails to convey minimalism; structure is visible but degraded by blur.
Impressionism__alfred-sisley_riverbank-at-veneux-1881__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low style specificity; appears as a faded, washed-out version of the source with no clear Renaissance stylistic markers. Structure is preserved but lacks texture and color fidelity. Heavy artifacts from over-smoothing or poor style transfer.",5,5,5,"Excellent match to Early Renaissance style: rich colors, soft glazing, balanced composition, and appropriate brushwork. Structure is perfectly preserved with no distortion. Minimal to no artifacts — clean, coherent, and stylistically faithful.",3,4,3,"Moderate style specificity — some Renaissance-like tones and textures present but inconsistent. Structure is well-preserved. Some visible artifacts in sky and water areas, suggesting incomplete style blending or noise."
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Completely lost source structure; only color and vague texture remain. No recognizable content or Renaissance style fidelity.,5,5,5,"Perfectly preserves source structure while applying Early Renaissance painterly style with accurate lighting, texture, and composition. No artifacts.",3,2,2,"Retains some color and general shape but lacks structural detail and stylistic coherence. Blurry, smeared regions indicate poor artifact control."
