src_style,src_slug,src_path
Early_Renaissance,Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece.jpg
Early_Renaissance,Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455.jpg
Early_Renaissance,Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2.jpg
Early_Renaissance,Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464.jpg
Early_Renaissance,Early_Renaissance__antonello-da-messina_painter-self-portrait,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__antonello-da-messina_painter-self-portrait.jpg
Early_Renaissance,Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462.jpg
Early_Renaissance,Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485.jpg
Early_Renaissance,Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4.jpg
Early_Renaissance,Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1.jpg
Early_Renaissance,Early_Renaissance__carlo-crivelli_piet-1,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__carlo-crivelli_piet-1.jpg
Early_Renaissance,Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476,G:\GitHub\Latent_Style\Dataset\distinct5_512\test\Early_Renaissance\Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476.jpg
