packet_id,lane_class,priority_in_class,preferred,status,formal_eligible,tokenizer_profile,transport_prediction_mode,solver_family,bridge_sigma,endpoint_parameterization,semantic_topology_gate,topology_anchor_loss,proximal_mode,parent_packet,current_best_parent_ckpt,config_path,note_path,watch_min_settled_epoch,watch_min_allpairs_style_recovery,watch_max_allpairs_lpips_for_recovery,watch_min_transfer_style_recovery,watch_max_transfer_lpips_for_recovery,watch_handoff_mode,current_read
vel_tok32_safe_rescan_r2,formal_lane,1,yes,closed_plateau,yes,tok32_safe_rescan,velocity,euler_legacy,0.0,absolute,false,false,crossattn_texture,vel_tok32_safe_rescan_r1,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_safe_rescan_r1_seed42_b20a1/epoch_0001.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_vel_tok32_safe_rescan_r2_seed42_b20a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-vel-tok32-safe-rescan-r2.md,3,0.701666,0.381724,0.673934,0.384340,stop_only,formal lane closed after epoch_0008 on in-band style plateau: transfer 0.672774/0.389067 and all-pairs 0.700669/0.384913 remained below the safe recovery shelf
vel_tok32_safe_semantic_topogate_k085,structure_reentry,1,no,closed_runtime_guard,no,tok32_safe_rescan,velocity,euler_legacy,0.0,absolute,true,false,crossattn_texture,vel_tok32_safe_rescan_r2,exp/aaai2027_phase2_vel_tok32_safe_rescan_r2_seed42_b20a1/epoch_0004.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_vel_tok32_safe_semantic_topogate_k085_seed42_b16a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-vel-tok32-safe-semantic-topogate-k085.md,4,0.701666,0.381724,0.673934,0.384340,launch_same_lane_successor,closed by runtime guard after epoch_0004 settled below the formal shelf; best epoch remains epoch_0003 at transfer 0.675388/0.375598 and all-pairs 0.702936/0.371762
vel_tok32_safe_semantic_topogate_k085_appalign,structure_reentry,2,yes,running,no,tok32_safe_rescan,velocity,euler_legacy,0.0,absolute,true,false,crossattn_texture,vel_tok32_safe_semantic_topogate_k085,exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k085_seed42_b16a1/epoch_0003.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_vel_tok32_safe_semantic_topogate_k085_appalign_seed42_b12a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-vel-tok32-safe-semantic-topogate-k085-appalign.md,4,0.701666,0.381724,0.673934,0.384340,launch_same_lane_successor,epoch_0001 settled at transfer 0.672604/0.336357 and all-pairs 0.703506/0.332992; all-pairs safe-shelf recovery is already achieved while transfer style still trails the formal shelf
vel_tok32_safe_pnp_selfinject,structure_reentry,3,no,queued_alt,no,tok32_safe_rescan,velocity,euler_legacy,0.0,absolute,false,false,crossattn_texture,vel_tok32_safe_semantic_topogate_k085,exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k085_seed42_b16a1/epoch_0003.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_vel_tok32_safe_pnp_selfinject_seed42_b16a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-vel-tok32-safe-pnp-selfinject.md,4,0.701666,0.381724,0.673934,0.384340,launch_same_lane_successor,successor refreshed from vel_tok32_safe_semantic_topogate_k085 epoch_0003 via latest; parent checkpoint now exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k085_seed42_b16a1/epoch_0003.pt
vel_tok32_semantic_topogate_k085,structure_reentry,4,no,queued_reference,no,tok32_refresh,velocity,euler_legacy,0.0,absolute,true,false,crossattn_texture,vel_tok32_pos_refresh,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_pos_refresh_seed42_b20a1/epoch_0004.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_vel_tok32_semantic_topogate_k085_seed42_b20a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-vel-tok32-semantic-topogate-k085.md,,,,,,,older tok32-refresh topology-gate packet kept as a reference after the safe-parent successor was prepared
vel_tok32_topo_anchor_k075,structure_reentry,5,no,queued_alt,no,tok32_refresh,velocity,euler_legacy,0.0,absolute,false,true,crossattn_texture,vel_tok32_pos_refresh,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_pos_refresh_seed42_b20a1/epoch_0004.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_vel_tok32_topo_anchor_k075_seed42_b20a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-vel-tok32-topo-anchor-reentry.md,4,0.701666,0.381724,0.673934,0.384340,stop_only,heavier loss-side topology-anchor alternative; kept behind topology-gate
i2sb_tok32_safe_semantic_topogate_sigma0p02_residual_tfloor005,i2sb_diagnostic_only,1,yes,queued,no,tok32_safe_rescan,endpoint,solver_i2sb,0.02,residual,true,true,crossattn_texture,vel_tok32_safe_semantic_topogate_k085,exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k085_seed42_b16a1/epoch_0003.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_i2sb_tok32_safe_semantic_topogate_sigma0p02_residual_tfloor005_seed42_b20a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-i2sb-tok32-safe-semantic-topogate-sigma0p02-residual-tfloor005.md,,,,,,,early-time aligned exact-I2SB follow-on: keep the same safe parent and residual sigma0.02 Brownian bridge, but floor the predictor time to 0.05 so the x1 estimator is not queried at exact t=0
i2sb_tok32_safe_semantic_topogate_sigma0p02_residual,i2sb_diagnostic_only,2,no,queued_reference,no,tok32_safe_rescan,endpoint,solver_i2sb,0.02,residual,true,true,crossattn_texture,vel_tok32_safe_semantic_topogate_k085,exp/aaai2027_phase2_vel_tok32_safe_semantic_topogate_k085_seed42_b16a1/epoch_0003.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_i2sb_tok32_safe_semantic_topogate_sigma0p02_residual_seed42_b20a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-i2sb-tok32-safe-semantic-topogate-sigma0p02-residual.md,,,,,,,same safe-parent exact-I2SB packet kept as the no-floor control behind the tfloor005 follow-on
i2sb_tok32_semantic_topogate_sigma0p02_residual,i2sb_diagnostic_only,3,no,queued_reference,no,tok32_refresh,endpoint,solver_i2sb,0.02,residual,true,true,crossattn_texture,i2sb_semantic_topogate_sigma0p02_residual_warm_vel2,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_tok32_pos_refresh_seed42_b20a1/epoch_0004.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_i2sb_tok32_semantic_topogate_sigma0p02_residual_seed42_b20a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-i2sb-tok32-semantic-topogate-sigma0p02-residual.md,,,,,,,older tok32-refresh exact-I2SB theory check kept as a reference after the safe-parent successor was prepared
i2sb_semantic_topogate_sigma0p02_residual_warm_vel2,i2sb_diagnostic_only,4,no,superseded,no,legacy64_endpoint,endpoint,solver_i2sb,0.02,residual,true,true,crossattn_texture,i2sb_pattn_topo_anchor_sigma0p02_residual_warm_vel2,/mnt/i/Github/Latent_Style/exp/aaai2027_phase2_vel_pattn_enhanced_tok_seed42_b22a1/epoch_0002.pt,G:\GitHub\Latent_Style\SchrodingerBridge\configs\aaai2027\phase2_i2sb_semantic_topogate_sigma0p02_residual_warm_vel2_seed42_b22a1.json,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\2026-06-13-phase2-i2sb-semantic-topogate-sigma0p02-residual.md,,,,,,,first clean residual exact-Brownian topology-gate diagnostic; now superseded by both tok32 successors
